,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
0,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Majority Voting,2,0.6,0.6,0.4,0.01
1,0.7229979290667943,0.7831583864394412,0.6716666666666667,400.0,0.5938726050405158,0.5341686580646924,0.669037037037037,225.0,0.67072,0.658435267053655,0.6586635222520667,0.6703518518518518,625.0,0.676512812417334,0.6935220842245317,0.67072,625.0,625.0,Maximum Proposal,2,0.6,0.6,0.4,0.01
2,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,2,0.6,0.6,0.4,0.01
3,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
4,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
5,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,2,0.6,0.6,0.4,0.01
6,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
7,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
8,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
9,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.6,0.4,0.01
10,0.9973701373733591,0.9986662312155581,0.9960833333333332,400.0,0.9953485368672961,0.9930962236796658,0.9976296296296295,225.0,0.99664,0.9963593371203275,0.9958812274476119,0.9968564814814815,625.0,0.9966423611911764,0.9966610285026367,0.99664,625.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
11,1.0,1.0,1.0,197.63333333333333,1.0,1.0,1.0,111.43333333333334,1.0,1.0,1.0,1.0,309.06666666666666,1.0,1.0,1.0,309.06666666666666,309.06666666666666,Majority Voting,2,0.6,0.6,0.5,0.01
12,1.0,1.0,1.0,197.63333333333333,1.0,1.0,1.0,111.43333333333334,1.0,1.0,1.0,1.0,309.06666666666666,1.0,1.0,1.0,309.06666666666666,309.06666666666666,Maximum Proposal,2,0.6,0.6,0.5,0.01
13,1.0,1.0,1.0,197.63333333333333,1.0,1.0,1.0,111.43333333333334,1.0,1.0,1.0,1.0,309.06666666666666,1.0,1.0,1.0,309.06666666666666,309.06666666666666,Mean Proposal,2,0.6,0.6,0.5,0.01
14,1.0,1.0,1.0,197.63333333333333,1.0,1.0,1.0,111.43333333333334,1.0,1.0,1.0,1.0,309.06666666666666,1.0,1.0,1.0,309.06666666666666,309.06666666666666,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.5,0.01
15,1.0,1.0,1.0,197.63333333333333,1.0,1.0,1.0,111.43333333333334,1.0,1.0,1.0,1.0,309.06666666666666,1.0,1.0,1.0,309.06666666666666,309.06666666666666,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.5,0.01
