,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,Label 4_f1-score,Label 4_precision,Label 4_recall,Label 4_support,accuracy,gamma_unbalanced,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_star_unbalanced,mu_unbalanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.06400067840047682,0.19432256571365422,0.03839205058717254,369.0,0.029213115156794665,0.02135986223009497,0.04635416666666667,64.0,0.025626326251882194,0.01888961277224109,0.04010416666666667,64.0,0.021333640209457234,0.015715443802188447,0.03333333333333333,64.0,0.02969982833146704,0.021548369005986553,0.04791666666666667,64.0,0.039839999999999993,0.6,0.03397471767001559,0.05436717070483305,0.04122007678410118,625.0,Majority Voting,,,,,0.2000002,0.4,625.0,0.01,1,0.04862738650648067,0.12266540346913776,0.039839999999999993,625.0
1,0.0,0.0,0.0,369.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,64.0,0.0,0.6,0.0,0.0,0.0,625.0,Maximum Proposal,,,,,0.2000002,0.4,625.0,0.01,1,0.0,0.0,0.0,625.0
2,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Mean Proposal,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
3,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
4,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
5,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
6,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
7,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
8,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
9,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
10,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy (Mean-Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
11,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy (Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
12,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
13,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy (Mean-Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
14,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy (Weighted),,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
15,1.0,1.0,1.0,369.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,64.0,1.0,0.6,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.2000002,0.4,625.0,0.01,1,1.0,1.0,1.0,625.0
