,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,Label 2_f1-score,Label 2_precision,Label 2_recall,Label 2_support,Label 3_f1-score,Label 3_precision,Label 3_recall,Label 3_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,non_consensus_px,method,mu_unbalanced,mu_star_unbalanced,gamma_unbalanced,unbalanced_agents,std
0,0.06489225365386089,0.06987821124660648,0.06076190476190477,175.0,0.061323580576754945,0.05959033054435282,0.06333333333333332,150.0,0.06399490956107229,0.0628523099951564,0.06533333333333333,150.0,0.05487135158906491,0.053524192392395434,0.05644444444444444,150.0,0.06144,0.06127052384518827,0.06146126104462779,0.06146825396825397,625.0,0.06141539303753516,0.061797939052706925,0.06144,625.0,625.0,Majority Voting,0.4,0.25000025,0.75,1,0.01
1,0.0,0.0,0.0,175.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,625.0,0.0,0.0,0.0,625.0,625.0,Maximum Proposal,0.4,0.25000025,0.75,1,0.01
2,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Mean Proposal,0.4,0.25000025,0.75,1,0.01
3,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy,0.4,0.25000025,0.75,1,0.01
4,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),0.4,0.25000025,0.75,1,0.01
5,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 3x3 Conv Entropy (Weighted),0.4,0.25000025,0.75,1,0.01
6,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy,0.4,0.25000025,0.75,1,0.01
7,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - 5x5 Conv Entropy (Mean-Weighted),0.4,0.25000025,0.75,1,0.01
8,0.9999044890162369,1.0,0.9998095238095239,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,0.9998892580287929,0.9997792494481236,1.0,150.0,0.9999466666666667,0.9999484367612574,0.9999448123620309,0.999952380952381,625.0,0.9999466788514566,0.9999470198675496,0.9999466666666667,625.0,625.0,Negotiation - 5x5 Conv Entropy (Weighted),0.4,0.25000025,0.75,1,0.01
9,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy,0.4,0.25000025,0.75,1,0.01
10,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy (Mean-Weighted),0.4,0.25000025,0.75,1,0.01
11,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Mean Entropy (Weighted),0.4,0.25000025,0.75,1,0.01
12,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy,0.4,0.25000025,0.75,1,0.01
13,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Negotiation - Pixelwise Entropy (Mean-Weighted),0.4,0.25000025,0.75,1,0.01
14,0.9999044890162369,1.0,0.9998095238095239,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,0.9998892580287929,0.9997792494481236,1.0,150.0,0.9999466666666667,0.9999484367612574,0.9999448123620309,0.999952380952381,625.0,0.9999466788514566,0.9999470198675496,0.9999466666666667,625.0,625.0,Negotiation - Pixelwise Entropy (Weighted),0.4,0.25000025,0.75,1,0.01
15,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - 3x3 Conv Entropy,0.4,0.25000025,0.75,1,0.01
16,0.9999044890162369,1.0,0.9998095238095239,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,0.9998892580287929,0.9997792494481236,1.0,150.0,0.9999466666666667,0.9999484367612574,0.9999448123620309,0.999952380952381,625.0,0.9999466788514566,0.9999470198675496,0.9999466666666667,625.0,625.0,Weighted Mean - 5x5 Conv Entropy,0.4,0.25000025,0.75,1,0.01
17,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Mean Entropy,0.4,0.25000025,0.75,1,0.01
18,1.0,1.0,1.0,175.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,625.0,Weighted Mean - Pixelwise Entropy,0.4,0.25000025,0.75,1,0.01
19,0.5853095974750283,0.6063651806280688,0.5668209274597732,169.6,0.5554724949786446,0.5505734662492008,0.5616049244150201,145.13333333333333,0.5595825729020666,0.5489306394213265,0.572194040151599,145.66666666666666,0.5602905174584522,0.558345978591428,0.5636791951275149,145.56666666666666,0.5661225397123301,0.5651637957035478,0.5660538162225061,0.5660747717884768,605.9666666666667,0.5660199625849434,0.5677502688183264,0.5661225397123301,605.9666666666667,605.9666666666667,Majority Voting,0.5,0.25000025,0.75,1,0.01
20,0.5150547081250254,0.5328269872815878,0.4999719115618805,169.6,0.47600640596923793,0.469192126867731,0.48431350679555957,145.13333333333333,0.4690336947705058,0.4645378162262233,0.4749989577876693,145.66666666666666,0.4700567750012642,0.4678737011764434,0.4737100091811017,145.56666666666666,0.4839155254087162,0.48253789596650837,0.4836076578879965,0.48324859633155276,605.9666666666667,0.4838385561445413,0.4855779669620826,0.4839155254087162,605.9666666666667,605.9666666666667,Maximum Proposal,0.5,0.25000025,0.75,1,0.01
21,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Mean Proposal,0.5,0.25000025,0.75,1,0.01
22,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - 3x3 Conv Entropy,0.5,0.25000025,0.75,1,0.01
23,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - 3x3 Conv Entropy (Mean-Weighted),0.5,0.25000025,0.75,1,0.01
24,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - 3x3 Conv Entropy (Weighted),0.5,0.25000025,0.75,1,0.01
25,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - 5x5 Conv Entropy,0.5,0.25000025,0.75,1,0.01
26,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - 5x5 Conv Entropy (Mean-Weighted),0.5,0.25000025,0.75,1,0.01
27,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - 5x5 Conv Entropy (Weighted),0.5,0.25000025,0.75,1,0.01
28,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - Mean Entropy,0.5,0.25000025,0.75,1,0.01
29,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - Mean Entropy (Mean-Weighted),0.5,0.25000025,0.75,1,0.01
30,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - Mean Entropy (Weighted),0.5,0.25000025,0.75,1,0.01
31,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - Pixelwise Entropy,0.5,0.25000025,0.75,1,0.01
32,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - Pixelwise Entropy (Mean-Weighted),0.5,0.25000025,0.75,1,0.01
33,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Negotiation - Pixelwise Entropy (Weighted),0.5,0.25000025,0.75,1,0.01
34,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Weighted Mean - 3x3 Conv Entropy,0.5,0.25000025,0.75,1,0.01
35,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Weighted Mean - 5x5 Conv Entropy,0.5,0.25000025,0.75,1,0.01
36,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Weighted Mean - Mean Entropy,0.5,0.25000025,0.75,1,0.01
37,1.0,1.0,1.0,169.6,1.0,1.0,1.0,145.13333333333333,1.0,1.0,1.0,145.66666666666666,1.0,1.0,1.0,145.56666666666666,1.0,1.0,1.0,1.0,605.9666666666667,1.0,1.0,1.0,605.9666666666667,605.9666666666667,Weighted Mean - Pixelwise Entropy,0.5,0.25000025,0.75,1,0.01
38,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Majority Voting,0.6,0.25000025,0.75,1,0.01
39,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Maximum Proposal,0.6,0.25000025,0.75,1,0.01
40,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Mean Proposal,0.6,0.25000025,0.75,1,0.01
41,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 3x3 Conv Entropy,0.6,0.25000025,0.75,1,0.01
42,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 3x3 Conv Entropy (Mean-Weighted),0.6,0.25000025,0.75,1,0.01
43,1.0,1.0,1.0,133.23333333333332,1.0,1.0,1.0,110.16666666666667,1.0,1.0,1.0,111.2,1.0,1.0,1.0,112.56666666666666,1.0,1.0,1.0,1.0,467.1666666666667,1.0,1.0,1.0,467.1666666666667,467.1666666666667,Negotiation - 3x3 Conv Entropy (Weighted),0.6,0.25000025,0.75,1,0.01
