,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
0,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Majority Voting,2,0.6,0.6,0.4,0.01
1,0.7191382236327011,0.7780128491667474,0.6688333333333334,400.0,0.5875244176286043,0.5292652729041631,0.6607407407407406,225.0,0.66592,0.6533313206306527,0.6536390610354552,0.664787037037037,625.0,0.6717572534712262,0.6884637217122169,0.66592,625.0,Maximum Proposal,2,0.6,0.6,0.4,0.01
2,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.6,0.6,0.4,0.01
3,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
4,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
5,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.6,0.6,0.4,0.01
6,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
7,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
8,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
9,1.0,1.0,1.0,400.0,1.0,1.0,1.0,225.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.6,0.4,0.01
10,0.99812306566944,0.9986672817431914,0.9975833333333334,400.0,0.9966727168024198,0.9957297749056777,0.9976296296296295,225.0,0.9976,0.9973978912359299,0.9971985283244346,0.9976064814814815,625.0,0.9976009400773126,0.9976097792816866,0.9976,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
11,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Majority Voting,2,0.6,0.6,0.5,0.01
12,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Maximum Proposal,2,0.6,0.6,0.5,0.01
13,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Mean Proposal,2,0.6,0.6,0.5,0.01
14,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.5,0.01
15,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.5,0.01
16,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Negotiation - Mean Entropy,2,0.6,0.6,0.5,0.01
17,1.0,1.0,1.0,201.53333333333333,1.0,1.0,1.0,110.3,1.0,1.0,1.0,1.0,311.8333333333333,1.0,1.0,1.0,311.8333333333333,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.5,0.01
