,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Majority Voting,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
1,0.0,0.0,0.0,0.0,0.4969657893215898,1.0,0.33117948717948703,325.0,0.33117948717948703,0.2484828946607949,0.5,0.16558974358974352,325.0,Maximum Proposal,,,,,0.6,0.4,0.6,0.01,2,0.4969657893215898,1.0,0.33117948717948703,325.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Mean Proposal,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - 3x3 Conv Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - 5x5 Conv Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - Mean Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Negotiation - Pixelwise Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,325.0,Weighted Mean - Mean Entropy,,,,,0.6,0.4,0.6,0.01,2,0.0,0.0,0.0,325.0
10,0.0,0.0,0.0,0.0,0.008759788379044111,0.8,0.004410256410256412,325.0,0.004410256410256412,0.004379894189522056,0.4,0.002205128205128206,325.0,Weighted Mean - Pixelwise Entropy,,,,,0.6,0.4,0.6,0.01,2,0.008759788379044111,0.8,0.004410256410256412,325.0
11,0.0,0.0,0.0,0.0,0.7902237386604495,1.0,0.6536422852148948,241.7,0.6536422852148948,0.39511186933022474,0.5,0.3268211426074474,241.7,Majority Voting,,,,,0.6,0.5,0.6,0.01,2,0.7902237386604495,1.0,0.6536422852148948,241.7
12,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Maximum Proposal,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
13,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Mean Proposal,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
14,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Negotiation - 3x3 Conv Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Negotiation - 5x5 Conv Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
16,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Negotiation - Mean Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
17,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Negotiation - Pixelwise Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
18,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Weighted Mean - 3x3 Conv Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
19,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Weighted Mean - 5x5 Conv Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Weighted Mean - Mean Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
21,0.0,0.0,0.0,0.0,1.0,1.0,1.0,241.7,,0.5,0.5,0.5,241.7,Weighted Mean - Pixelwise Entropy,1.0,1.0,1.0,241.7,0.6,0.5,0.6,0.01,2,1.0,1.0,1.0,241.7
