,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support,method,unbalanced_agents,mu_balanced,mu_1_unbalanced,mu_2_unbalanced,std
0,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Majority Voting,2,0.6,0.6,0.4,0.01
1,0.6596797419749234,0.6549879691214934,0.6651111111111111,300.0,0.680380115565803,0.6859467196996377,0.6754871794871793,325.0,0.6705066666666667,0.6700299287703633,0.6704673444105658,0.6702991452991452,625.0,0.6704439362421808,0.6710865194221286,0.6705066666666667,625.0,Maximum Proposal,2,0.6,0.6,0.4,0.01
2,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.6,0.6,0.4,0.01
3,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
4,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
5,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.6,0.6,0.4,0.01
6,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
7,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.6,0.4,0.01
8,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.6,0.4,0.01
9,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.6,0.4,0.01
10,0.9965536690960554,0.9968965547200975,0.996222222222222,300.0,0.9968220635691402,0.9965256309646191,0.9971282051282052,325.0,0.9966933333333333,0.9966878663325978,0.9967110928423584,0.9966752136752136,625.0,0.9966932342220594,0.9967036743672488,0.9966933333333333,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.4,0.01
11,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Majority Voting,2,0.6,0.6,0.5,0.01
12,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Maximum Proposal,2,0.6,0.6,0.5,0.01
13,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Mean Proposal,2,0.6,0.6,0.5,0.01
14,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.6,0.5,0.01
15,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.6,0.5,0.01
16,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Negotiation - Mean Entropy,2,0.6,0.6,0.5,0.01
17,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Negotiation - Pixelwise Entropy,2,0.6,0.6,0.5,0.01
18,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.6,0.5,0.01
19,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.6,0.5,0.01
20,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Weighted Mean - Mean Entropy,2,0.6,0.6,0.5,0.01
21,1.0,1.0,1.0,151.4,1.0,1.0,1.0,162.6,1.0,1.0,1.0,1.0,314.0,1.0,1.0,1.0,314.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.6,0.5,0.01
22,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Majority Voting,2,0.6,0.75,0.4,0.01
23,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Maximum Proposal,2,0.6,0.75,0.4,0.01
24,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Mean Proposal,2,0.6,0.75,0.4,0.01
25,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
26,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
27,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Mean Entropy,2,0.6,0.75,0.4,0.01
28,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Negotiation - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
29,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 3x3 Conv Entropy,2,0.6,0.75,0.4,0.01
30,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - 5x5 Conv Entropy,2,0.6,0.75,0.4,0.01
31,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Mean Entropy,2,0.6,0.75,0.4,0.01
32,1.0,1.0,1.0,300.0,1.0,1.0,1.0,325.0,1.0,1.0,1.0,1.0,625.0,1.0,1.0,1.0,625.0,Weighted Mean - Pixelwise Entropy,2,0.6,0.75,0.4,0.01
