,Label 0_f1-score,Label 0_precision,Label 0_recall,Label 0_support,Label 1_f1-score,Label 1_precision,Label 1_recall,Label 1_support,accuracy,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,method,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,mu_1_unbalanced,mu_2_unbalanced,mu_balanced,non_consensus_px,std,unbalanced_agents,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Majority Voting,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
1,0.5045602978107835,1.0,0.3380000000000001,300.0,0.0,0.0,0.0,0.0,0.3380000000000001,0.25228014890539174,0.5,0.16900000000000004,300.0,Maximum Proposal,,,,,0.4,0.6,0.6,300.0,0.01,2,0.5045602978107835,1.0,0.3380000000000001,300.0
2,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Mean Proposal,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
3,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 3x3 Conv Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
4,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
5,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
6,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 5x5 Conv Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
7,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
8,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
9,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Mean Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
10,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Mean Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
11,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Mean Entropy (Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
12,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Pixelwise Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
13,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Pixelwise Entropy (Mean-Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
14,0.0075099481521934955,0.7333333333333333,0.003777777777777778,300.0,0.0,0.0,0.0,0.0,0.003777777777777778,0.0037549740760967477,0.36666666666666664,0.001888888888888889,300.0,Negotiation - Pixelwise Entropy (Weighted),,,,,0.4,0.6,0.6,300.0,0.01,2,0.0075099481521934955,0.7333333333333333,0.003777777777777778,300.0
15,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
16,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Weighted Mean - 5x5 Conv Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
17,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Weighted Mean - Mean Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
18,0.006846963106026561,0.6666666666666666,0.0034444444444444444,300.0,0.0,0.0,0.0,0.0,0.0034444444444444444,0.0034234815530132805,0.3333333333333333,0.0017222222222222222,300.0,Weighted Mean - Pixelwise Entropy,,,,,0.4,0.6,0.6,300.0,0.01,2,0.006846963106026561,0.6666666666666666,0.0034444444444444444,300.0
19,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Majority Voting,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
20,0.4911761507589201,1.0,0.32599999999999996,300.0,0.0,0.0,0.0,0.0,0.32599999999999996,0.24558807537946006,0.5,0.16299999999999998,300.0,Maximum Proposal,,,,,0.4,0.75,0.6,300.0,0.01,2,0.4911761507589201,1.0,0.32599999999999996,300.0
21,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Mean Proposal,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
22,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 3x3 Conv Entropy,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
23,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 3x3 Conv Entropy (Mean-Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
24,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 3x3 Conv Entropy (Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
25,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 5x5 Conv Entropy,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
26,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 5x5 Conv Entropy (Mean-Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
27,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - 5x5 Conv Entropy (Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
28,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Mean Entropy,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
29,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Mean Entropy (Mean-Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
30,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Mean Entropy (Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
31,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Pixelwise Entropy,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
32,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Negotiation - Pixelwise Entropy (Mean-Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
33,0.009694202060220794,0.7333333333333333,0.004888888888888889,300.0,0.0,0.0,0.0,0.0,0.004888888888888889,0.004847101030110397,0.36666666666666664,0.0024444444444444444,300.0,Negotiation - Pixelwise Entropy (Weighted),,,,,0.4,0.75,0.6,300.0,0.01,2,0.009694202060220794,0.7333333333333333,0.004888888888888889,300.0
34,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,Weighted Mean - 3x3 Conv Entropy,,,,,0.4,0.75,0.6,300.0,0.01,2,0.0,0.0,0.0,300.0
