,TN,FP,TP,FN
0,155912,1368,31176,3919
13,196992,0,0,0
36,153602,725,18780,6443
41,191728,647,0,0
48,181259,143,72001,9766
58,113695,2000,55926,3312
61,175405,63,9512,12012
68,157657,525,32779,5005
71,136080,325,27762,10766
84,140764,2016,50492,6285
88,196479,0,0,0
135,148537,90,15368,3756
173,196781,211,0,0
177,147807,298,17335,10519
179,168639,1206,3343,2771
188,128184,567,19563,4560
223,125814,972,40762,7385
235,174613,22211,162,6
238,150213,244,15515,8961
318,193971,100,14179,2080
333,167004,0,0,747
399,124145,78,27695,4034
401,174933,0,0,0
412,166703,32,6294,2930
423,142136,457,26677,5663
458,155268,300,31904,9520
464,119753,10,50063,5107
482,154820,48,0,42124
485,150176,53,19945,4759
488,123886,63,32431,8293
489,153608,128,23258,4095
516,99630,1119,55473,13068
534,106830,1130,75499,13533
562,181771,423,8829,5969
577,163588,610,8372,2363
594,117115,125,22848,4065
600,173537,218,956,222
612,195301,22,972,697
637,155352,14200,2136,3758
649,172357,280,11582,12773
657,142477,159,22988,4692
663,170682,48,16456,5189
713,146790,8,22017,6118
737,153436,27,16315,5155
738,158019,336,25551,3852
764,166133,3,5767,3030
784,225614,0,0,106
785,174852,0,0,81
786,168489,0,0,6444
788,196905,0,0,87
796,105343,87,60992,8511
799,149264,114,13831,11724
806,149624,34,17788,7487
850,146307,556,21487,6583
857,151697,149,18390,4697
899,190517,3,4542,1930
916,166230,792,19457,10513
928,155881,48,11936,7581
949,131088,940,36776,6129
967,154001,9,14604,5806
969,174890,18149,3763,190
995,214319,27,8955,4471
996,80886,597,75667,17270
1006,135979,288,34327,4339
1020,165149,17,22858,8968
1055,125635,127,40702,8469
1058,181625,52,12104,3211
1064,177988,140,15315,3549
1090,65761,1551,28371,7430
1095,185588,592,6867,3945
1096,111472,6843,38875,17743
1109,104257,920,38631,10092
1118,145940,39,23188,5766
1128,146887,69,25705,5350
1132,154538,0,0,388
1140,212209,7,7661,3791
1147,185434,209,5281,6068
1155,166097,27,17996,12872
1163,161956,48,29412,5576
1225,153940,130,15412,5451
1235,145186,913,10279,18555
1242,179814,128,12753,4297
1243,189244,82,4871,2795
1249,154954,199,32233,9606
1280,168409,0,1984,4540
1300,177318,33,1198,2027
1305,140497,31,19022,5123
1321,160448,12,12114,3385
1326,167882,266,3245,3027
1335,147062,164,22734,4460
1338,95118,2045,68077,9693
1340,147593,151,0,0
1353,189320,81,5047,2544
1373,142709,12428,31468,10387
1399,106472,779,56007,11675
1407,165769,239,5092,3833
1419,159984,2534,25495,8979
1428,150310,466,20007,4150
1431,179207,0,186,5800
