,TN,FP,TP,FN
0,34413,682,150401,6879
1,104542,3500,63546,4371
2,7766,461,157813,8893
3,78672,2081,112638,3601
4,106699,2053,55140,11554
5,64553,1731,104968,3168
6,51305,4480,135389,5818
7,152518,1727,40090,2657
8,29181,2820,138047,4885
9,69589,402,119561,7440
10,35278,11672,145100,4942
11,14560,16,180291,2125
12,98802,543,69495,6606
13,2954,615,143305,50118
14,41623,1067,142567,9170
15,20254,15268,137618,767
16,30461,1102,80217,8775
17,41410,979,127131,6439
18,13346,2391,173021,8234
19,157174,521,45595,18326
20,48352,266,146313,2061
21,21897,2512,166203,6380
22,100133,6138,70359,20362
23,47378,326,183302,8565
24,91154,1000,133395,6327
25,16325,4448,135541,18619
26,17757,2256,165537,11442
27,1813,0,140566,2287
28,34900,61,120853,41178
29,874,91,195710,317
30,53468,1330,126916,3992
31,97679,918,96064,2331
32,22215,245,172656,1876
33,46306,15638,129510,5538
34,48311,1981,143711,2989
35,95661,2588,89733,9010
36,23735,1488,147892,6435
37,9194,570,152437,420
38,60841,1252,155974,7653
39,45034,4324,110590,7803
40,92986,1585,71280,9082
41,71,221,189694,2389
42,72617,8462,77885,15969
43,37668,2887,132730,1648
44,59935,2155,106906,27996
45,25305,841,166939,3907
46,38670,0,132763,3500
47,106453,323,40535,9154
48,78531,3236,178594,2808
49,37549,788,171914,18034
50,38504,6179,167944,5398
51,1976,286,192754,1976
52,11505,386,158451,4591
53,71648,2833,114938,7573
54,42911,1642,143258,9181
55,31214,2027,129857,11835
56,43920,13565,136048,18849
57,8980,262,248502,5425
58,58561,677,111537,4158
59,116101,1993,23766,55132
60,57270,2177,117383,1694
61,15318,6436,169124,6114
62,1361,6131,159930,2894
63,89776,474,136354,11941
64,14880,156,149968,9416
65,53061,1300,131220,11411
66,11048,0,184099,1845
67,48233,235,121870,3056
68,37373,411,153479,4703
69,78861,30498,82971,4662
70,32383,2082,149565,12962
71,33376,5152,135199,1206
72,36849,5422,105508,49213
73,7683,5104,181723,2482
74,126673,157,54126,3211
75,596,102,194017,2277
76,76489,50846,58303,11354
77,39770,922,129522,26778
78,101584,197,72215,15301
79,80864,2928,132675,2584
80,174192,492,0,249
81,84526,2961,104418,5087
82,67050,3611,123821,2510
83,70229,1663,119766,9951
84,57156,1403,137879,3119
85,59004,6381,127646,3961
86,21941,2357,168065,4629
87,43728,2162,149445,1657
88,44709,1694,137239,12837
89,85927,652,79662,9205
90,37451,5723,151326,2492
91,119141,305,58147,49153
92,73981,2100,114817,6094
93,121914,228,68597,6766
94,33155,111,121630,42096
95,65527,2999,117079,11387
96,25579,3198,143142,3014
97,25884,18,146279,2752
