,TN,FP,TP,FN
4,128800,2649,33478,10519
15,138258,127,6800,28722
21,196992,0,0,0
39,138678,1908,11684,15481
47,156465,0,0,0
51,194099,631,945,1317
53,180987,2294,8760,4951
86,192166,0,0,4826
107,164516,2233,10737,19506
115,175371,0,0,75
121,174836,1263,827,3137
145,174933,0,0,0
163,179170,164,5392,12266
167,169589,138,1049,2618
195,195030,1449,0,0
209,96093,1236,33437,66226
234,152126,353,8285,14169
246,195119,0,0,1873
252,154103,5695,11555,25639
292,120967,2815,20031,31633
345,177411,87,0,0
360,164212,108,4895,5205
379,196992,0,0,0
384,169598,89,1270,3976
390,155747,907,10579,7700
398,169933,3269,1063,668
406,174933,0,0,0
421,124890,1297,26291,44001
454,95570,537,2110,1818
461,94530,821,29375,72266
491,184449,356,4236,7951
499,172624,317,9482,14569
506,196992,0,0,0
512,165242,305,4250,5136
519,140113,4593,15956,36330
522,159831,1420,6776,6906
533,196992,0,0,0
549,124926,456,12849,58761
550,172027,1100,287,1519
565,183635,1505,3598,7741
566,196964,0,0,28
630,134074,1058,23759,38101
632,99184,292,13552,83964
646,124165,241,8531,41996
655,185513,566,2768,8145
656,47353,206,71064,78369
666,150474,366,3874,20219
671,149064,843,19033,28052
708,110041,3199,12370,49836
725,166583,115,2540,5695
729,183585,2143,8101,3163
762,155215,330,6857,34590
800,127908,388,16867,51829
810,183611,161,2418,7724
815,141838,667,10628,43859
818,144220,368,17596,34808
825,221616,0,0,0
826,82698,860,9164,64256
845,174857,0,0,589
867,141709,594,20794,33895
878,174933,0,0,0
909,175526,386,3654,17426
912,146730,362,7493,48050
917,174933,0,0,0
922,204502,757,1083,3988
926,180726,268,7229,40062
939,188149,8843,0,0
940,169963,85,1509,3889
958,141416,1154,12351,42071
964,196992,0,0,0
1007,189247,50,0,0
1008,191650,289,2476,2577
1017,175868,1595,10743,27767
1050,109018,100,15302,49487
1075,136523,512,8226,51731
1081,186154,1835,3793,5210
1084,170785,816,1674,1658
1094,196712,280,0,0
1105,174195,317,33,388
1114,192058,1684,687,2563
1139,160338,194,19632,30166
1158,197383,0,0,122
1178,176777,0,0,721
1210,197625,0,0,2445
1231,131597,3376,16844,23116
1240,177240,771,0,0
1251,105166,672,18194,72960
1272,96975,393,22779,76845
1289,163171,3625,7800,11110
1341,196404,588,0,0
1376,188901,805,3547,3739
1377,187380,444,2938,6230
1380,140881,249,11660,38559
1386,194111,383,469,2029
1390,179387,738,3552,13315
1391,196981,11,0,0
1421,120298,163,28828,47703
1433,153061,5275,17116,21540
