,TN,FP,TP,FN
30,185706,0,0,0
37,152848,9,6490,3274
64,153961,5423,13199,1837
74,57129,208,124000,2830
75,195167,1127,526,172
101,179502,0,0,8769
111,139987,188,30291,4467
120,196890,0,0,102
122,163307,74,5605,6460
138,153822,971,39876,2323
162,175261,185,0,0
173,196992,0,0,0
198,194056,2936,0,0
210,196992,0,0,0
225,176798,244,15315,4122
256,158771,1531,34714,1976
257,167705,9793,0,0
272,151686,10525,10269,1427
286,113576,18605,56943,7868
294,183415,548,11388,1641
315,157088,847,32832,6225
328,167016,37,5407,2473
349,172114,358,13150,2136
367,171883,11,1660,1379
387,196664,328,0,0
397,189919,4,9344,6446
401,174766,0,0,167
411,159010,1520,12348,2055
414,104154,325,33885,6302
426,199157,217,46858,11294
445,174773,0,0,160
455,133881,1560,40866,10425
487,197993,0,0,25
495,196992,0,0,0
510,196992,0,0,0
560,195797,62,767,366
588,153399,13740,7383,411
599,169195,3120,21310,3367
603,196992,0,0,0
614,162223,3365,7197,96
620,174162,1734,6217,1541
633,158653,4974,23012,1119
638,181995,1453,6169,1219
653,181014,687,13955,1336
672,206509,83,14267,3835
675,169254,5665,24998,4770
692,174364,397,11486,1511
700,157614,2562,33672,3144
701,150647,3575,18247,2464
704,255557,1,4793,2818
705,163467,246,25528,6725
712,223393,0,11961,4730
722,140286,476,31553,2618
723,127985,20,10587,31724
726,171286,83,29999,8962
731,164650,195,8131,1957
774,174933,0,0,0
785,171937,67,2266,663
795,196805,0,0,187
821,106241,89,78752,11910
827,203785,1584,33449,7422
831,177817,160,30069,6901
835,172377,3594,14017,1874
848,178085,849,23297,1943
861,169707,1249,13371,8561
869,181052,506,13137,2297
874,182275,82,14462,4790
890,189298,1072,4020,2602
891,180210,487,13246,3049
892,157950,405,10656,5922
913,161119,770,9549,3495
914,140270,413,25277,8973
924,174878,138,16393,1992
934,185623,416,9548,1405
935,177133,16038,2945,876
950,148333,125,22183,4292
957,173606,1,779,547
963,195924,13,507,548
973,185705,0,0,1
980,97936,849,92274,5933
981,208698,0,2361,1836
986,194683,5,1448,856
990,178286,136,14509,3035
994,146800,55,9009,3679
998,176274,895,18413,1410
999,203771,71,25121,6504
1000,196992,0,0,0
1038,193090,29,2093,1780
1047,122059,50,72460,2423
1048,196989,0,0,3
1053,182702,1802,10341,2147
1071,183989,18,1912,11073
1097,162203,204,12712,2379
1108,118783,885,59467,17857
1113,182029,41,12680,2242
1117,112379,2093,36634,36139
1133,175357,486,19007,2142
1137,206042,806,2949,1559
1159,152301,60,0,0
1173,165095,792,7752,1807
1174,140266,182,45007,11537
1177,196987,0,0,5
1195,131541,3919,51618,9914
1214,184094,152,2210,1302
1218,135046,2238,26452,3502
1224,213478,234,7693,2263
1257,180028,881,6878,3562
1260,68167,29,124457,4339
1263,196991,0,0,1
1278,165890,113,6830,2100
1281,96185,4228,70841,3679
1287,141641,1983,16,0
1296,169850,142,3395,2059
1308,196405,587,0,0
1329,141728,87,40566,5377
1337,181287,1090,7528,7087
1394,172125,146,6754,1551
1410,190404,378,3585,2625
1412,195206,1786,0,0
1430,196590,0,0,402
1436,62527,16228,93730,2448
1441,186335,67,7258,3332
