,TN,FP,TP,FN
2,162766,3940,7195,1032
13,183989,11719,548,736
27,142521,332,1600,213
29,196025,2,388,577
41,192083,0,0,292
62,163440,0,0,6876
72,195607,0,0,1385
88,140409,9667,36559,9844
102,166379,141,3504,5422
105,153387,0,0,0
118,163108,711,10725,389
129,145603,741,23871,5231
142,139198,686,43791,13317
162,142198,2743,24960,5545
173,196936,56,0,0
184,156419,914,12267,27392
194,136553,0,0,6061
197,166829,13,3639,3939
210,195120,679,1169,24
235,104408,0,0,92584
239,216735,1906,7519,586
271,167539,7,1949,3899
327,90954,0,49308,34158
333,167751,0,0,0
348,173323,0,0,1610
374,123654,35994,31684,5660
376,169715,31,20942,6304
381,186986,6787,3122,97
386,150524,2,31973,14493
401,163005,73,8132,3723
429,209869,461,0,0
431,151054,5191,40262,485
451,132049,2406,21334,19144
483,129272,65,60329,7326
487,171670,1605,22485,2258
535,190232,43,4888,1829
542,158689,324,6459,9461
564,142200,89,16546,16098
590,185048,6314,3901,1729
637,175193,0,0,253
647,174881,0,0,52
655,196989,0,0,3
661,190941,487,3945,1619
664,160077,201,27534,9693
667,122466,203,31367,21923
681,141412,787,30337,24456
688,149991,114,22859,5047
694,133963,267,1416,1325
721,159889,0,0,37103
740,113005,1192,71613,11182
783,193975,3017,0,0
791,144246,159,5514,21936
807,175199,348,12668,8777
812,164130,211,25138,7513
836,144083,2595,21923,6845
852,169331,179,3277,2146
876,179583,6098,8344,2967
878,174658,0,0,275
880,196605,0,0,2952
898,183345,9,2893,2537
941,182977,481,3894,9640
952,112178,364,29375,5827
966,145120,2624,0,0
969,177275,0,0,19717
973,181963,51,1176,2516
984,181952,89,10926,5564
997,184190,271,10474,2057
1032,196992,0,0,0
1056,167177,774,6018,2503
1077,175377,1608,0,0
1124,166947,319,22233,7493
1144,158639,1070,30640,6643
1152,187288,21,6791,2892
1177,145586,21837,26904,2665
1178,177498,0,0,0
1181,55115,1067,74541,44210
1196,143640,0,0,0
1204,127954,0,0,16199
1210,183790,3492,7919,4869
1216,103056,349,45816,26738
1232,190363,603,8297,10041
1250,173582,0,0,1351
1253,161919,0,0,35073
1262,122245,1349,44620,7232
1263,165777,31215,0,0
1274,111585,8806,61951,14650
1323,192862,4643,0,0
1340,147730,0,0,14
1346,165401,277,6436,2819
1350,169599,2,1428,3904
1367,128526,968,13367,50540
1412,195378,1046,559,9
1423,119494,2,7673,12367
1430,151873,2997,31516,10606
