,TN,FP,TP,FN
9,180310,252,15141,1289
14,190407,1708,2312,0
22,179677,1203,14452,1660
31,194003,156,2131,702
42,161968,977,9343,2645
44,195713,0,0,1279
49,228113,172,0,0
84,197775,0,0,1782
98,194315,1363,1056,258
125,196992,0,0,0
141,196347,645,0,0
148,22423,70,60494,8327
155,195215,1777,0,0
168,80511,137,70583,45761
170,194486,3089,10859,1896
174,105707,2620,60422,28243
187,175958,0,0,1
198,196992,0,0,0
199,242030,857,5427,2030
202,196100,892,0,0
224,195903,576,0,0
231,196992,0,0,0
235,196992,0,0,0
236,174933,0,0,0
240,195604,530,774,84
260,191077,77,3534,1791
291,193579,0,0,335
298,261592,0,0,1577
301,219481,24858,0,4466
305,171767,2567,461,138
308,188417,8575,0,0
333,167751,0,0,0
359,196992,0,0,0
365,173896,524,0,0
370,180850,314,12228,3087
402,196827,165,0,0
406,174932,0,0,1
428,131710,1390,54854,9038
438,178400,731,13480,4381
442,191092,1135,2926,1839
452,194313,2301,357,21
471,196992,0,0,0
480,174933,0,0,0
491,196992,0,0,0
492,196992,0,0,0
507,158004,0,0,0
513,134429,442,74237,2248
524,193971,2508,0,0
533,191181,5214,596,1
536,197268,1049,10061,6569
539,196992,0,0,0
551,189795,11,4623,2563
552,110500,680,57722,6031
558,196964,0,0,28
587,196925,0,0,67
592,188814,3774,2741,1663
599,196970,0,0,22
606,174977,4573,0,0
609,115962,284,75107,5639
615,196992,0,0,0
624,196395,597,0,0
644,96024,4820,84054,12094
648,150929,2743,19704,1557
671,196147,845,0,0
677,166212,0,0,0
690,181438,0,12468,3086
706,196529,0,0,463
709,167051,22,3715,1067
721,196992,0,0,0
727,175391,0,0,568
729,196992,0,0,0
736,106608,1,36212,4923
754,158230,2514,1658,2271
767,168474,2947,0,434
773,119429,0,24997,3318
781,175145,301,0,0
784,218512,131,4864,2213
789,144687,341,47529,4435
791,171855,0,0,0
792,169552,1238,3368,775
793,91182,148,22794,3353
797,139602,0,23936,11395
800,196992,0,0,0
805,153621,568,39134,3669
815,196992,0,0,0
818,196992,0,0,0
820,190310,2435,3571,676
837,175306,0,0,140
838,148145,7,43630,5210
860,196473,0,0,519
864,173712,0,0,1221
867,196723,0,0,269
868,196961,0,0,31
880,191330,8227,0,0
884,143137,2762,16687,34406
893,74185,93,85655,15513
910,196893,0,0,99
920,183065,2732,8445,2750
929,166964,2433,8257,1383
936,139438,21607,17886,21139
940,175404,42,0,0
951,156082,189,685,535
961,56100,50511,68766,69
968,197298,720,0,0
977,196808,184,0,0
1000,196992,0,0,0
1017,213165,2808,0,0
1028,196992,0,0,0
1039,58401,0,50920,87671
1040,196597,395,0,0
1048,191794,4107,1048,43
1053,194360,0,0,2632
1059,196969,0,0,23
1092,201449,0,0,2212
1106,196992,0,0,0
1116,161251,240,31188,4313
1125,195921,579,0,492
1135,191579,644,3151,1618
1137,211356,0,0,0
1139,209540,790,0,0
1146,163759,11067,107,0
1166,196966,0,0,26
1168,115312,23088,36386,147
1169,122733,88,46632,5480
1172,113816,96,57443,3578
1179,196660,0,0,332
1187,166597,52,19096,11247
1189,196977,0,0,15
1221,167331,311,26924,2426
1227,172196,2737,0,0
1229,196989,0,0,3
1234,196982,0,0,10
1238,148229,20766,24736,3261
1251,196992,0,0,0
1255,50563,783,139747,5899
1263,196992,0,0,0
1270,196992,0,0,0
1276,195816,1176,0,0
1279,174933,0,0,0
1290,196984,0,0,8
1293,174933,0,0,0
1297,192377,4615,0,0
1304,194231,2761,0,0
1309,194967,715,0,1310
1381,196991,0,0,1
1382,192693,4299,0,0
1397,196992,0,0,0
1401,196181,811,0,0
1405,196086,906,0,0
1408,196992,0,0,0
1411,196654,338,0,0
1416,195806,1186,0,0
1425,212737,0,10499,39933
1446,183542,625,0,0
1448,99239,2361,158670,2899
