,TN,FP,TP,FN
19,58189,9492,149356,4579
21,179154,548,13428,3862
61,190660,6332,0,0
80,14473,986,157597,1877
99,51973,5838,114928,2194
104,113599,4512,76633,2248
109,157448,485,15882,1118
115,135362,561,37747,1776
121,174553,2376,1991,1143
123,129738,688,70383,7469
126,137697,666,9091,290
192,76587,417,117702,2286
194,120341,9820,12203,250
206,180576,0,0,0
251,194650,2342,0,0
275,154368,666,39393,2565
283,154436,912,16918,2667
297,151726,495,9081,12605
313,98811,2742,91890,3549
320,196606,0,0,386
324,118093,815,73657,4427
345,177498,0,0,0
416,107399,1938,85370,2285
457,117567,171,76656,2598
478,61546,278,102177,11445
546,187684,291,6980,2037
576,128125,1025,47855,19987
607,108039,1384,86640,929
608,188969,1317,37,0
619,116864,690,75803,3635
622,118281,482,75689,2540
629,79183,3444,99213,3353
631,206580,1308,41238,3270
654,105294,344,65557,3738
662,104144,313,65404,3533
665,176842,9,17816,2325
703,61152,827,130642,4371
734,139636,950,59026,3023
735,124882,326,65138,6646
739,84004,594,85251,5084
751,178524,0,0,0
757,57926,3035,136324,17662
775,129430,17,49511,3670
776,167238,0,0,0
823,95785,1472,77202,3552
851,110263,365,81357,5007
873,61965,4142,126370,4515
886,195662,0,0,1330
895,112303,5330,57371,6598
903,126906,767,65298,4021
906,69013,8519,114646,4814
911,112576,410,80849,3157
933,182439,4160,9330,1063
968,118098,153,74224,5543
974,95236,125,35569,1424
993,178388,0,0,18604
1007,137337,93,49190,2677
1019,71422,439,106010,2705
1029,78045,569,73404,3934
1046,196992,0,0,0
1058,196697,295,0,0
1077,103455,675,68462,4393
1085,75215,1379,117516,2882
1094,196977,0,0,15
1104,190836,0,0,0
1105,105021,1170,62732,6010
1134,160998,82,31509,4403
1159,56950,10839,82551,2021
1196,132794,0,0,10846
1199,160162,1061,33341,2428
1201,145717,1041,62051,4599
1203,183283,13648,61,0
1211,105795,1561,65290,2287
1259,83400,1783,89421,22388
1264,146081,173,48600,2138
1265,116920,248,45650,11602
1269,127028,66,43462,4377
1303,71390,1781,95093,14364
1306,108396,32,77660,10904
1310,147084,1677,18190,1826
1316,138636,1562,44305,12489
1320,172575,1332,0,0
1332,91737,111,71717,9829
1364,174774,672,0,0
1435,196524,0,0,468
1440,119687,850,50232,4164
