,TN,FP,TP,FN
13,194367,340,64,2221
15,173907,0,0,0
19,213559,5305,1926,826
21,190859,1192,3924,1017
40,73781,6581,91422,3149
47,156465,0,0,0
61,196762,0,0,230
72,192078,0,0,4914
73,192248,0,0,4744
86,188034,72,8266,620
90,196985,0,0,7
97,148649,382,24872,1030
99,174417,469,0,47
105,92456,670,57674,2587
107,196988,0,0,4
109,170957,1273,1557,1146
114,196992,0,0,0
115,169535,158,4268,1485
119,189115,695,0,0
121,180059,0,0,4
123,207152,868,253,5
131,126163,358,62782,7689
134,107185,0,0,72365
162,170193,5132,60,61
169,158578,17913,19822,679
171,167590,89,5334,894
177,175123,836,0,0
178,156166,1896,35167,3763
180,196991,0,0,1
194,142614,0,0,0
195,195088,0,0,1391
196,139590,1090,4084,2980
204,129040,234,60749,6969
206,180576,0,0,0
213,196725,0,0,267
219,167605,0,0,659
234,174933,0,0,0
236,160945,148,12927,913
250,125069,689,57384,10259
251,180225,587,5688,10492
252,196992,0,0,0
254,175446,0,0,0
267,174271,0,0,662
273,196828,164,0,0
275,194102,118,1499,1273
283,167471,618,6083,761
285,196992,0,0,0
287,105521,717,48613,4179
288,174933,0,0,0
290,174931,0,0,2
297,169753,3096,500,558
320,193414,607,2438,533
347,182693,72,13220,1007
353,143548,0,0,92
379,193319,0,0,3673
388,196433,0,0,559
417,136663,863,55382,4597
448,81446,2951,93202,19393
454,100035,0,0,0
457,179393,188,15328,2083
463,183003,41,12662,1286
474,52266,517,138524,5685
481,128602,270,61391,6729
482,191598,0,0,5394
490,94198,1898,78507,6486
491,196992,0,0,0
497,170620,3195,908,210
502,174933,0,0,0
505,155026,298,37076,4592
523,196992,0,0,0
531,208026,2963,2240,1718
546,196734,0,0,258
565,150918,1517,39235,4809
566,194469,34,1399,1090
573,173277,351,878,427
576,196849,0,0,143
584,142791,403,51063,2735
608,142279,1119,43307,3618
617,195938,0,604,450
629,185193,0,0,0
644,193729,3263,0,0
654,169564,121,4665,583
666,164514,870,8185,1364
670,109570,541,80947,5934
682,174416,0,0,4
685,195448,0,0,1544
687,157650,1545,14145,1593
695,196341,0,0,651
707,174518,4,17074,5396
708,119658,13175,32789,9824
721,160249,34222,2044,477
734,202602,0,0,33
751,143779,168,30747,3830
757,206866,114,5526,2441
758,229096,1219,2741,30113
762,196963,0,0,29
786,143660,7410,22982,881
788,196992,0,0,0
800,196901,0,0,91
804,117975,360,54008,3616
805,150611,8038,35173,3170
819,174933,0,0,0
820,185424,1274,2476,7818
826,156975,0,0,3
828,112267,12239,69924,2562
829,99866,36,46494,3400
841,84421,100,58963,5799
846,127322,506,65211,3953
879,205574,0,0,2704
885,166717,60,5627,2016
886,191061,1216,3481,1234
895,181221,0,0,381
897,105025,193,67255,2460
905,111417,599,59337,3580
906,190402,0,0,6590
911,196159,0,0,833
925,193130,0,0,3862
930,196992,0,0,0
945,55454,10629,122623,8286
959,122155,804,69043,4990
964,179728,646,14849,1769
970,187165,346,9287,194
974,132106,242,5,1
986,196611,0,0,381
989,121490,20,68074,7408
993,184642,0,0,12350
996,174420,0,0,0
1008,196312,378,298,4
1019,171837,446,7699,594
1024,53146,6968,36325,91832
1033,196913,75,0,4
1035,187511,208,4820,4453
1046,195639,233,975,145
1048,180907,13682,2350,53
1058,196462,530,0,0
1067,78531,305,102931,9069
1077,175927,1058,0,0
1087,99280,931,72358,2877
1089,96979,3346,64812,6205
1091,157415,265,35644,3668
1094,192538,764,3579,111
1101,239946,98,19696,3429
1104,113200,692,74179,2765
1105,173134,662,1074,63
1110,54361,1777,105662,17750
1114,182895,1657,9993,2447
1115,69504,728,93817,5754
1127,196991,0,0,1
1129,190263,1088,4988,653
1132,149499,5073,319,35
1136,132584,589,61010,2809
1138,74965,111,97679,2178
1145,183642,0,0,12
1153,196991,0,0,1
1155,196992,0,0,0
1158,196230,16,709,550
1165,156008,17725,2356,383
1192,132687,2356,56817,5132
1196,117086,119,7146,19289
1204,143087,0,0,1066
1210,200070,0,0,0
1211,173574,148,1086,125
1219,96140,1031,82231,3226
1222,142206,103,48154,6529
1235,171981,2815,119,18
1240,137252,71,36673,4015
1251,180655,1803,13822,712
1259,196980,0,0,12
1264,195482,85,887,538
1265,174262,158,0,0
1282,160211,2183,26867,7218
1293,174933,0,0,0
1294,191226,325,3123,2318
1303,182621,0,0,7
1306,196841,0,0,151
1307,82999,2093,101809,8039
1310,168499,0,0,278
1316,196992,0,0,0
1320,134307,1301,33390,4909
1324,174711,222,0,0
1331,194569,1000,380,1043
1342,198018,0,0,0
1356,196745,247,0,0
1364,175092,0,0,354
1376,196946,46,0,0
1377,196526,82,234,150
1380,180634,1695,7697,1323
1398,161870,6806,26122,2194
1407,171949,0,0,2984
1414,102393,938,87549,6112
1424,138155,47,7596,1946
1435,189526,4790,2411,265
1437,91775,271,85923,19023
1440,174200,733,0,0
