,TN,FP,TP,FN
10,196992,0,0,0
59,159385,9401,27367,839
60,118888,189,53520,5927
69,193610,3382,0,0
78,77164,10352,100175,1606
79,134592,745,76216,7498
82,170891,16486,9118,497
100,191174,5818,0,0
106,137543,825,46223,12401
133,153004,610,48364,2709
156,195764,0,0,1228
157,95199,1060,89060,8082
158,132236,548,51908,12300
165,174932,0,0,1
175,132901,2827,71791,3837
190,163904,184,16094,3472
203,152821,1202,37525,5444
237,128626,1531,8756,2162
242,121327,1796,49219,2591
257,177185,0,0,313
259,193222,3734,36,0
277,146673,344,46349,3626
288,133865,24,35006,6038
296,160718,526,30992,4756
314,82624,1309,109601,1919
319,158343,508,15069,1013
323,184664,0,0,16
330,207955,217,7037,764
340,140881,1237,39130,1380
343,119956,8665,62302,6069
344,151521,78,40536,4857
363,188054,0,0,8425
368,192957,347,2588,1100
380,156897,312,28168,11615
391,150385,25,52968,6952
396,170223,23390,3240,139
403,164454,262,28817,3459
409,123516,398,70672,2406
415,149010,145,41864,5973
427,175444,0,0,2
435,165398,89,25755,5750
437,163149,40,30967,2836
470,117431,54,75116,4391
559,173439,0,0,1494
567,150332,213,83084,16715
568,196992,0,0,0
569,155555,890,37803,2744
571,80412,317,81355,4128
603,166564,23,22352,8053
634,181949,0,0,1705
635,140284,207,26736,7193
641,171973,35,20476,4508
651,196738,0,0,254
669,194699,2293,0,0
680,134125,5684,52067,5116
698,184810,11669,0,0
701,171117,0,0,3816
702,130737,400,51356,28863
716,110104,457,50556,14329
717,152374,541,40540,3537
760,123176,239,48670,2848
774,111281,390,43141,20121
794,154978,780,34140,7094
801,177411,1290,16485,1806
809,196992,0,0,0
854,131211,104,39729,3889
864,124529,628,48025,1751
875,170402,312,3425,794
881,92200,1716,75613,5404
888,149529,1851,37854,4680
890,193369,0,0,3623
901,105849,947,79764,10432
927,157574,128,35680,3610
931,149529,88,35535,11840
946,112650,1059,71021,5080
965,73375,17305,103632,2680
975,56307,19669,94721,4749
976,130126,832,32030,11945
988,114121,1287,57759,6896
1000,185557,520,8828,2087
1004,195648,1344,0,0
1012,118499,252,89141,8594
1015,143963,622,48237,4170
1016,138738,1108,32551,2536
1023,95704,621,75199,25468
1030,123207,96,68460,5229
1042,159274,240,12831,2075
1049,112165,686,78450,5691
1052,187821,24,7373,1774
1054,166495,764,28012,1721
1063,150705,2064,41364,2859
1066,78115,376,109431,9070
1070,126209,901,65692,17528
1073,143293,435,28785,2420
1074,155213,69,36865,4845
1081,181399,811,12318,2464
1083,180553,5153,0,0
1086,76146,710,150994,5052
1103,216376,460,36826,9507
1111,102992,486,79779,13735
1116,158701,1168,33002,4121
1126,99899,21752,73094,2247
1130,143212,37,30093,2617
1131,115936,371,50051,8062
1135,166665,10263,19630,434
1137,211356,0,0,0
1143,197537,1165,14954,2317
1148,112738,546,60217,1432
1149,147321,396,45872,3403
1156,94444,3451,67831,10233
1161,31588,965,157721,6718
1166,179283,85,13778,3846
1185,162184,7,28985,5816
1190,120650,96,48142,6045
1197,107781,3615,84712,884
1200,82399,26544,58614,3272
1213,100823,350,87074,8745
1217,181730,198,11727,3337
1223,63329,879,96427,36357
1228,168455,4558,22165,1814
1234,175559,12545,6660,2228
1244,100598,285,92055,4054
1273,165988,16,9664,21324
1295,152946,2230,32736,9080
1298,141363,1458,48757,5414
1299,86069,542,104792,5589
1302,168863,921,24107,3101
1312,184084,0,0,12908
1327,156978,0,0,0
1330,108911,48,83833,4200
1343,128602,244,64976,3170
1347,97985,10,65712,11226
1348,150913,8,40707,5364
1349,102276,6923,61875,3859
1363,174933,0,0,0
1365,15181,506,159870,21435
1382,196807,0,0,185
1420,18653,333,168388,9618
1429,196992,0,0,0
1443,182979,0,0,14013
