,TN,FP,TP,FN
8,174592,0,0,341
10,167307,224,2573,26888
18,196601,391,0,0
25,156935,10812,2227,4959
26,186015,4974,4304,1699
28,196992,0,0,0
33,172094,0,0,24898
35,196992,0,0,0
45,192476,421,3042,1053
49,228174,0,0,111
50,215979,0,0,2046
54,180115,748,5759,10370
55,174300,633,0,0
56,204885,7497,0,0
65,196868,0,0,124
76,192466,0,0,4526
77,196992,0,0,0
79,218973,0,0,78
85,194750,0,0,2242
94,185991,6834,1798,2369
100,196992,0,0,0
106,196992,0,0,0
117,196992,0,0,0
125,196992,0,0,0
141,192883,737,3246,126
146,180614,16058,309,11
147,112224,8050,33203,21456
150,157712,13303,20039,5938
155,192465,4527,0,0
186,196419,0,0,573
187,175899,0,0,60
189,134580,2252,32816,27344
191,196992,0,0,0
195,196468,0,0,11
199,242599,7126,372,247
202,163992,5504,20284,7212
205,142307,1174,49329,4182
211,154737,776,35290,1572
222,214430,0,0,4
224,196479,0,0,0
227,195468,0,0,1524
232,193961,1968,301,762
240,194037,2955,0,0
245,186732,0,0,0
248,196031,845,0,116
249,196992,0,0,0
253,147744,0,0,0
255,161748,6913,391,5881
258,168599,3848,18865,5680
259,168949,15634,11095,1314
265,196992,0,0,0
268,176922,632,7496,11942
276,173033,0,0,874
278,165217,2711,7297,1247
284,187509,9092,359,32
285,189836,7151,5,0
291,193514,400,0,0
298,229883,27013,3505,2768
302,192483,2240,1544,725
304,196252,0,0,740
306,180765,0,0,16227
307,196992,0,0,0
310,192914,0,0,4078
326,168228,35971,13257,56
329,177991,800,8118,849
346,182438,0,0,14554
350,174933,0,0,0
351,174933,0,0,0
358,134714,35546,4571,102
361,195572,0,0,1933
362,196992,0,0,0
368,189197,0,0,7795
369,176004,468,0,0
379,187355,0,0,9637
387,196992,0,0,0
392,71803,9876,57137,7389
394,134865,0,0,40068
396,196287,0,0,705
405,196977,0,0,15
406,146941,887,10594,16511
424,185872,475,5179,5466
432,190806,150,2099,3937
438,196992,0,0,0
449,196992,0,0,0
459,196992,0,0,0
468,173384,762,13625,9221
476,174933,0,0,0
480,142554,1164,13811,17404
484,255474,0,0,0
493,156966,0,0,21045
506,178089,0,0,18903
507,157961,0,0,43
509,142077,43228,10992,182
517,174925,0,0,8
524,196418,0,0,61
528,196362,0,0,4734
538,196709,0,0,283
539,192965,963,1593,1471
554,166499,7651,14752,8090
558,196992,0,0,0
559,174933,0,0,0
561,196514,0,0,478
573,174933,0,0,0
587,184331,1597,5453,5611
591,141652,10357,37761,7222
595,179030,17962,0,0
597,166112,965,3718,4138
602,174611,471,20168,1742
606,167180,12370,0,0
611,192526,5395,0,97
623,198009,0,0,9
624,195142,614,843,393
643,195569,476,279,668
645,172443,0,0,2490
646,174810,0,0,123
651,196593,0,0,399
658,172270,2663,0,0
660,225720,0,0,0
669,196692,0,0,300
702,149847,0,0,61509
710,141545,33388,0,0
727,175848,0,0,111
733,198382,17887,0,1756
746,196992,0,0,0
754,164673,0,0,0
765,182732,14260,0,0
769,175159,0,0,21833
770,58510,0,64727,73755
772,154370,869,6894,12800
780,149248,3710,11701,10787
782,195839,0,0,1153
792,147550,0,0,27383
795,196900,0,0,92
798,127733,0,0,4
811,151816,2443,19347,1327
814,194976,1653,282,81
834,167134,777,10472,18609
837,148676,868,14641,11261
843,187980,0,0,9012
859,182501,618,6957,6916
860,196992,0,0,0
862,192245,4747,0,0
868,186226,1287,3347,6132
875,174933,0,0,0
877,151390,9103,25431,11068
878,171969,1350,894,720
900,192034,4958,0,0
910,166719,30273,0,0
916,192624,0,0,4368
918,196772,0,0,220
919,174420,0,0,0
930,196992,0,0,0
937,133020,8066,35754,20152
947,196619,0,0,373
951,157204,0,0,287
953,196895,0,0,97
955,196910,0,0,82
956,195616,0,0,1376
960,196992,0,0,0
971,166366,30625,1,0
977,196988,0,0,4
1004,196990,0,0,2
1014,178074,0,0,18405
1028,193370,3622,0,0
1030,195728,0,0,1264
1032,194658,2334,0,0
1037,184238,0,0,12754
1040,181801,926,6009,8256
1045,175446,0,0,0
1048,188769,8223,0,0
1052,196992,0,0,0
1059,190627,0,0,6365
1063,47201,0,0,149791
1065,130296,17064,34593,15039
1073,171830,3103,0,0
1074,96530,0,0,100462
1076,221214,126,3288,3144
1078,159656,37336,0,0
1081,174011,22981,0,0
1088,174987,4426,15993,1586
1092,203661,0,0,0
1106,157552,224,33342,5874
1107,140820,2060,18908,35204
1112,194499,2459,0,34
1121,153665,2350,31273,9704
1125,194801,0,0,2191
1130,175959,0,0,0
1143,180183,7177,18869,9744
1165,176472,0,0,0
1170,188148,1549,21,7274
1180,81901,37626,35926,36409
1182,158671,1535,14144,22642
1186,145909,5532,41277,4274
1189,196831,0,0,161
1197,124237,950,34249,37556
1206,196629,0,0,363
1227,174681,0,0,252
1229,195803,1169,19,1
1231,173009,0,0,1924
1261,145751,5467,36953,8821
1268,184021,0,0,12971
