,TN,FP,TP,FN
9,196992,0,0,0
22,142941,10409,38121,5521
26,182521,1380,7290,5801
28,159686,37306,0,0
42,167083,0,0,7850
44,173503,16260,7188,41
54,166073,2495,27120,1304
85,165894,1455,26724,2919
94,185642,11350,0,0
95,196992,0,0,0
125,132500,5095,58621,776
147,144914,7281,18513,4225
148,91314,0,0,0
155,175438,21554,0,0
186,126173,1958,15816,53045
189,181095,12332,3128,437
199,141668,8541,98032,2103
202,123373,1648,63826,8145
224,157000,39479,0,0
241,117088,80417,0,0
245,96960,6682,82163,927
248,194534,0,0,2458
249,49414,2612,142664,2302
258,196361,0,0,631
265,196860,0,0,132
298,201963,4637,55261,1308
302,191601,350,4511,530
310,167490,7241,20936,1325
350,151521,3749,19549,114
362,45991,151001,0,0
392,145701,0,0,504
394,174933,0,0,0
408,196992,0,0,0
424,156230,21432,18266,1064
430,174933,0,0,0
438,138467,13157,43118,2250
442,162502,6642,24667,3181
468,111500,2306,81048,2138
480,174933,0,0,0
492,149159,3298,43436,1099
507,119472,244,26003,12285
527,5030,4059,138541,114
536,214934,0,0,13
554,174406,355,11202,11029
558,175035,21957,0,0
559,174933,0,0,0
570,137341,2532,54306,2813
587,186270,1642,6468,2612
595,183021,13971,0,0
597,153885,10226,10770,52
615,14585,14317,160052,8038
623,167928,2429,27443,218
624,161687,2963,27370,4972
637,139943,0,0,35503
648,174933,0,0,0
668,195966,0,0,0
706,9255,187044,693,0
709,171855,0,0,0
727,175959,0,0,0
733,218022,0,0,3
736,147744,0,0,0
770,153843,43149,0,0
772,162357,4193,6382,2001
780,165869,4367,0,5210
805,142174,4086,44032,6700
811,114631,248,56327,3727
814,184717,12275,0,0
837,161611,3251,8424,2160
859,193205,597,2881,309
868,180721,16271,0,0
877,170127,1685,22311,2869
910,130200,66792,0,0
920,156988,9181,19991,10832
947,173828,13109,9985,70
951,157491,0,0,0
1016,174933,0,0,0
1028,132443,48239,16305,5
1040,189180,2137,3610,2065
1065,177229,13548,0,6215
1073,174933,0,0,0
1094,196992,0,0,0
1107,174157,4029,17500,1306
1116,196992,0,0,0
1121,176475,10817,9437,263
1125,157154,4399,28585,6854
1143,178116,37857,0,0
1170,196752,0,0,240
1179,196273,0,0,719
1180,168935,0,0,22927
1186,189242,5783,1902,65
1197,196992,0,0,0
1198,204871,13661,6,0
1206,196992,0,0,0
1229,163005,7924,23602,2461
1254,196992,0,0,0
1261,167488,5168,21203,3133
1270,187319,4848,3783,1042
1290,130155,7169,51039,8629
1298,196992,0,0,0
1301,194617,2888,0,0
1302,196992,0,0,0
1309,145460,2522,45408,3602
1317,196023,969,0,0
1327,141005,15900,73,0
1333,191867,0,0,5125
1345,174933,0,0,0
1352,196782,0,0,210
1355,112651,33810,27027,1445
1362,196992,0,0,0
1370,194753,662,958,619
1381,174401,15460,6251,880
1389,128232,2726,64789,1245
1395,196992,0,0,0
1401,166346,30623,3,20
1404,194246,0,0,2746
1406,196992,0,0,0
1417,196992,0,0,0
1434,174933,0,0,0
1448,263169,0,0,0
