,TN,FP,TP,FN
33,190941,0,0,6051
34,146008,695,41142,9147
52,173896,1037,0,0
59,120317,4119,58632,13924
62,170035,0,0,281
69,177537,25,13300,6130
82,135478,468,33865,27181
92,119395,1516,67893,8188
100,194103,0,0,2889
101,177697,10574,0,0
108,128575,108,36291,9959
113,175678,3701,16542,1071
120,196981,0,0,11
124,189503,0,0,7489
130,192764,254,2972,1002
136,115283,608,21148,59953
137,174418,0,0,2
139,161979,7905,4838,211
153,151374,1269,21324,966
165,103401,3831,63698,4003
183,88794,525,71997,13617
201,144072,492,46853,5575
208,186954,441,8153,1444
237,113749,2425,21048,3853
240,196976,0,0,16
257,174846,0,0,2652
259,195748,0,0,1244
261,132998,82,36648,5205
263,156386,184,37392,3030
266,159306,49,19385,4914
274,170390,0,0,4030
280,94752,54190,20967,5024
282,176036,177,57892,7005
285,181627,949,11251,3165
286,195804,0,0,1188
295,182250,1196,8754,4792
303,105351,2247,78798,1362
304,159256,484,31951,5301
323,184530,0,0,150
325,174448,386,17939,4219
336,150342,20,21821,2750
338,159386,2457,13190,413
353,143640,0,0,0
355,165533,114,25767,5578
369,156641,12,15513,4306
372,132182,107,61067,3636
377,179016,251,16742,983
383,194770,0,0,2222
389,162640,268,32369,1715
393,143644,171,18558,34619
396,176543,0,0,20449
410,99236,5929,66727,3041
418,159308,509,31108,6067
427,175444,0,0,2
433,158333,350,7327,1741
441,138633,3925,50597,3837
444,156080,406,35212,5294
446,144482,119,27514,2818
448,189412,6576,1004,0
460,124452,442,66347,5751
471,185235,673,8970,2114
473,142013,8405,22973,1542
510,159974,0,0,37018
528,182886,11593,5878,739
533,196980,0,0,12
559,122881,7208,39908,4936
578,117913,5096,19127,18433
583,176203,95,16431,4263
588,166592,0,0,8341
595,171567,1369,20845,3211
599,196909,0,0,83
601,158804,353,32800,5035
620,183178,0,0,476
635,174416,0,0,4
647,167006,86,4956,2885
681,196992,0,0,0
689,14850,7830,148881,3372
693,155567,56,15751,3559
697,178984,211,13987,3810
698,182279,0,0,14200
699,193899,0,2054,1039
702,211356,0,0,0
720,108585,102,63909,2850
728,122407,5,40578,34002
742,132219,195,36692,5827
750,145181,1946,44838,5027
752,196581,0,0,411
765,194019,2972,1,0
771,197991,43,15947,3018
776,137650,134,24405,5049
782,196259,0,0,733
809,178809,26,14457,3700
817,154692,2051,38042,2207
819,87539,9789,67321,10284
832,137240,19912,30898,8942
843,196992,0,0,0
853,111373,149,80058,5412
858,128501,1170,61911,5410
865,180543,2428,22220,2061
870,169831,2,3525,1575
889,121975,66,48362,5043
894,154691,139,9717,32445
896,159338,329,13018,2248
919,155351,642,16512,1915
937,178912,1178,10603,6299
943,134376,2477,36139,1941
944,17569,7829,146313,3222
945,196992,0,0,0
948,131515,74,37630,6227
960,110459,1858,77551,7124
971,184430,167,11221,1174
979,155777,1179,35696,4340
983,76149,9772,123649,760
1003,97635,2502,89781,7074
1004,196992,0,0,0
1011,90866,966,101120,4040
1018,78752,2476,121672,11534
1021,204628,0,0,1598
1026,192982,35,2088,1887
1036,170728,105,2016,2084
1041,165206,63,27196,4527
1044,96124,2477,83029,7154
1059,123899,702,65828,6563
1072,68018,363,125544,3067
1083,185389,0,0,317
1093,114153,358,47916,12506
1099,113629,13588,68312,1463
1119,148529,3552,54291,2419
1129,93976,42,90587,12387
1135,188121,0,0,8871
1146,126869,0,0,48064
1151,154888,120,9680,10245
1171,176297,19540,64320,3012
1175,187594,1042,7544,812
1180,191836,0,0,26
1184,189273,350,6435,934
1202,66643,106,141172,15234
1204,135551,0,0,8602
1208,117272,87,74950,4683
1209,188743,57,2228,1860
1218,167232,0,0,6
1226,174154,68,15746,7024
1230,94823,4179,62950,13494
1232,209304,0,0,0
1234,190126,0,0,6866
1246,183713,5362,14614,2024
1247,115662,1823,51073,6375
1252,164386,66,27637,4903
1257,191129,0,0,220
1286,162438,932,29123,4499
1287,143079,0,0,561
1296,175338,0,0,108
1312,176177,11686,8229,900
1322,221377,0,0,41792
1327,148562,713,5762,1941
1336,196879,0,0,113
1345,174236,0,0,697
1349,168623,0,0,6310
1354,127481,175,61825,7511
1360,171396,52,22109,3435
1363,94905,1490,41744,36794
1370,194646,2346,0,0
1372,110536,1589,60118,2690
1375,144859,932,47697,3504
1378,154413,1269,91135,10196
1382,153234,4172,37053,2533
1383,133708,378,37182,3152
1384,57450,941,135370,3231
1387,146884,47,41397,8664
1393,90061,652,96670,9609
1395,162401,5520,25699,3372
1402,153213,530,26744,6245
1413,67985,612,140422,3363
1422,196989,0,0,3
1429,196992,0,0,0
1443,196992,0,0,0
1447,170187,1271,22538,2996
