,TN,FP,TP,FN
4,175380,0,0,66
8,141842,1432,22644,9015
23,196113,2430,36606,4422
24,161603,3820,54730,11723
50,181605,2501,23828,10091
52,174032,0,0,901
62,168270,2012,34,0
63,142354,5941,85614,4636
73,196992,0,0,0
96,149371,407,17525,7630
120,196845,147,0,0
139,171837,0,0,3096
151,167286,2320,23130,8360
156,192352,2839,1458,343
159,148158,2341,45069,1424
164,155244,1514,2939,9593
171,137985,87,26265,9570
206,126190,2242,48511,3633
222,172232,1532,29491,11179
226,82534,394,74508,16984
247,155460,955,13539,4466
262,199819,1689,25327,5041
270,176604,598,13489,4249
276,150283,416,16624,6584
290,152766,449,15475,6243
295,191948,4985,59,0
316,156561,440,9450,2326
321,196865,0,0,127
352,113121,144,53198,4366
353,143324,0,0,316
363,176333,7099,10787,2260
404,183306,78,11686,1922
413,108214,1364,55206,10149
440,181843,1461,31389,5384
465,152731,663,17265,4274
467,148221,2266,38953,7552
479,162574,62,27860,6496
494,72958,20,3792,2232
501,125350,1245,59220,11177
511,165777,1487,17165,1790
514,189634,2026,18401,8990
517,113725,11146,41674,8388
528,184706,0,0,16390
540,164582,1668,28891,1851
545,166200,82,25101,5609
548,139892,245,49165,7690
555,192746,3059,1185,2
557,193382,0,0,3610
563,176210,721,15675,4386
596,178772,412,13936,3872
613,103662,2722,72055,11371
621,194264,119,1576,1033
625,169147,305,23775,3765
626,53673,1697,139883,1739
627,70525,322,70147,33939
634,154306,2116,25091,2141
659,117773,2095,52796,13555
678,183871,9,6823,6289
681,196992,0,0,0
682,162968,2701,5978,2773
696,176004,224,16602,4162
718,168945,549,17874,9624
747,164395,66,6732,3740
752,167302,2356,24897,2437
802,125596,507,39711,9119
825,197921,3259,19274,1162
833,131611,683,35362,7277
856,155553,388,35986,5065
863,159236,1168,21977,7942
866,192888,0,0,0
872,196820,0,0,172
887,77460,4872,112215,2445
915,165632,613,58123,8534
930,141528,1311,39027,15126
938,201577,1417,42734,4616
972,144886,490,22547,7010
982,80386,1393,74001,9919
1021,95345,4743,104954,1184
1057,118796,3990,65085,9121
1080,112702,142,75232,4812
1082,196531,0,0,461
1122,121006,2798,64519,8669
1167,134655,93,58732,3512
1180,191831,0,0,31
1188,94969,4376,79144,9269
1205,111194,3498,70055,12245
1271,189430,2671,3649,729
1285,65189,1902,102527,4802
1302,196992,0,0,0
1313,196584,0,0,408
1361,148561,39,35135,8127
1422,192516,148,2825,1503
1429,186587,10405,0,0
1438,181070,161,7596,8165
