,TN,FP,TP,FN
53,196992,0,0,0
67,124487,439,45404,3064
86,191933,4394,531,134
90,162253,1531,23120,10088
112,190495,895,4523,1079
115,175431,0,0,15
134,141624,12667,16648,8611
143,147252,1735,44924,3081
145,112089,375,40059,22410
166,113120,3530,31135,4063
172,147884,3929,42020,3159
180,161782,2412,23015,9783
185,183428,761,11074,1729
198,194938,0,0,2054
213,119814,5452,65771,5955
233,165603,343,29097,1949
246,70467,6866,107131,12528
252,185866,0,0,11126
285,132460,539,50380,13613
309,137244,1231,30862,5596
312,162687,1006,27648,5651
320,173209,1285,16479,6019
364,112007,2891,57329,2706
366,132759,1931,48734,13568
379,196992,0,0,0
382,192343,42,3677,930
419,73609,9156,77748,14420
425,150588,1045,38238,7121
463,176313,1334,10462,8883
466,182880,383,19639,6915
498,118594,486,69921,7478
502,169801,1124,3347,661
506,174893,0,0,22099
523,166987,239,17720,12046
531,170151,842,26717,17237
537,135021,558,55462,5951
544,150081,48,40306,6557
553,43649,897,136363,16083
565,194729,0,0,1750
573,166483,172,6023,2255
582,166466,197,24125,7230
617,184329,653,7748,4262
640,125239,1080,42473,6141
666,174796,0,0,137
683,149517,201,20116,6125
687,135120,424,25116,14273
758,174350,30681,47202,10936
763,136692,771,25966,7913
768,141511,4505,44765,6211
788,196980,0,0,12
790,175172,960,17315,3545
816,175700,421,18276,2082
845,168086,4489,2867,4
871,132486,3932,32929,5586
885,134305,3455,34344,2316
904,145856,545,22650,5882
908,170454,722,2045,2225
917,152842,34,14915,7142
921,161590,10,18995,7676
922,209750,0,0,580
942,105941,152,67397,23502
987,173754,80,530,1082
1009,98007,774,87940,10271
1013,186887,316,5642,4147
1024,108517,79754,0,0
1061,146369,175,35629,14819
1062,104330,836,83715,8111
1069,151905,1066,15330,6119
1084,174933,0,0,0
1100,164452,417,25453,6670
1114,192382,0,0,4610
1132,154926,0,0,0
1141,117235,9,26865,26207
1145,157430,1167,17761,7296
1153,81650,2616,89751,22975
1158,196478,1027,0,0
1160,134818,433,57061,4680
1178,160822,5015,9259,2402
1191,120042,513,45375,9003
1203,150854,768,33698,11672
1210,179619,11037,5464,3950
1215,125350,249,51415,19978
1220,138454,1041,42056,15441
1222,165364,1072,25010,5546
1277,146148,5284,20098,3403
1283,111667,1938,69433,13954
1289,185703,0,0,3
1292,128391,1078,38725,28798
1341,194463,0,0,2529
1398,181379,778,10295,4540
1435,179289,1025,13016,3662
