,TN,FP,TP,FN
4,102489,8268,55783,8906
7,41492,1255,147773,6472
9,140984,2447,51773,1788
10,196992,0,0,0
12,175446,0,0,0
14,193800,0,0,627
16,120313,242,0,0
17,175904,0,0,55
19,220608,0,0,1008
21,194424,390,1390,788
22,146604,3871,33073,13444
23,231236,1659,5392,1284
24,199583,6592,23785,1916
28,160483,1548,31798,3163
29,196886,106,0,0
31,100600,628,90623,5141
33,178356,3126,5928,9582
34,196989,0,0,3
35,96562,2181,91221,7028
39,142853,2705,16723,5470
42,107920,5777,58714,2522
43,134146,232,32653,7902
44,151945,569,41435,3043
47,47988,1701,98692,8084
49,211712,135,14134,2304
50,208899,408,6515,2203
52,170856,32,2861,1184
53,134801,1421,46026,14744
55,159248,1242,11960,2483
56,167557,2321,36121,6383
62,170205,0,0,111
65,140287,3675,42800,10230
69,196984,0,0,8
72,157821,3199,22369,13603
73,192163,21,2839,1969
76,159473,13170,21610,2739
80,159404,319,12468,2742
81,191906,895,3724,467
85,162992,500,27592,5908
86,188841,448,6148,1555
88,195452,1027,0,0
89,90701,652,80866,3227
90,185523,1510,8115,1844
91,104784,2516,112714,6732
95,131659,192,58059,7082
96,171189,122,1672,1950
98,134377,1583,54278,6754
100,149030,1208,40010,6744
101,188271,0,0,0
103,70147,346,68813,53069
106,196992,0,0,0
107,157868,393,33561,5170
110,165699,0,0,0
112,193570,99,2475,848
113,173568,235,17855,5334
115,170738,535,2938,1235
117,150499,67,34499,11927
120,196878,114,0,0
121,174311,1145,4118,489
123,206514,1764,0,0
125,125252,3604,58316,9820
126,147616,0,0,128
127,234441,0,0,0
134,174783,552,3491,724
136,129226,47422,14364,5980
137,160566,3002,9688,1164
141,196292,0,0,700
142,196557,0,0,435
143,181859,1590,13005,538
144,192031,819,3886,256
145,143472,13913,15765,1783
146,168578,419,25483,2512
148,91314,0,0,0
151,191697,175,5868,3356
155,157630,523,36410,2429
156,173476,3846,16344,3326
158,196992,0,0,0
159,133515,1730,59530,2217
163,196458,198,227,109
164,163795,226,3202,2067
166,94143,14607,34257,8841
167,161737,757,7417,3483
169,195406,96,1104,386
170,100161,2225,101414,6530
171,165469,1118,6019,1301
172,185633,39,8525,2795
177,170865,1463,2183,1448
178,193677,124,2025,1166
179,175667,286,5,1
180,167986,1120,22296,5590
185,195446,869,190,487
190,113533,2097,65603,2421
195,188647,1005,5938,889
196,147744,0,0,0
198,135759,2934,51548,6751
200,72535,8733,93275,22449
201,181272,4782,9828,1110
203,188202,0,0,8790
206,159186,544,17128,3718
207,191635,300,4429,628
208,181552,46,13759,1635
212,63748,4347,120627,8270
213,157789,3267,28880,7056
216,79313,2930,111356,3393
218,181727,2440,0,0
219,168095,0,0,169
220,159036,757,4573,1846
221,75720,4874,65681,29171
222,207206,1607,4945,676
224,123278,1165,61181,10855
226,145148,5385,23631,256
230,138209,42,33630,3052
232,184178,102,10335,2377
234,159853,1633,10079,3368
235,193355,2402,901,334
236,172970,157,1478,328
240,83132,804,102592,10464
241,74875,3489,89155,29986
245,169718,691,14254,2069
247,168339,740,3810,1531
248,139384,1356,44853,11399
249,166029,513,28909,1541
250,188502,4899,0,0
252,169567,18565,6353,2507
253,136305,837,8735,1867
255,131075,7453,29894,6511
259,163426,871,20578,12117
260,186301,1529,8358,291
262,225693,395,4134,1654
265,184458,6410,3431,2693
267,108165,443,63235,3090
270,187822,1315,4016,1787
273,155190,879,38882,2041
275,196992,0,0,0
276,167601,787,4593,926
278,146954,1753,24678,3087
279,70080,2675,143014,17646
280,113506,3337,19904,38186
284,170918,8957,11741,5376
285,194725,1576,562,129
290,169958,394,2987,1594
292,115280,3971,39574,16621
293,149248,1656,41831,4257
294,196989,0,0,3
295,184593,233,9622,2544
297,173887,0,0,20
298,170960,4474,85877,1858
300,196966,0,0,26
304,196781,0,0,211
305,85935,1637,85333,2028
306,139298,2511,30745,24438
307,157904,2178,33107,3803
308,75298,2456,102399,16839
309,145414,1488,26619,1412
311,191398,428,4118,1048
312,176845,490,16406,3251
316,165027,246,2266,1238
322,196916,0,0,76
331,105297,797,66428,2411
332,102816,388,89414,4374
333,155214,167,8119,4251
334,139364,686,31681,3202
335,76625,470,112425,7472
337,174930,1872,417,279
338,123152,7939,33577,10778
339,154848,319,37656,4169
341,52381,1257,139796,3558
345,173756,10,1926,1806
346,177245,665,14531,4551
348,158009,408,11017,5499
350,75956,2457,84607,11913
353,129475,663,10885,2617
355,164562,2412,25963,4055
356,129687,537,25072,19637
357,163210,149,9167,2407
358,120037,477,43761,10658
359,175204,110,16443,5235
360,168312,18,3605,2485
361,113125,5193,23362,55825
362,189069,3247,4301,375
365,72041,465,89467,12447
366,163634,6291,14372,12695
369,175287,0,0,1185
373,122119,152,50395,2267
374,190728,183,4160,1921
375,186264,177,8443,2108
377,196906,0,0,86
378,132078,1245,47559,5337
379,171918,844,19221,5009
382,196992,0,0,0
383,161504,1712,30812,2964
384,169656,508,3690,1079
385,152635,110,40456,3791
387,117844,666,68778,9704
388,118122,9216,36060,33594
390,147951,1022,21798,4162
394,134598,15061,22860,2414
395,139085,134,52880,4893
396,194679,0,0,2313
398,150726,248,18215,5744
400,239477,55,16348,2672
402,134712,403,57235,4642
407,137557,1735,53705,3995
408,160108,187,32878,3819
410,98219,76714,0,0
413,128926,2528,38149,5330
417,187701,1343,7110,1351
420,182136,1322,10580,2954
427,175446,0,0,0
430,152929,1696,14442,5866
434,154421,63,40928,1580
438,173574,645,20542,2231
440,208419,3079,7814,765
442,116587,554,71836,8015
445,137315,255,21504,15859
447,61336,766,147310,36315
449,196992,0,0,0
451,137673,523,22297,14440
452,142754,518,49384,4336
454,56140,1241,36110,6544
457,194760,422,1244,566
459,80571,296,105880,10245
460,164030,6470,25811,681
462,76700,142,111969,8181
463,182591,382,9493,4526
465,169657,288,3295,1693
466,183510,506,20872,4929
467,177875,170,12752,6195
469,118276,169,86267,5618
471,130259,6476,55291,4966
472,149262,409,36371,10950
473,174933,0,0,0
475,160549,490,32830,3123
477,99482,2896,88671,5943
482,167369,74,25336,4213
484,88767,1218,148591,16898
486,196992,0,0,0
487,196413,0,0,1605
491,113755,1647,67753,13837
492,111743,240,76249,8760
496,196992,0,0,0
502,170366,255,2675,1637
507,96146,3805,49144,8909
512,154907,1031,14874,4121
514,210033,149,3124,5745
519,196992,0,0,0
523,196992,0,0,0
524,172319,7947,13027,3186
528,173722,3094,19445,4835
531,198176,1984,10698,4089
534,194989,1101,672,230
536,139133,3959,60922,10933
537,196972,0,0,20
539,147798,403,32488,16303
540,196978,0,0,14
546,196503,0,0,489
547,164941,0,0,2297
550,156521,539,12507,5366
551,104639,1701,80674,9978
555,196960,0,0,32
558,127409,1612,60340,7631
562,178116,395,14126,4355
565,167195,1026,20271,7987
566,110877,437,74839,10839
569,166468,1915,21953,6656
570,139363,208,49626,7795
573,110560,221,60859,3293
576,182758,262,9491,4481
578,110230,49242,1095,2
582,127230,1761,56009,13018
592,92740,2649,93457,8146
596,191804,826,3299,1063
597,124691,687,45142,4413
606,109668,533,58622,10727
611,165030,499,23458,9031
614,72521,521,93463,6376
615,196897,0,0,95
616,196663,0,0,329
617,189958,553,4173,2308
618,162348,358,7595,1041
621,193994,0,0,2998
