,TN,FP,TP,FN
18,195445,1546,1,0
26,196073,0,0,919
32,196375,194,249,174
42,172118,2810,0,5
44,190452,5113,1208,219
70,154315,8212,27176,7289
72,173530,23462,0,0
76,196992,0,0,0
77,192571,2662,1236,523
86,194774,0,0,2218
95,193222,385,1229,2156
100,196992,0,0,0
112,189629,2393,2161,2809
116,144213,30207,0,0
137,166272,61,3788,4299
143,194533,2459,0,0
146,188481,1513,1797,5201
147,174933,0,0,0
152,158305,4631,6469,5528
155,179800,17,9632,7543
169,196992,0,0,0
187,145071,66,7181,23641
191,181503,5524,4871,5094
202,196992,0,0,0
227,193994,292,456,2250
232,196985,0,0,7
244,143716,2258,38959,12059
248,193960,2263,610,159
258,196687,305,0,0
269,76720,304,70615,49866
284,195331,1661,0,0
291,187476,196,714,5528
299,170620,4313,0,0
311,169630,6830,14751,5781
329,187552,0,0,206
342,129851,646,42950,23545
350,174933,0,0,0
374,196646,0,0,346
380,184815,842,7517,3818
387,188927,6858,764,443
405,194307,2635,50,0
406,166441,0,0,8492
411,147538,27395,0,0
420,196921,0,0,71
422,156892,6228,17426,16446
424,149562,8604,31345,7481
432,196992,0,0,0
449,196401,591,0,0
456,163436,370,6905,5248
468,191310,0,0,5682
472,192997,0,0,3995
475,176714,586,8122,11570
480,174492,0,0,441
504,166794,864,9738,19596
529,87999,2247,38564,46636
530,76157,948,46304,10484
547,127650,7077,14907,17604
562,196992,0,0,0
566,194931,2061,0,0
591,196992,0,0,0
623,197713,0,0,305
628,68625,70,95869,10369
630,196983,0,0,9
660,221405,4314,1,0
669,176371,159,15692,4770
690,196992,0,0,0
724,186275,283,8157,2277
727,160769,8325,6154,711
733,197809,14013,4612,1591
767,171841,0,0,14
772,157092,512,9704,7625
780,161922,1289,1189,11046
782,151352,1326,13054,31260
795,187256,1475,704,7557
800,195159,1833,0,0
837,173995,500,13,938
843,194546,2446,0,0
877,196689,0,0,303
900,196973,0,0,19
920,195701,1291,0,0
939,193426,0,0,3566
953,196444,168,315,65
956,87720,819,84715,23738
971,158785,115,34683,3409
988,180063,0,0,0
1008,191579,504,3821,1088
1032,186212,1872,3587,5321
1037,115827,305,39418,41442
1040,191375,1343,2415,1859
1052,157822,6829,12194,20147
1054,186254,0,0,10738
1065,193262,3730,0,0
1075,196842,0,0,150
1094,84089,112903,0,0
1106,180669,727,10909,4687
1121,195412,0,0,1580
1125,188808,18,1762,6404
1135,170861,753,16294,9084
1162,117474,4900,43816,30802
1170,196992,0,0,0
1179,136173,992,43648,16179
1186,185989,770,1995,8238
1207,68118,31,28830,16394
1212,161971,2189,0,0
1240,169487,1515,5142,1867
1259,196736,256,0,0
1261,195709,0,0,1283
1263,191446,0,0,5546
1290,196992,0,0,0
1297,183078,452,7646,5816
1311,196733,235,0,24
1320,173907,0,0,0
1327,149615,0,0,7363
1355,141262,0,0,33671
1359,192212,1626,2141,1013
1362,194029,273,82,2608
1370,195788,63,683,458
1371,93410,5882,55317,42383
1404,195817,1131,44,0
1417,194694,0,0,2298
1424,145897,1847,0,0
1439,193940,3052,0,0
1445,171676,1205,0,0
