,TN,FP,TP,FN
5,107862,274,53739,12545
20,148137,237,45307,3311
30,130806,102,47399,7399
52,166723,1265,4459,2486
57,252788,1139,6811,2431
83,125605,4112,66537,5355
87,150836,266,35770,10120
101,188271,0,0,0
119,189740,0,0,70
124,190728,6264,0,0
139,173659,0,0,1274
160,192022,75,4386,509
161,194400,14,1515,1063
176,104140,23526,39542,7725
193,181882,114,12308,2688
214,122693,199,59007,15093
219,165827,1034,1152,251
228,157068,219,17575,22130
243,84020,258,105125,7589
280,174795,0,0,138
293,165419,3222,20144,8207
353,143640,0,0,0
433,148711,95,14548,4397
503,103731,6356,76340,10565
510,164783,32209,0,0
520,89724,88,98080,9100
543,135496,6,35038,8497
568,123002,9995,57759,6236
581,157296,984,35389,3323
593,196992,0,0,0
598,190262,208,5105,1417
605,144184,815,37576,14417
610,154659,24,36982,5327
639,158979,119,15010,825
674,199880,0,0,190
676,163708,445,26660,6179
695,154439,118,36479,5956
698,196479,0,0,0
719,139337,4939,33646,18557
730,167238,0,0,0
732,136888,81,67966,14629
741,146375,91,101860,14843
745,173308,1194,14256,8234
849,152499,1455,37964,5074
872,195337,284,1264,107
923,193633,15,2090,741
954,183715,325,3159,2611
993,170696,395,20864,5037
1001,153473,386,19947,5231
1010,154704,22,35088,7178
1022,151419,29,31127,14417
1025,155926,329,34039,6698
1026,196992,0,0,0
1027,124847,212,65089,6844
1051,75333,71,81345,18184
1060,161213,209,29460,6110
1098,196992,0,0,0
1123,120761,536,50249,5952
1154,131542,651,56206,8593
1203,193502,3489,1,0
1218,167238,0,0,0
1234,196992,0,0,0
1236,95713,304,74160,4243
1239,130643,449,36058,6244
1245,196992,0,0,0
1248,165864,7,2378,6171
1275,188762,245,4887,2585
1313,193466,877,1769,880
1334,177503,166,34160,5683
1388,81340,85715,23627,6310
1418,172347,111,1000,962
1429,196992,0,0,0
