,TN,FP,TP,FN
1,66952,965,97379,10663
3,114997,1242,76243,4510
16,83592,5400,28782,2781
17,131645,1980,39546,2788
81,111896,1800,69488,13808
89,170608,2352,2445,41
114,111144,2415,80598,2835
119,124824,10105,46690,8191
126,147286,0,0,458
128,46684,125,40040,5491
132,130902,592,35654,7272
144,147191,507,45805,3489
149,125096,496,68151,3249
154,136311,3682,31724,4242
181,72352,136,93738,11785
182,78059,1477,111866,5590
194,136274,0,0,6340
215,103496,155,78535,14806
218,79685,1141,96907,6434
228,196992,0,0,0
229,122200,841,69682,4269
230,154993,1409,15497,3034
254,95307,2616,71865,5658
264,180210,169,14923,1690
295,196992,0,0,0
354,141646,16,51148,4182
443,126945,1462,43277,2223
453,119201,474,52033,6816
495,173899,490,19978,2625
500,95888,400,81425,5428
508,108595,673,57660,1849
541,155851,4806,34308,2027
555,196969,0,0,23
556,120864,43,47010,7529
572,69442,27555,94213,5782
575,148000,478,46183,2331
579,140791,253,31644,1732
618,86147,696,68078,16421
636,186034,1655,8234,1069
673,174830,69,19208,2885
679,140359,116,44435,2335
691,133613,21,12456,4732
711,176711,53,15889,5365
714,110884,2817,59130,2102
755,135129,968,35654,2669
759,138053,1164,32543,3173
761,102498,664,66966,3266
779,102521,2851,66747,2814
788,118114,870,71746,6262
798,82591,5432,34383,5331
803,151489,1767,43025,711
813,145974,1845,47014,2159
822,122875,483,34299,16763
824,123272,1427,46421,3813
826,156978,0,0,0
830,140616,9287,39088,1845
866,168881,717,20238,3052
882,114281,22,66516,16173
902,184002,101,16735,8466
907,149384,9604,14675,1270
925,113083,76454,7273,182
932,110842,2161,59111,2819
961,144653,0,0,30793
978,75725,5906,91495,2320
1002,174015,952,11042,723
1005,174312,2107,18219,2354
1033,184079,79,11375,1459
1043,152702,208,40644,3438
1079,133135,722,52008,11127
1104,190571,0,0,265
1120,161393,1126,33613,860
1127,192323,646,1096,2927
1132,154913,0,0,13
1142,172032,20,21216,3724
1150,97409,28278,27621,19060
1193,5932,185610,5085,365
1194,143828,2528,23284,676
1196,143640,0,0,0
1233,174823,212,18551,3406
1237,163060,287,25662,7983
1241,154070,3416,37469,2037
1250,168467,1357,4140,969
1266,98780,1053,66284,8303
1267,186062,4897,4770,1263
1271,167036,0,0,29443
1284,117307,8,51141,6477
1315,160468,3898,28912,3714
1319,172659,331,1519,424
1328,149721,693,43017,3561
1351,108775,40,55260,9319
1392,70151,4124,93077,8607
1403,171383,44,17690,7875
1409,164172,7,12447,1898
1414,196988,0,0,4
1415,173165,0,0,1768
1442,103166,2115,78043,13668
1444,37276,3,148798,24253
