,TN,FP,TP,FN
6,137891,3316,50644,5141
14,150954,3722,37966,1785
25,174921,0,0,12
33,192700,576,2976,740
44,190220,405,5908,459
49,228202,0,0,83
55,152570,3565,17827,971
56,194255,3146,0,14981
59,195240,1752,0,0
65,193618,2167,1207,0
66,185559,385,10716,332
94,185881,3350,7641,120
116,103165,0,0,71255
117,196872,0,0,120
140,158370,3642,33378,1602
141,188160,1975,6800,57
146,187512,0,0,9480
150,186278,1109,9176,429
155,196639,0,0,353
169,196987,0,0,5
189,196519,0,0,473
205,188713,1583,3921,2775
227,186958,1985,6837,1212
231,114746,9020,71393,1833
232,170138,3383,23078,393
253,144687,1646,0,1411
255,171032,219,71,3611
260,157797,38682,0,0
265,188261,6383,2348,0
278,174765,1637,70,0
300,131828,520,49053,15591
302,194783,684,1525,0
310,196772,0,0,220
322,100527,14724,61800,19941
330,215969,0,0,4
345,176727,0,0,771
362,196843,0,0,149
373,174505,0,0,428
405,181363,15629,0,0
407,144463,0,0,52529
427,92013,3997,78438,998
435,194977,0,0,2015
436,130777,2117,58174,5411
449,185956,2590,8259,187
450,105630,2249,30483,58630
486,132837,7563,56310,282
496,151446,1760,41025,2761
518,155262,3673,36948,1109
521,187565,321,8786,320
524,183612,428,10233,2206
532,126727,8985,61099,181
538,114801,2235,73586,6370
539,192962,2845,1185,0
561,179823,604,15071,1494
567,247963,0,0,2381
588,174511,0,0,422
602,187407,554,8404,627
611,193337,2725,1427,529
643,196992,0,0,0
645,165215,626,8695,397
658,151375,3192,20039,327
660,224504,0,0,1216
669,181973,631,13162,1226
677,161578,2392,2126,116
715,187297,9695,0,0
717,195673,0,0,1319
724,189783,39,5150,2020
746,169775,6178,19754,1285
754,164673,0,0,0
766,166618,1762,28149,463
769,195028,0,0,1964
778,95838,16669,84158,327
781,164365,1159,9757,165
794,196992,0,0,0
828,193756,3236,0,0
839,65861,0,79213,51918
842,110085,102713,34636,15735
847,196992,0,0,0
860,180737,426,13208,2621
862,154223,13104,28761,904
878,174933,0,0,0
879,203441,0,0,4837
884,193598,0,0,3394
918,173125,119,20622,3126
951,157491,0,0,0
953,196992,0,0,0
955,154982,3490,37333,1187
977,188591,1485,3069,3847
1017,189280,23523,3170,0
1034,120485,275,33661,20512
1045,175446,0,0,0
1088,169251,2717,22775,2249
1166,165848,2332,28487,325
1189,175322,1720,12575,7375
1206,192551,12,2357,2072
1212,151007,3589,9563,1
1263,178624,0,0,18368
1270,196951,0,0,41
1291,194223,407,2274,88
1301,197504,0,0,1
1342,197359,0,0,659
1359,195346,0,0,1646
1362,189905,0,4162,2925
1368,195966,0,0,0
1374,232095,1545,10378,1196
1387,192741,4251,0,0
1406,195500,1492,0,0
1408,146040,2564,44509,3879
1417,192633,16,2956,1387
1426,179490,689,14042,2771
1432,196297,0,0,695
