,TN,FP,TP,FN
0,157316,1847,30697,2515
13,196992,0,0,0
36,156431,1422,18083,3614
41,191192,604,43,536
48,182768,194,71950,8257
58,114533,1617,56309,2474
61,180962,244,9331,6455
68,158081,521,32783,4581
71,137565,302,27785,9281
84,140194,25,52483,6855
88,196479,0,0,0
135,149955,273,15185,2338
173,196781,211,0,0
177,152051,1175,16458,6275
179,170163,1693,2856,1247
188,129683,931,19199,3061
223,127963,1117,40617,5236
235,172298,7503,14870,2321
238,156526,465,15294,2648
318,194728,308,13971,1323
333,167751,0,0,0
399,125759,301,27472,2420
401,174385,0,0,548
412,167521,79,6247,2112
423,143407,614,26520,4392
458,158934,802,31402,5854
464,121212,51,50022,3648
482,184981,48,0,11963
485,151887,103,19895,3048
488,123634,34,32460,8545
489,154464,152,23234,3239
516,102477,1231,55361,10221
534,107279,1609,75020,13084
562,185497,511,8741,2243
577,164702,1562,7420,1249
594,117887,229,22744,3293
600,173690,486,688,69
612,195396,25,969,602
637,152798,11845,4491,6312
649,173779,430,11432,11351
657,143782,298,22849,3387
663,171789,51,16453,4082
713,148582,75,21950,4326
737,155186,108,16234,3405
738,159099,756,25131,2772
764,166956,11,5759,2207
784,225720,0,0,0
785,174728,0,0,205
786,173969,0,0,964
788,196992,0,0,0
796,107789,579,60500,6065
799,153144,768,13177,7844
806,151152,66,17756,5959
850,148340,757,21286,4550
857,153574,247,18292,2820
899,190789,3,4542,1658
916,167790,879,19370,8953
928,157708,121,11863,5754
949,133720,3620,34096,3497
967,156097,26,14587,3710
969,173258,2082,19830,1822
995,215355,54,8928,3435
996,85436,2889,73375,12720
1006,137626,879,33736,2692
1020,167132,44,22831,6985
1055,126762,254,40575,7342
1058,182420,98,12058,2416
1064,178470,150,15305,3067
1090,68549,1832,28090,4642
1095,186295,673,6786,3238
1096,111064,479,45239,18151
1109,108750,1697,37854,5599
1118,148467,289,22938,3239
1128,148822,174,25600,3415
1132,154926,0,0,0
1140,213124,12,7656,2876
1147,187799,630,4860,3703
1155,170425,768,17255,8544
1163,163505,248,29212,4027
1225,155994,287,15255,3397
1235,153705,1828,9364,10036
1242,181458,285,12596,2653
1243,189642,89,4864,2397
1249,158521,794,31638,6039
1280,169698,0,1984,3251
1300,177791,40,1191,1554
1305,141717,62,18991,3903
1321,161195,14,12112,2638
1326,168507,291,3220,2402
1335,148781,307,22591,2741
1338,96125,1856,68266,8686
1340,147593,151,0,0
1353,189146,53,5075,2718
1373,148358,15829,28067,4738
1399,110082,1299,55487,8065
1407,167037,366,4965,2565
1419,158355,1903,26126,10608
1428,150434,375,20098,4026
1431,180676,17,169,4331
