,TN,FP,TP,FN
0,32831,381,150702,8461
1,103521,2418,64628,5392
2,9155,841,157433,7504
3,78621,1588,113131,3652
4,100616,668,56525,17637
5,63110,1046,105653,4611
6,52772,3841,136028,4351
7,153272,2489,39328,1903
8,28581,2327,138540,5485
9,70755,1106,118857,6274
10,35115,9951,146821,5105
11,14660,13,180294,2025
12,98199,137,69901,7209
13,2855,143,143777,50217
14,44544,1097,142537,6249
15,16251,8324,144562,4770
16,30680,1546,79773,8556
17,42547,1447,126663,5302
18,13922,1476,173936,7658
19,162668,557,45559,12832
20,48303,207,146372,2110
21,23036,2455,166260,5241
22,114350,9370,67127,6145
23,46963,327,183301,8980
24,92310,1349,133046,5171
25,21904,5264,134725,13040
26,18464,1889,165904,10735
27,1624,0,140566,2476
28,69016,145,120769,7062
29,763,21,195780,428
30,52882,1387,126859,4578
31,97114,592,96390,2896
32,22436,709,172192,1655
33,41346,12736,132412,10498
34,47727,1366,144326,3573
35,95967,3614,88707,8704
36,21218,479,148901,8952
37,8867,359,152648,747
38,60298,994,156232,8196
39,39311,1093,113821,13526
40,93689,1535,71330,8379
41,169,410,189505,2291
42,74865,848,85499,13721
43,35241,1233,134384,4075
44,74463,4110,104951,13468
45,25127,767,167013,4085
46,38779,0,132763,3391
47,107103,211,40647,8504
48,77151,3056,178774,4188
49,39247,855,171847,16336
50,37517,3101,171022,6385
51,1481,204,192836,2471
52,12224,447,158390,3872
53,72063,3016,114755,7158
54,42580,771,144129,9512
55,35072,5485,126399,7977
56,43678,2592,147021,19091
57,9510,236,248528,4895
58,58264,519,111695,4455
59,166933,6383,19376,4300
60,56473,699,118861,2491
61,12624,3384,172176,8808
62,1598,3148,162913,2657
63,90695,528,136300,11022
64,19196,157,149967,5100
65,54859,1320,131200,9613
66,11941,77,184022,952
67,47397,131,121974,3892
68,37015,349,153541,5061
69,76888,360,113109,6635
70,30770,830,150817,14575
71,32992,4074,136277,1590
72,54953,3756,107174,31109
73,8147,5108,181719,2018
74,126469,141,54142,3415
75,329,0,194119,2544
76,40844,11892,97257,46999
77,47633,1808,128636,18915
78,108572,354,72058,8313
79,81313,4261,131342,2135
80,174299,492,0,142
81,81674,2298,105081,7939
82,65501,1572,125860,4059
83,71655,1779,119650,8525
84,58158,1180,138102,2117
85,60331,8619,125408,2634
86,20690,3579,166843,5880
87,43426,1714,149893,1959
88,44444,1411,137522,13102
89,86848,591,79723,8284
90,37781,5578,151471,2162
91,123964,438,58014,44330
92,73505,1521,115396,6570
93,123405,543,68282,5275
94,45012,627,121114,30239
95,66307,1693,118385,10607
96,25277,3095,143245,3316
97,25609,12,146285,3027
98,60254,1385,132086,3267
99,119466,1746,47035,6686
100,46793,609,121211,28379
101,5511,0,174274,8486
102,3936,11,170300,1199
103,76672,23230,87122,5351
104,78672,883,110233,7204
105,59657,139,89105,4486
106,65939,1091,80870,49092
107,57387,5368,120272,13965
108,41417,2355,128362,2799
109,18328,451,150766,5388
110,82659,1895,72952,8193
111,32570,806,139198,2359
112,11720,1970,169228,14074
113,36269,1296,96939,62488
114,83487,419,106446,6640
115,48902,286,119144,7114
116,29695,548,133576,10601
117,57450,259,137648,1635
118,11225,97,161373,2238
119,53021,2330,121945,12514
120,186,0,195881,925
121,9724,448,160467,9424
122,7369,2490,164022,1565
123,75961,434,127419,4464
124,7062,22,188376,1532
125,127324,3847,60679,5142
126,9707,52,134210,3775
127,164494,3227,47761,18959
128,44353,989,45105,1893
129,26028,1164,144382,3872
130,3865,52,191621,1454
131,69235,822,116458,10477
132,40147,2580,128722,2971
133,51010,102,149963,3612
134,88762,3021,54174,33593
135,17439,84,147738,2490
136,87344,34465,68586,6597
137,15032,1606,150303,7479
138,41190,41,150728,5033
139,11252,0,153169,10512
140,34963,335,155395,6299
141,11516,15,178170,7291
142,46921,5282,139955,4834
143,60995,74,124000,11923
144,54073,960,141052,907
145,78354,259,89501,6819
146,48616,9937,121812,16627
147,75642,8359,83922,7010
148,63923,2227,23674,1490
149,70805,1341,122580,2266
150,42755,3192,140463,10582
151,34484,3823,154130,8659
152,9406,1404,156046,8077
153,22858,51,149937,2087
154,33869,458,132495,9137
155,64577,4256,101616,26543
156,22422,1859,161577,11134
157,94195,2413,94355,2438
158,56640,3162,127122,10068
159,108872,16,78822,9282
160,4971,3,190947,1071
161,2315,163,194004,510
162,32796,3342,130567,8741
163,9474,2579,179888,5051
164,17374,100,145774,6042
165,70439,1154,99766,3574
166,85731,904,43900,21313
167,13804,593,154981,4016
168,68341,2651,119350,6650
169,29275,139,154409,13169
170,119493,103,84473,6261
171,47287,1727,119957,4936
172,54622,964,132425,8981
173,0,0,195473,1519
174,57013,484,130253,9242
175,76242,837,106953,27324
176,51542,4996,95290,23105
177,25575,1687,138450,10247
178,60418,615,129610,6349
179,3897,207,165820,6035
180,56825,3225,132985,3957
181,99197,4638,72104,2072
182,115197,2800,74747,4248
183,76595,8560,87881,1897
184,14615,5228,167711,9438
185,13713,206,177588,5485
186,16640,2251,171482,6619
187,15003,6413,152068,2475
188,21747,513,126803,3811
189,59939,4252,124361,8440
190,87514,814,93427,1899
191,14742,2184,174317,5749
192,118270,77,74127,4518
193,14397,110,180734,1751
194,21777,434,117836,2567
195,6396,653,179579,9851
196,6447,1781,135712,3804
197,6116,202,144367,23735
198,58831,119,133895,4147
199,112804,2053,116647,18840
200,94746,5000,75123,22123
201,79882,14201,93784,9125
202,99225,4726,88373,4668
203,54793,3904,94065,44230
204,63617,4053,127133,2189
205,54243,4049,131123,7577
206,72934,207,99021,8414
207,20255,295,172155,4287
208,24575,277,169209,2931
209,39006,2184,137087,18715
210,1236,0,194193,1563
211,38236,684,151866,1589
212,128796,1363,61711,5122
213,105104,2669,77663,11556
214,70082,564,123075,3271
215,87287,5349,101592,2764
216,113721,571,74241,8459
217,16876,322,177160,2634
218,103529,537,77331,2770
219,1742,161,164018,2343
220,42841,1137,113639,8595
221,90992,2964,66665,14825
222,40891,2170,161447,9926
223,45666,187,122844,6236
224,101596,3449,66843,24591
225,18037,497,175020,2925
226,107826,6945,54093,5556
227,10992,819,175461,9720
228,20254,7400,167638,1700
229,72353,550,118553,5536
230,52562,1098,116942,4331
231,77880,1369,106439,11304
232,40459,2691,142383,11459
233,30434,71,163021,3466
234,29034,903,137635,7361
235,17552,1921,162409,15110
236,15047,264,156738,2884
237,124926,16035,11,103
238,17688,254,153143,3848
239,9982,903,213798,2063
240,113240,2322,72152,9278
241,186346,2009,3749,5401
242,51693,158,118963,4119
243,110873,1387,82475,2257
244,45780,871,135912,14429
245,105803,880,78130,1919
246,113785,3715,66501,12991
247,21660,260,145361,7139
248,58287,2230,120150,16325
249,177932,535,16608,1917
250,66178,524,121498,5201
251,7427,996,180738,7831
252,44333,1247,135281,16131
253,10495,1371,128894,6984
254,74548,2927,90359,7612
255,56202,5226,83372,30133
256,36418,57,157232,3285
257,5481,85,164070,7862
258,24746,3867,162763,5616
259,50668,922,122683,22719
260,25856,639,138071,31913
261,39946,642,131630,2715
262,35634,751,187749,7742
263,196873,7,0,112
264,16249,134,178912,1697
265,8601,819,169817,17755
266,22363,668,158375,2248
267,68002,374,97629,8928
268,33628,4906,151754,6704
269,86602,9211,89421,12271
270,22418,1043,167572,3907
271,2657,311,167713,2713
272,11866,176,145795,16070
273,40948,4,151244,4796
274,3884,2,169228,1306
275,44812,488,148252,3440
276,27224,768,140880,5035
277,48296,230,144840,3626
278,36611,595,128889,10377
279,146853,7143,74899,4520
280,92265,1354,67067,14247
281,25997,350,147384,1202
282,62463,1439,174427,2781
283,26871,511,143227,4324
284,39040,5176,139777,12999
285,73836,3480,100764,18912
286,56373,2251,114685,23683
287,50923,640,99489,7978
288,38520,531,128466,7416
289,45257,1207,135951,14577
290,22514,1676,146992,3751
291,81152,2866,101255,8641
292,76109,5733,82360,11244
293,69690,5023,114633,7646
294,12688,170,180423,3711
295,23165,153,161489,12185
296,34454,607,158359,3572
297,10313,3707,150980,8907
298,184479,1399,34185,43106
299,0,0,165149,9784
300,51333,6466,128144,11049
301,0,6144,211214,31447
302,21751,336,168754,6151
303,79820,35,101018,6885
304,42926,342,141867,11857
305,87601,8,79864,7460
306,117884,18,72999,6091
307,69866,809,119641,6676
308,117696,3926,69034,6336
309,63362,719,106163,4689
310,29378,9445,154007,4162
311,20721,2403,151960,21908
312,51173,1647,142584,1588
313,95741,1551,94084,5616
314,110740,8,79060,5645
315,35494,1344,156825,3329
316,13637,463,150041,4636
317,38460,78,151498,6956
318,15240,54,191703,3333
319,15873,67,156934,2059
320,24040,1290,166405,5257
321,3338,100,191588,1966
322,71456,21052,90750,13734
323,14111,210,169292,1067
324,77552,1260,115323,2857
325,20811,357,172982,2842
326,44265,325,163948,8974
327,58662,6648,105326,3784
328,6128,1344,165813,1648
329,39477,650,142077,5554
330,7312,78,206881,1702
331,68991,705,103156,2081
332,93416,11,98775,4790
333,9227,30,129860,28634
334,33656,317,137992,2968
335,119427,636,75483,1446
336,23782,586,149685,880
337,854,9,171531,5104
338,82835,1304,77139,14168
339,40868,878,154162,1084
340,40596,19,138481,3532
341,144309,97,49948,2638
342,54494,2878,129840,9780
343,70334,4449,117704,4505
344,43559,692,150492,2249
345,3282,147,170316,3753
346,17426,11451,165521,2594
347,14035,56,181990,911
348,13324,1760,156741,3108
349,14031,1244,169278,3205
350,120635,1268,46311,6719
351,36173,1191,125476,12093
352,56815,678,111716,1620
353,13058,286,126871,3425
354,54262,1240,140090,1400
355,59457,1838,131235,4462
356,29636,8955,133152,3190
357,11425,12,161193,2303
358,97020,2609,71831,3473
359,20513,1094,173777,1608
360,12857,1459,157533,2571
361,20304,4545,155292,17364
362,161032,11926,21940,2094
363,17259,6285,169185,3750
364,60286,291,107231,7125
365,102316,500,68728,2876
366,77209,8392,104351,7040
367,2258,146,171845,684
368,2837,344,191858,1953
369,21465,616,133301,21090
370,12953,796,180675,2055
371,82216,100,112629,2047
372,64483,874,130506,1129
373,52287,228,119959,2459
374,74578,8424,93233,20757
375,9507,228,185757,1500
376,24050,2823,169099,1020
377,17514,1263,175951,2264
378,51535,1177,130319,3188
379,22737,8660,163464,2131
380,41458,11464,141204,2866
381,5493,50,183597,7852
382,4542,44,191634,772
383,34955,291,159570,2176
384,8556,703,163428,2246
385,43102,1403,150536,1951
386,39269,4626,151459,1638
387,75701,3042,83222,35027
388,41298,21429,119412,14853
389,33480,37,160275,3200
390,42128,474,129057,3274
391,56850,1836,150965,679
392,75227,1876,54381,14721
393,20813,18427,156105,1647
394,30909,1145,127532,15347
395,57124,549,136842,2477
396,27135,1355,164998,3504
397,13156,345,190341,1871
398,25351,210,142728,6644
399,29856,36,122573,3487
400,18104,50,238596,1802
401,9022,862,162380,2669
402,61161,443,133403,1985
403,31308,369,163076,2239
404,13038,62,181462,2430
405,483,1163,172723,22623
406,15422,2387,150547,6577
407,56716,1571,135945,2760
408,34833,2821,155879,3459
409,72627,353,122066,1946
410,136154,713,19555,18511
411,35789,1,91940,47203
412,8036,323,166565,1035
413,104422,5282,62725,2504
414,36980,979,104332,2375
415,45374,1714,147637,2267
416,88105,410,101594,6883
417,67455,205,124482,5363
418,34750,1346,158967,1929
419,90832,3398,61851,18852
420,13410,242,178094,5246
421,33302,3725,143247,16205
422,19877,6201,164635,6279
423,30412,500,140886,3135
424,89217,722,98141,8912
425,41962,1311,147268,6451
426,52249,6889,195297,3091
427,81401,198,88030,5817
428,60971,3227,129520,3274
429,0,0,209324,1006
430,18816,489,149002,6626
431,44439,203,146655,5695
432,3923,682,185601,6786
433,26563,358,136146,4684
434,42506,57,153701,728
435,28837,2250,165091,814
436,64176,6238,125210,855
437,32964,134,161666,2228
438,94141,2025,94582,6244
439,36804,135,156465,3588
440,43830,193,169300,6754
441,55378,883,123935,16796
442,115528,2177,74945,4342
443,45956,1199,125045,1707
444,37459,885,156138,2510
445,41241,1066,124606,8020
446,29811,376,142887,1859
447,151093,7569,86519,546
448,105269,2573,83244,5906
449,10542,226,182222,4002
450,13683,9394,153383,20532
451,34363,4402,113132,23036
452,52937,941,135149,7965
453,54155,1616,118498,4255
454,45797,523,48265,5450
455,46197,2695,132120,5720
456,10103,688,162536,2632
457,100658,494,90773,5067
458,36440,816,155668,4068
459,115663,1047,75641,4641
460,102036,1429,88741,4786
461,39360,9770,128328,19534
462,117443,2645,74561,2343
463,43827,1891,147194,4080
464,53493,177,118937,2326
465,26217,314,145078,3324
466,49210,4156,152009,4442
467,66221,897,124319,5555
468,104477,5318,70945,16252
469,87598,632,113981,8119
470,78944,333,114854,2861
471,72521,3681,114023,6767
472,47784,1166,85878,62164
473,29388,495,138533,6517
474,143317,731,48136,4808
475,52415,1389,130905,12283
476,31951,336,140054,2592
477,112333,56,73870,10733
478,108429,4784,61548,685
479,32475,958,161766,1793
480,15228,665,144120,14920
481,63722,2728,127053,3489
482,41392,29,92270,63301
483,63902,1194,129483,2413
484,167690,416,69374,17994
485,22871,72,148925,3065
486,60945,874,127015,8158
487,27500,859,162873,6786
488,36504,4501,121746,1922
489,26115,358,152067,2549
490,83036,2085,90761,5207
491,91522,361,98640,6469
492,128155,3556,62027,3254
493,35635,114,141248,1014
494,4672,20,73374,936
495,21576,745,172304,2367
496,44018,1390,148138,3446
497,1214,30,167984,5705
498,76983,585,113645,5266
499,14814,152,170776,11250
500,84534,1171,93394,4042
501,65404,1597,124676,5315
502,8427,28,165049,1429
503,88055,2554,99270,7113
504,15786,5628,168747,6831
505,39744,1215,154024,2009
506,27914,4985,155415,8678
507,85425,9527,58498,4554
508,59558,115,105325,3779
509,55414,7,138110,2948
510,33207,282,160332,3171
511,20555,85,161732,3847
512,25505,268,144286,4874
513,75928,60,131717,3651
514,32589,1747,180565,4150
515,106523,114,81324,9031
516,63668,1914,96403,7305
517,44605,3530,112458,14340
518,39759,2528,151355,3350
519,15131,3278,153948,24635
520,103401,1215,89531,2845
521,9642,126,186158,1066
522,9256,1227,157616,6834
523,20983,9548,164515,1946
524,30156,2306,147731,16286
525,144572,65,26636,3660
526,49974,260,142752,4006
527,142378,264,2770,2332
528,46040,3266,141609,10181
529,59058,14418,91316,10654
530,47382,5495,76223,4793
531,61809,2792,138944,11402
532,68674,251,121689,6378
533,5745,53,189705,1489
534,85882,2593,102609,5908
535,6015,81,189753,1143
536,88385,1963,68042,56557
537,60212,978,132956,2846
538,73380,1591,115003,7018
539,44152,6282,129860,16698
540,30987,330,160931,4744
541,38785,4201,149305,4701
542,8542,573,158611,7207
543,40626,1149,136201,1061
544,43934,290,148532,4236
545,29325,562,164809,2296
546,8689,307,185449,2547
547,18164,9395,128224,11455
548,54094,668,139313,2917
549,16661,2014,142071,36246
550,17254,1247,150405,6027
551,96669,741,95910,3672
552,58514,3578,109667,3174
553,147432,5666,41720,2174
554,43102,4606,143193,6091
555,3348,1,190708,2935
556,51264,1114,121695,1373
557,106326,37,84365,6264
558,82655,1533,103324,9480
559,44271,84,79218,51360
560,1000,18,195107,867
561,19391,525,173325,3751
562,28371,1173,161846,5602
563,19068,231,172860,4833
564,22230,5875,143850,2978
565,84331,1381,98619,12148
566,87241,1831,99981,7939
567,94589,3907,147835,4013
568,70825,1522,116906,7739
569,67208,9776,116926,3082
570,112955,7364,74377,2296
571,85394,1148,77787,1883
572,116889,16791,54398,8914
573,73062,1129,93371,7371
574,25609,686,169142,1555
575,47782,571,145656,2983
576,66114,16724,111238,2916
577,8600,69,162407,3857
578,50502,1609,74332,34126
579,33227,19,139187,1987
580,11675,154,184297,866
581,38669,424,154054,3845
582,92817,4637,93963,6601
583,19412,0,0,177580
584,53794,302,140541,2355
585,46835,82,122536,5480
586,26602,52,167615,2723
587,17966,250,173128,5648
588,16891,128,148406,9508
589,17144,13,176323,3512
590,7877,2260,180785,6070
591,50713,4136,105627,36516
592,107264,2817,58649,28262
593,30095,616,163843,2438
594,25780,257,115504,2612
595,41803,1941,120393,32855
596,21712,201,172383,2696
597,73628,317,90592,10396
598,5751,54,189048,2139
599,23898,314,164747,8033
600,757,0,172432,1744
601,34722,567,157194,4509
602,31793,484,160249,4466
603,26351,3033,166524,1084
604,6319,116,167632,866
605,43312,3213,148021,2446
606,67943,822,92022,18763
607,88556,39,104472,3925
608,47279,175,138877,3992
609,76315,258,116631,3788
610,41440,765,154158,629
611,28822,5450,148290,15456
612,1546,25,194917,504
613,80800,420,96259,12331
614,106925,433,61613,3910
615,169957,7315,10169,9551
616,42751,667,151652,1922
617,18686,294,176746,1266
618,83297,8168,77302,2575
619,78418,731,111509,6334
620,7745,29,170066,5814
621,2161,3174,190600,1057
622,78053,498,115915,2526
623,116410,3701,69052,8855
624,98191,2801,80533,15467
625,27011,210,166837,2934
626,142242,5,49185,5560
627,75715,13269,83426,2523
628,99883,1990,70604,2456
629,121084,847,58273,4989
630,46245,4728,131554,14465
631,43958,1351,203281,3806
632,25997,5525,151657,13813
633,26031,52,155049,6626
634,30524,485,150397,2248
635,32655,725,138880,2160
636,9479,293,183817,3403
637,9192,1614,136538,28102
638,6666,293,179383,4494
639,15524,2,157397,2010
640,64932,481,106503,3017
641,23754,1379,170681,1178
642,17895,61,216747,4355
643,36517,646,154156,5673
644,91693,2906,93762,8631
645,9940,217,164215,561
646,21832,4752,134721,13628
647,6300,217,165456,2960
648,21962,83,148872,4016
649,19130,3653,166303,7906
650,103193,2796,98200,8193
651,55644,408,139370,1570
652,57375,1333,117870,20414
653,14434,18,179157,3383
654,73430,784,97506,3213
655,7756,1437,180482,7317
656,85393,8074,86644,16881
657,26048,188,141159,2921
658,21784,353,141932,10864
659,66531,551,107973,11164
660,67690,214,137285,20531
661,13274,253,180556,2909
662,68343,196,102060,2795
663,20212,323,169949,1891
664,32177,1949,160720,2659
665,19922,109,175835,1126
666,28762,5595,132357,8219
667,39442,1558,123585,11374
668,31944,1,146807,17214
669,32112,2329,155519,7032
670,84810,1903,107339,2940
671,26128,1021,156417,13426
672,15269,2040,205257,2128
673,21600,323,173472,1597
674,32710,1283,164149,1928
675,30630,2109,162946,9002
676,30472,672,162420,3428
677,41585,1531,110022,13074
678,11597,1280,183362,753
679,46672,209,138625,1739
680,61809,2029,130530,2624
681,36789,1371,143585,15247
682,13750,978,154538,5154
683,34843,182,138846,2088
684,114538,441,31302,28652
685,87729,586,103432,5245
686,99113,110,75630,4697
687,70104,2624,98411,3794
688,25767,555,149211,2478
689,156030,96,11328,7479
690,14486,2290,179551,665
691,14959,1165,133639,1059
692,12579,174,172999,2006
693,18306,317,155408,902
694,1884,173,133406,1508
695,40938,958,153053,2043
696,20058,168,173417,3349
697,16889,675,178084,1344
698,12355,39,181798,2287
699,2681,99,193852,360
700,37940,589,153644,4819
701,23701,406,148617,2209
702,56557,18767,134463,1569
703,134356,533,57208,4895
704,6273,1068,255494,334
705,28094,3766,161561,2545
706,196945,25,0,22
707,18854,2759,174926,453
708,76969,7580,70754,20143
709,4463,45,166502,845
710,51661,6474,105453,11345
711,17773,2714,176285,1246
712,14868,322,224332,562
713,25600,676,146812,1845
714,61775,148,104363,8647
715,3165,0,185382,8445
716,54451,13301,105875,1819
717,43668,808,150475,2041
718,34977,2271,157301,2443
719,45019,3589,136467,11404
720,66050,171,107663,1562
721,32567,1212,152079,11134
722,31474,43,138061,5355
723,12773,13595,141249,2699
724,29191,8360,156116,3325
725,13558,1898,86733,72744
726,32887,3749,171442,2252
727,15020,1444,149442,10053
728,73055,310,120573,3054
729,53026,659,140551,2756
730,9312,194,156855,877
731,9260,113,163132,2428
732,85715,1391,129503,2955
733,52695,7252,136361,21717
734,62585,190,135530,4330
735,69725,1900,121868,3499
736,39985,865,67829,39065
737,19450,189,152955,2339
738,27656,247,155855,4000
739,92949,578,77957,3449
740,79306,4570,105811,7305
741,109465,1896,149274,2534
742,41138,541,130720,2534
743,13239,481,182230,1042
744,10471,40,163950,985
745,16580,1114,172722,6576
746,25349,1522,166055,4066
747,9669,283,163132,1849
748,31941,275,139706,3524
749,53375,1878,128512,13227
750,47193,2836,142614,4349
751,32859,740,141642,3283
752,28874,108,163683,4327
753,15172,98,179333,2389
754,107187,278,40567,16641
755,37601,270,132391,4158
756,115918,4207,74679,2188
757,152112,14874,43052,4909
758,99463,3665,144234,15807
759,36095,38,134528,4272
760,50799,290,121073,2771
761,70138,411,99319,3526
762,16958,4851,164611,10572
763,45658,400,123931,1353
764,7759,207,166160,807
765,109707,19410,65444,2431
766,29746,2462,162153,2631
767,100710,1271,62829,7045
768,65825,2711,117342,11114
769,29711,764,160321,6196
770,116202,8732,56436,15622
771,18408,236,197031,1324
772,40811,1987,120505,11630
773,27448,259,118870,1167
774,47569,8838,114948,3578
775,52597,304,127945,1782
776,27853,1039,136464,1882
777,25318,341,144733,4028
778,89903,260,90922,15907
779,68193,1220,95748,9772
780,44301,3810,106671,20664
781,10297,12,160327,4810
782,59039,4185,119092,14676
783,0,0,192926,4066
784,6137,2196,216811,576
785,2629,0,171120,1184
786,29979,98,142416,2440
787,13626,247,181521,1598
788,75723,2001,116022,3246
789,70730,1234,46693,78335
790,28689,281,166612,1410
791,6438,1975,161913,1529
792,167878,1327,4397,1331
793,25531,936,89867,1143
794,37955,2705,153150,3182
795,1669,4611,183507,7205
796,65964,601,105047,3321
797,26994,3655,141605,2679
798,37461,1986,81534,6756
799,20244,777,147550,6362
800,26807,3023,153921,13241
801,18030,240,175916,2806
802,44549,3268,123541,3575
803,44556,101,144663,7672
804,56656,806,115869,2628
805,149538,12887,20948,13619
806,23110,605,149141,2077
807,16025,893,174551,5523
808,120286,1367,50685,2595
809,16527,225,177766,2474
810,14261,748,174839,4066
811,95521,1923,76135,1354
812,31210,1180,162553,2049
813,49753,76,143369,3794
814,52899,1539,124735,17819
815,23909,1908,160574,10601
816,20329,29,173228,2893
817,40401,58,147927,8606
818,28311,2065,152934,13682
819,73844,2623,90041,8425
820,69688,4877,115569,6858
821,87008,3415,105120,1449
822,39381,2195,130658,2186
823,79840,590,93292,4289
824,49595,416,119282,5640
825,30265,277,185576,5498
826,10199,8036,122844,15899
827,34684,3470,201412,6674
828,75181,779,102637,18395
829,49194,494,98353,1755
830,43066,104,135283,12383
831,32819,2385,178693,1050
832,38916,8271,131593,18212
833,40188,1446,128831,4468
834,57617,2739,125624,11012
835,14946,231,169163,7522
836,25660,2222,139847,7717
837,33381,4020,131416,6629
838,46501,1086,147652,1753
839,127702,0,10327,58963
840,60794,557,111685,1897
