,TN,FP,TP,FN
4,133354,7747,28380,5965
15,149003,966,5961,17977
21,196992,0,0,0
39,146252,4463,9129,7907
47,156465,0,0,0
51,194403,904,672,1013
53,180948,2463,8591,4990
86,192730,0,0,4262
107,169397,2779,10191,14625
115,175444,0,0,2
121,177195,1654,436,778
145,174929,0,0,4
163,184244,975,4581,7192
167,169951,296,891,2256
195,195030,1449,0,0
209,150380,5422,29251,11939
234,157608,579,8059,8687
246,196992,0,0,0
252,174568,12242,5008,5174
292,138394,3609,19237,14206
345,177411,87,0,0
360,165108,323,4680,4309
379,196992,0,0,0
384,170592,263,1096,2982
390,157303,1770,9716,6144
398,169923,3093,1239,678
406,174615,0,0,318
421,155118,4334,23254,13773
454,95597,733,1914,1791
461,142278,5584,24612,24518
491,185928,491,4101,6472
499,179552,2474,7325,7641
506,196992,0,0,0
512,166316,275,4280,4062
519,168326,10321,10228,8117
522,162189,2261,5935,4548
533,196986,0,0,6
549,171400,6917,6388,12287
550,172623,1210,177,923
565,183344,1313,3790,8032
566,196814,0,0,178
630,145859,2333,22484,26316
632,163045,2425,11419,20103
646,149586,1908,6864,16575
655,187329,470,2864,6329
656,96963,6562,64708,28759
666,159699,1455,2785,10994
671,167140,2703,17173,9976
708,136673,7032,8537,23204
725,168366,841,1814,3912
729,183930,2096,8148,2818
762,173789,1417,5770,16016
800,164662,2548,14707,15075
810,186583,578,2001,4752
815,169373,1802,9493,16324
818,164133,2483,15481,14895
825,221616,0,0,0
826,135301,5026,4998,11653
845,174167,0,0,1279
867,158730,1974,19414,16874
878,174518,0,0,415
909,181569,863,3177,11383
912,178600,1931,5924,16180
917,174829,0,0,104
922,205368,1122,718,3122
926,199691,892,6605,21097
939,188149,8772,71,0
940,170886,295,1299,2966
958,176920,4306,9199,6567
964,196992,0,0,0
1007,189247,50,0,0
1008,192634,1078,1687,1593
1017,196709,2738,9600,6926
1050,141833,2625,12777,16672
1075,167872,1012,7726,20382
1081,188564,2687,2941,2800
1084,170780,795,1695,1663
1094,196712,280,0,0
1105,174273,327,23,310
1114,193168,1796,575,1453
1139,177888,1418,18408,12616
1158,197391,0,0,114
1178,177498,0,0,0
1210,200070,0,0,0
1231,142630,3992,16228,12083
1240,177240,771,0,0
1251,155900,2849,16017,22226
1272,151626,1290,21882,22194
1289,168309,5280,6145,5972
1341,196404,588,0,0
1376,188969,687,3665,3671
1377,190206,1188,2194,3404
1380,158863,2287,9622,20577
1386,195796,740,112,344
1390,189398,2794,1496,3304
1391,196970,10,1,11
1421,144597,1600,27391,23404
1433,165170,8754,13637,9431
