,TN,FP,TP,FN
30,185706,0,0,0
37,153357,38,6461,2765
64,153955,1112,17510,1843
74,57404,153,124055,2555
75,195325,1338,315,14
101,182821,0,0,5450
111,141312,245,30234,3142
120,196822,0,0,170
122,165521,66,5613,4246
138,154634,1127,39720,1511
162,175261,185,0,0
173,196992,0,0,0
198,194056,2936,0,0
210,196992,0,0,0
225,177628,317,15242,3292
256,159068,1449,34796,1679
257,167393,4539,5254,312
272,151494,10371,10423,1619
286,118773,19595,55953,2671
294,183633,539,11397,1423
315,158827,1327,32352,4486
328,167349,112,5332,2140
349,172056,427,13081,2194
367,172447,82,1589,815
387,196664,328,0,0
397,192105,107,9241,4260
401,174795,0,0,138
411,159241,1575,12293,1824
414,106262,445,33765,4194
426,198039,349,46726,12412
445,174883,0,0,50
455,136276,1564,40862,8030
487,198017,0,0,1
495,196992,0,0,0
510,193416,0,0,3576
560,195905,69,760,258
588,152951,4970,16153,859
599,169225,3555,20875,3337
603,196992,0,0,0
614,162228,3183,7379,91
620,174508,1372,6579,1195
633,158836,2839,25147,936
638,182319,1558,6064,895
653,181457,1083,13559,893
672,207128,257,14093,3216
675,167951,3997,26666,6073
692,174579,426,11457,1296
700,157470,993,35241,3288
701,150781,467,21355,2330
704,255826,2,4792,2549
705,163806,300,25474,6386
712,224894,0,11961,3229
722,141586,1830,30199,1318
723,143777,171,10436,15932
726,173558,136,29946,6690
731,165275,285,8041,1332
774,174930,0,0,3
785,172310,199,2134,290
795,196960,0,0,32
821,106422,147,78694,11729
827,205164,2922,32111,6043
831,179547,196,30033,5171
835,172925,3760,13851,1326
848,178631,734,23412,1397
861,168102,799,13821,10166
869,181641,685,12958,1708
874,182086,86,14458,4979
890,189271,1299,3793,2629
891,180840,550,13183,2419
892,159542,668,10393,4330
913,162297,1394,8925,2317
914,141887,567,25123,7356
924,175512,800,15731,1358
934,185592,428,9536,1436
935,169677,4980,14003,8332
950,149454,158,22150,3171
957,173826,6,774,327
963,196212,82,438,260
973,185704,0,0,2
980,98133,317,92806,5736
981,209313,7,2354,1221
986,194702,6,1447,837
990,178413,251,14394,2908
994,147138,55,9009,3341
998,176466,663,18645,1218
999,205037,123,25069,5238
1000,196992,0,0,0
1038,193782,88,2034,1088
1047,121718,16,72494,2764
1048,196992,0,0,0
1053,182534,1149,10994,2315
1071,190574,331,1599,4488
1097,162759,325,12591,1823
1108,123618,1393,58959,13022
1113,182638,54,12667,1633
1117,140173,9726,29001,8345
1133,175640,491,19002,1859
1137,207001,321,3434,600
1159,152301,60,0,0
1173,165603,1118,7426,1299
1174,144814,227,44962,6989
1177,196992,0,0,0
1195,135764,4659,50878,5691
1214,184635,162,2200,761
1218,134691,1836,26854,3857
1224,213571,255,7672,2170
1257,180921,615,7144,2669
1260,69665,59,124427,2841
1263,196501,0,0,491
1278,166442,167,6776,1548
1281,96929,1981,73088,2935
1287,141641,1999,0,0
1296,169984,62,3475,1925
1308,196383,447,140,22
1329,143064,157,40496,4041
1337,185752,2552,6066,2622
1394,172318,169,6731,1358
1410,190743,340,3623,2286
1412,195195,1694,92,11
1430,196927,0,0,65
1436,62503,382,109576,2472
1441,187250,83,7242,2417
