,TN,FP,TP,FN
2,161976,2961,8174,1822
13,184571,11738,529,154
27,142617,425,1507,117
29,196206,2,388,396
41,192375,0,0,0
62,167001,0,0,3315
72,196992,0,0,0
88,141510,9114,37112,8743
102,171363,136,3509,438
105,153387,0,0,0
118,163072,539,10897,425
129,147488,766,23846,3346
142,144548,241,44236,7967
162,137964,1696,26007,9779
173,196936,56,0,0
184,174553,2596,10585,9258
194,142614,0,0,0
197,168069,33,3619,2699
210,195118,638,1210,26
235,196992,0,0,0
239,215106,755,8670,2215
271,170080,346,1610,1358
327,108379,731,48577,16733
333,167751,0,0,0
348,174856,0,0,77
374,111097,9168,58510,18217
376,170058,61,20912,5961
381,186399,5050,4859,684
386,153072,25,31950,11945
401,165021,714,7491,1707
429,209869,461,0,0
431,150190,2160,43293,1349
451,148197,15222,8518,2996
483,131792,104,60290,4806
487,171211,707,23383,2717
535,190835,61,4870,1226
542,164759,1059,5724,3391
564,146583,245,16390,11715
590,182837,4018,6197,3940
637,175446,0,0,0
647,174933,0,0,0
655,196992,0,0,0
661,190705,375,4057,1855
664,163060,319,27416,6710
667,133532,1427,30143,10857
681,157059,1893,29231,8809
688,151295,394,22579,3743
694,134485,429,1254,803
721,196991,0,0,1
740,111852,1264,71541,12335
783,193975,3017,0,0
791,163250,331,5342,2932
807,179368,706,12310,4608
812,164420,182,25167,7223
836,144849,2715,21803,6079
852,169275,72,3384,2202
876,179251,4813,9629,3299
878,174914,0,0,19
880,199557,0,0,0
898,184086,30,2872,1796
941,187978,905,3470,4639
952,114740,542,29197,3265
966,145120,2624,0,0
969,195300,0,0,1692
973,182588,68,1159,1891
984,182221,98,10917,5295
997,184266,331,10414,1981
1032,196992,0,0,0
1056,168444,1054,5738,1236
1077,175377,1608,0,0
1124,166567,1022,21530,7873
1144,157785,510,31200,7497
1152,187639,32,6780,2541
1177,144323,4991,43750,3928
1178,177498,0,0,0
1181,89917,3021,72587,9408
1196,143640,0,0,0
1204,144153,0,0,0
1210,186803,4110,7301,1856
1216,111497,813,45352,18297
1232,195304,1564,7336,5100
1250,174933,0,0,0
1253,196917,0,0,75
1262,123343,2413,43556,6134
1263,161387,2416,28799,4390
1274,119542,13532,57225,6693
1323,192801,4339,304,61
1340,147683,0,0,61
1346,164947,292,6421,3273
1350,171034,16,1414,2469
1367,174733,3553,10782,4333
1412,195332,605,1000,55
1423,129144,4,7671,2717
1430,151205,2244,32269,11274
