,TN,FP,TP,FN
9,180152,147,15246,1447
14,190407,1138,2882,0
22,179929,2103,13552,1408
31,193708,108,2179,997
42,162334,1293,9027,2279
44,196380,0,0,612
49,228113,172,0,0
84,199557,0,0,0
98,193575,849,1570,998
125,196923,0,0,69
141,196347,645,0,0
148,25691,213,60351,5059
155,195215,1777,0,0
168,122683,3317,67403,3589
170,194610,2666,11282,1772
174,132150,7345,55697,1800
187,175959,0,0,0
198,196992,0,0,0
199,242253,953,5331,1807
202,196100,892,0,0
224,195903,576,0,0
231,196992,0,0,0
235,196992,0,0,0
236,174933,0,0,0
240,195561,416,888,127
260,191617,72,3539,1251
291,193862,0,0,52
298,262997,0,0,172
301,217803,24858,0,6144
305,171619,2102,926,286
308,188412,8426,149,5
333,167750,0,0,1
359,196992,0,0,0
365,173896,524,0,0
370,182261,469,12073,1676
402,196827,165,0,0
406,174919,0,0,14
428,132249,545,55699,8499
438,179753,775,13436,3028
442,191597,1193,2868,1334
452,194262,2326,332,72
471,196992,0,0,0
480,174933,0,0,0
491,196992,0,0,0
492,196983,0,0,9
507,158002,0,0,2
513,134836,532,74147,1841
524,193971,2508,0,0
533,190672,528,5282,510
536,196603,908,10202,7234
539,196992,0,0,0
551,189655,22,4612,2703
552,111937,904,57498,4594
558,196986,0,0,6
587,196992,0,0,0
592,186201,2435,4080,4276
599,196992,0,0,0
606,174977,4560,13,0
609,118968,1451,73940,2633
615,196788,0,0,204
624,196395,597,0,0
644,96907,5486,83388,11211
648,150956,1932,20515,1530
671,196147,845,0,0
677,166212,0,0,0
690,181790,23,12445,2734
706,196196,0,0,796
709,167308,39,3698,810
721,196992,0,0,0
727,175959,0,0,0
729,196989,0,0,3
736,107262,4,36209,4269
754,159320,2869,1303,1181
767,168217,2947,0,691
773,120029,8,24989,2718
781,175145,301,0,0
784,217676,11,4984,3049
789,143245,268,47602,5877
791,171716,0,0,139
792,169899,1394,3212,428
793,90925,85,22857,3610
797,144284,0,23936,6713
800,196992,0,0,0
805,154979,1073,38629,2311
815,196992,0,0,0
818,196992,0,0,0
820,189364,1684,4322,1622
837,175446,0,0,0
838,149296,109,43528,4059
860,196992,0,0,0
864,174317,0,0,616
867,196992,0,0,0
868,196860,0,0,132
880,191226,7772,455,104
884,166549,3480,15969,10994
893,75084,289,85459,14614
910,196992,0,0,0
920,183328,4065,7112,2487
929,167208,2464,8226,1139
936,144181,17171,22322,16396
940,175404,42,0,0
951,156354,303,571,263
961,55117,3943,115334,1052
968,197298,720,0,0
977,196808,184,0,0
1000,196992,0,0,0
1017,213165,2727,81,0
1028,196966,0,0,26
1039,123842,343,50577,22230
1040,196597,395,0,0
1048,190966,1836,3319,871
1053,196992,0,0,0
1059,196991,0,0,1
1092,201558,0,0,2103
1106,196992,0,0,0
1116,162186,477,30951,3378
1125,195870,512,67,543
1135,192762,730,3065,435
1137,211356,0,0,0
1139,209540,790,0,0
1146,154475,11068,106,9284
1166,196992,0,0,0
1168,114195,905,58569,1264
1169,122455,0,46720,5758
1172,113748,160,57379,3646
1179,196873,0,0,119
1187,167153,40,19108,10691
1189,196992,0,0,0
1221,169647,4318,22917,110
1227,172196,2737,0,0
1229,196929,0,0,63
1234,196963,0,0,29
1238,146866,11467,34035,4624
1251,196992,0,0,0
1255,53694,5057,135473,2768
1263,196992,0,0,0
1270,196992,0,0,0
1276,195613,726,450,203
1279,174007,0,0,926
1290,196990,0,0,2
1293,174902,0,0,31
1297,192313,4368,247,64
1304,194231,1527,1234,0
1309,195212,715,0,1065
1381,196666,0,0,326
1382,192693,4299,0,0
1397,196992,0,0,0
1401,196181,811,0,0
1405,196086,906,0,0
1408,196982,0,0,10
1411,196654,338,0,0
1416,195806,1186,0,0
1425,219721,0,10499,32949
1446,183542,625,0,0
1448,97650,392,160639,4488
