,TN,FP,TP,FN
19,56069,5441,153407,6699
21,179036,334,13642,3980
61,190660,6332,0,0
80,14558,981,157602,1792
99,50027,3694,117072,4140
104,113550,3887,77258,2297
109,157666,688,15679,900
115,135853,740,37568,1285
121,174415,1039,3328,1281
123,131403,676,70395,5804
126,137617,546,9211,370
192,77590,1055,117064,1283
194,119253,1293,20730,1338
206,180576,0,0,0
251,194650,2342,0,0
275,154130,324,39735,2803
283,153747,562,17268,3356
297,160452,253,9323,3879
313,97460,2240,92392,4900
320,195895,0,0,1097
324,117473,707,73765,5047
345,177498,0,0,0
416,106967,1510,85798,2717
457,116746,101,76726,3419
478,62170,63,102392,10821
546,188383,345,6926,1338
576,127512,807,48073,20600
607,107739,658,87366,1229
608,188869,1232,122,100
619,117215,628,75865,3284
622,118164,381,75790,2657
629,78334,2433,100224,4202
631,206071,1016,41530,3779
654,105562,358,65543,3470
662,104512,343,65374,3165
665,176953,8,17817,2214
703,61250,853,130616,4273
734,139134,760,59216,3525
735,124914,453,65011,6614
739,84262,254,85591,4826
751,178524,0,0,0
757,54398,2025,137334,21190
775,129686,41,49487,3414
776,167238,0,0,0
823,95800,1781,76893,3537
851,109323,195,81527,5947
873,61850,1910,128602,4630
886,194951,0,0,2041
895,112959,4345,58356,5942
903,127087,626,65439,3840
906,68360,1120,122045,5467
911,112536,386,80873,3197
933,180692,845,12645,2810
968,117951,124,74253,5690
974,94972,51,35643,1688
993,196992,0,0,0
1007,137325,105,49178,2689
1019,71108,259,106190,3019
1029,77656,416,73557,4323
1046,196989,0,0,3
1058,196697,295,0,0
1077,102272,376,68761,5576
1085,75114,1082,117813,2983
1094,196992,0,0,0
1104,190824,0,0,12
1105,104787,1110,62792,6244
1134,159941,114,31477,5460
1159,56349,8739,84651,2622
1196,140935,0,0,2705
1199,159712,719,33683,2878
1201,145391,982,62110,4925
1203,183279,12520,1189,4
1211,105371,1051,65800,2711
1259,96424,1673,89531,9364
1264,145699,132,48641,2520
1265,118218,285,45613,10304
1269,126962,52,43476,4443
1303,69835,916,95958,15919
1306,108409,20,77672,10891
1310,146724,1132,18735,2186
1316,139083,1562,44305,12042
1320,172575,1332,0,0
1332,94227,625,71203,7339
1364,174774,672,0,0
1435,196927,0,0,65
1440,119309,720,50362,4542
