,TN,FP,TP,FN
13,194273,404,0,2315
15,173270,0,0,637
19,214154,4887,2344,231
21,190679,1121,3995,1197
40,74249,5460,92543,2681
47,156453,0,0,12
61,196770,0,0,222
72,192940,0,0,4052
73,192354,0,0,4638
86,187986,101,8237,668
90,196954,0,0,38
97,148892,420,24834,787
99,174464,469,0,0
105,92844,747,57597,2199
107,196987,0,0,5
109,171427,1306,1524,676
114,196992,0,0,0
115,169680,133,4293,1340
119,189115,695,0,0
121,180063,0,0,0
123,207153,955,166,4
131,126325,610,62530,7527
134,133072,0,0,46478
162,170159,4935,257,95
169,158419,10823,26912,838
171,167534,78,5345,950
177,175123,836,0,0
178,156789,2068,34995,3140
180,196992,0,0,0
194,142608,0,0,6
195,196236,0,0,243
196,138642,874,4300,3928
204,129123,199,60784,6886
206,180576,0,0,0
213,196977,0,0,15
219,168259,0,0,5
234,174932,0,0,1
236,161153,377,12698,705
250,125836,865,57208,9492
251,187987,582,5693,2730
252,196977,0,0,15
254,175410,0,0,36
267,173802,0,0,1131
273,196828,164,0,0
275,194149,89,1528,1226
283,167608,567,6134,624
285,196992,0,0,0
287,106190,1277,48053,3510
288,174933,0,0,0
290,174932,0,0,1
297,169890,3204,392,421
320,193485,1031,2014,462
347,182867,34,13258,833
353,143640,0,0,0
379,196911,0,0,81
388,196868,0,0,124
417,137766,1060,55185,3494
448,91309,3597,92556,9530
454,100035,0,0,0
457,178273,378,15138,3203
463,182759,58,12645,1530
474,52423,521,138520,5528
481,130080,462,61199,5251
482,196817,0,0,175
490,94285,1683,78722,6399
491,196992,0,0,0
497,170554,3135,968,276
502,174933,0,0,0
505,155685,348,37026,3933
523,196989,0,0,3
531,207693,2466,2737,2051
546,196989,0,0,3
565,150234,1095,39657,5493
566,194294,71,1362,1265
573,173108,354,875,596
576,196966,0,0,26
584,142724,172,51294,2802
608,142125,966,43460,3772
617,196072,6,598,316
629,185193,0,0,0
644,193729,3263,0,0
654,169608,124,4662,539
666,163747,130,8925,2131
670,109836,443,81045,5668
682,174372,0,0,48
685,195724,0,0,1268
687,156814,1415,14275,2429
695,196834,0,0,158
707,175375,4,17074,4539
708,113674,8964,37000,15808
721,156514,6700,29566,4212
734,202601,0,0,34
751,144582,343,30572,3027
757,206465,22,5618,2842
758,259103,2135,1825,106
762,196969,0,0,23
786,143586,2234,28158,955
788,196992,0,0,0
800,196944,0,0,48
804,118227,270,54098,3364
805,146339,2369,40842,7442
819,174933,0,0,0
820,189096,3688,62,4146
826,155394,0,0,1584
828,111351,9681,72482,3478
829,100067,41,46489,3199
841,84244,138,58925,5976
846,127510,604,65113,3765
879,208241,0,0,37
885,167010,22,5665,1723
886,191616,1959,2738,679
895,181602,0,0,0
897,105219,220,67228,2266
905,112095,660,59276,2902
906,196992,0,0,0
911,196085,0,0,907
925,196992,0,0,0
930,196992,0,0,0
945,53406,5520,127732,10334
959,122419,455,69392,4726
964,179669,652,14843,1828
970,187223,482,9151,136
974,132105,229,18,2
986,196891,0,0,101
989,121690,23,68071,7208
993,196262,0,0,730
996,174097,0,0,323
1008,196316,660,16,0
1019,171853,433,7712,578
1024,141490,20911,22382,3488
1033,196916,75,0,1
1035,191256,1048,3980,708
1046,195701,351,857,83
1048,180725,9007,7025,235
1058,196462,530,0,0
1067,78667,229,103007,8933
1077,175927,1058,0,0
1087,98942,908,72381,3215
1089,94801,1668,66490,8383
1091,157641,323,35586,3442
1094,192590,1082,3261,59
1101,240279,113,19681,3096
1104,113743,1192,73679,2222
1105,173063,324,1412,134
1110,56322,997,106442,15789
1114,183140,2042,9608,2202
1115,70674,1026,93519,4584
1127,196992,0,0,0
1129,190707,1762,4314,209
1132,149450,2767,2625,84
1136,132597,770,60829,2796
1138,75153,183,97607,1990
1145,183654,0,0,0
1153,195760,0,0,1232
1155,196975,0,0,17
1158,196462,82,643,318
1165,155620,16865,3216,771
1192,132616,2195,56978,5203
1196,132006,158,7107,4369
1204,144153,0,0,0
1210,199966,0,0,104
1211,173559,144,1090,140
1219,96524,1042,82220,2842
1222,143138,163,48094,5597
1235,171881,2234,700,118
1240,137551,109,36635,3716
1251,179562,595,15030,1805
1259,196992,0,0,0
1264,195552,140,832,468
1265,174262,158,0,0
1282,159881,2083,26967,7548
1293,174933,0,0,0
1294,190638,321,3127,2906
1303,182628,0,0,0
1306,196848,0,0,144
1307,82271,1909,101993,8767
1310,168554,0,0,223
1316,196992,0,0,0
1320,133699,936,33755,5517
1324,174711,222,0,0
1331,194472,1050,330,1140
1342,198018,0,0,0
1356,196745,247,0,0
1364,175352,0,0,94
1376,196946,46,0,0
1377,196603,150,166,73
1380,180278,1611,7781,1679
1398,161755,7382,25546,2309
1407,173110,0,0,1823
1414,101243,613,87874,7262
1424,138395,81,7562,1706
1435,189433,3435,3766,358
1437,91961,248,85946,18837
1440,174200,733,0,0
