,TN,FP,TP,FN
10,196992,0,0,0
59,159764,12473,24295,460
60,120853,499,53210,3962
69,193610,3267,115,0
78,76564,3807,106720,2206
79,134639,426,76535,7451
82,168587,5113,20491,2801
100,191170,5777,41,4
106,137610,662,46386,12334
133,153103,472,48502,2610
156,196992,0,0,0
157,96006,787,89333,7275
158,136729,461,51995,7807
165,174933,0,0,0
175,132598,1679,72939,4140
190,164184,162,16116,3192
203,150917,666,38061,7348
237,130394,2287,8000,394
242,121705,1377,49638,2213
257,177498,0,0,0
259,193205,2019,1751,17
277,147653,813,45880,2646
288,135795,87,34943,4108
296,161290,641,30877,4184
314,83186,1519,109391,1357
319,158479,514,15063,877
323,184680,0,0,0
330,208175,408,6846,544
340,141034,979,39388,1227
343,118883,3326,67641,7142
344,152521,220,40394,3857
363,193300,0,0,3179
368,193566,509,2426,491
380,158699,262,28218,9813
391,151610,34,52959,5727
396,169263,507,26123,1099
403,165038,277,28802,2875
409,123695,317,70753,2227
415,149692,212,41797,5291
427,175446,0,0,0
435,165803,102,25742,5345
437,163802,92,30915,2183
470,117649,66,75104,4173
559,170028,0,0,4905
567,151625,223,83074,15422
568,196992,0,0,0
569,155218,642,38051,3081
571,79630,40,81632,4910
603,167486,123,22252,7131
634,183654,0,0,0
635,140845,195,26748,6632
641,171819,40,20471,4662
651,196733,0,0,259
669,194699,2293,0,0
680,132850,3249,54502,6391
698,184810,11663,6,0
701,174511,0,0,422
702,138588,224,51532,21012
716,107548,146,50867,16885
717,152324,347,40734,3587
760,123511,333,48576,2513
774,117777,752,42779,13625
794,155024,1308,33612,7048
801,177562,1160,16615,1655
809,195668,0,0,1324
854,132338,213,39620,2762
864,124670,796,47857,1610
875,170929,540,3197,267
881,92725,1542,75787,4879
888,148991,1865,37840,5218
890,196992,0,0,0
901,104949,434,80277,11332
927,158328,137,35671,2856
931,154965,431,35192,6404
946,112652,669,71411,5078
965,72281,4611,116326,3774
975,55153,1483,112907,5903
976,128865,835,32027,13206
988,116009,1170,57876,5008
1000,185853,578,8770,1791
1004,195648,1344,0,0
1012,119811,247,89146,7282
1015,142847,612,48247,5286
1016,138862,1054,32605,2412
1023,100405,624,75196,20767
1030,123732,155,68401,4704
1042,159536,299,12772,1813
1049,112192,552,78584,5664
1052,187654,15,7382,1941
1054,166624,682,28094,1592
1063,149822,1447,41981,3742
1066,78238,265,109542,8947
1070,129321,721,65872,14416
1073,143365,300,28920,2348
1074,158198,531,36403,1860
1081,181837,955,12174,2026
1083,180393,4400,753,160
1086,75239,432,151272,5959
1103,220567,807,36479,5316
1111,106009,701,79564,10718
1116,158417,549,33621,4405
1126,97425,2100,92746,4721
1130,143273,35,30095,2556
1131,116869,551,49871,7129
1135,165446,187,29706,1653
1137,211356,0,0,0
1143,198250,1242,14877,1604
1148,113061,678,60085,1109
1149,147999,617,45651,2725
1156,98432,6111,65171,6245
1161,31830,714,157972,6476
1166,179327,75,13788,3802
1185,163118,12,28980,4882
1190,121795,187,48051,4900
1197,105410,560,87767,3255
1200,81017,7858,77300,4654
1213,102196,665,86759,7372
1217,182524,415,11510,2543
1223,67107,2587,94719,32579
1228,168811,4220,22503,1458
1234,172298,3976,15229,5489
1244,100208,370,91970,4444
1273,175546,177,9503,11766
1295,156367,2232,32734,5659
1298,141986,1458,48757,4791
1299,85156,9,105325,6502
1302,169435,872,24156,2529
1312,189141,0,0,7851
1327,156978,0,0,0
1330,109296,54,83827,3815
1343,128183,174,65046,3589
1347,98161,49,65673,11050
1348,152743,160,40555,3534
1349,101386,421,68377,4749
1363,174933,0,0,0
1365,15449,72,160304,21167
1382,196992,0,0,0
1420,16293,197,168524,11978
1429,196992,0,0,0
1443,193555,0,0,3437
