,TN,FP,TP,FN
8,174933,0,0,0
10,180119,273,2524,14076
18,196601,391,0,0
25,158735,9509,3530,3159
26,185658,4419,4859,2056
28,196992,0,0,0
33,176464,0,0,20528
35,196992,0,0,0
45,192689,516,2947,840
49,227993,0,0,292
50,218025,0,0,0
54,187962,581,5926,2523
55,174300,633,0,0
56,204598,7041,456,287
65,196911,0,0,81
76,185559,0,0,11433
77,196992,0,0,0
79,219037,0,0,14
85,193739,0,0,3253
94,187006,3048,5584,1354
100,196992,0,0,0
106,196992,0,0,0
117,196992,0,0,0
125,196992,0,0,0
141,192866,642,3341,143
146,180546,14619,1748,79
147,106779,4711,36542,26901
150,156598,5350,27992,7052
155,191918,3889,638,547
186,196014,0,0,978
187,175959,0,0,0
189,139604,2627,32441,22320
191,196992,0,0,0
195,196472,0,0,7
199,242353,6158,1340,493
202,161222,2991,22797,9982
205,142536,830,49673,3953
211,153426,70,35996,2883
222,214434,0,0,0
224,196479,0,0,0
227,195191,0,0,1801
232,191574,1537,732,3149
240,194037,2021,934,0
245,186696,0,0,36
248,194971,845,0,1176
249,196992,0,0,0
253,147744,0,0,0
255,159205,7277,27,8424
258,166722,1657,21056,7557
259,167890,10504,16225,2373
265,196989,0,0,3
268,179706,567,7561,9158
276,173907,0,0,0
278,164874,1915,8093,1590
284,187489,9126,325,52
285,189836,6915,241,0
291,193514,400,0,0
298,220858,7921,22597,11793
302,192662,2333,1451,546
304,196841,0,0,151
306,196992,0,0,0
307,196985,0,0,7
310,190242,0,0,6750
326,166185,6737,42491,2099
329,178225,964,7954,615
346,186642,0,0,10350
350,174933,0,0,0
351,174933,0,0,0
358,128702,2876,37241,6114
361,197505,0,0,0
362,196992,0,0,0
368,196728,0,0,264
369,176004,468,0,0
379,189764,0,0,7228
387,196992,0,0,0
392,66761,2627,64386,12431
394,174921,0,0,12
396,196666,0,0,326
405,196992,0,0,0
406,156138,1668,9813,7314
424,189969,1253,4401,1369
432,192178,209,2040,2565
438,196992,0,0,0
449,196943,0,0,49
459,196992,0,0,0
468,172244,198,14189,10361
476,174933,0,0,0
480,156681,2462,12513,3277
484,255474,0,0,0
493,178011,0,0,0
506,191866,0,0,5126
507,157770,0,0,234
509,140782,726,53494,1477
517,174933,0,0,0
524,196278,0,0,201
528,198793,0,0,2303
538,195692,0,0,1300
539,192751,992,1564,1685
554,164566,5173,17230,10023
558,196992,0,0,0
559,174933,0,0,0
561,196477,0,0,515
573,174933,0,0,0
587,186393,2620,4430,3549
591,139211,2932,45186,9663
595,173369,12564,5398,5661
597,165006,692,3991,5244
602,174301,233,20406,2052
606,167180,12370,0,0
611,192042,5395,0,581
623,196865,0,0,1153
624,193970,502,955,1565
643,196208,658,97,29
645,174927,0,0,6
646,174933,0,0,0
651,196992,0,0,0
658,172270,2663,0,0
660,225720,0,0,0
669,196992,0,0,0
702,209961,0,0,1395
710,133095,14868,18520,8450
727,175069,0,0,890
733,197504,17887,0,2634
746,196934,0,0,58
754,164673,0,0,0
765,182732,14260,0,0
769,194945,0,0,2047
770,86475,1227,63500,45790
772,155517,992,6771,11653
780,152938,4987,10424,7097
782,196641,0,0,351
792,174933,0,0,0
795,196992,0,0,0
798,127737,0,0,0
811,149185,346,21444,3958
814,194932,1477,458,125
834,173955,2203,9046,11788
