,TN,FP,TP,FN
8,174933,0,0,0
11,181919,400,12453,2220
12,73546,4140,96531,1229
38,163210,1218,52337,8955
52,174933,0,0,0
62,169029,0,0,1287
73,192701,513,3373,405
93,72115,1442,117840,6108
110,79325,1820,73420,11134
120,196976,0,0,16
127,66530,190,132733,34988
139,173542,0,0,1391
164,160816,8356,117,1
178,177598,117,17073,2204
217,179398,396,15137,2061
220,127952,1031,28547,8682
274,170363,222,3531,304
281,148522,64,22797,3550
289,144766,5762,43137,3327
317,157213,1241,35353,3185
321,193282,289,2635,786
323,170283,76,12405,1916
371,114314,362,80319,1997
439,159804,249,33021,3918
515,84268,6087,104295,2342
525,29613,683,138083,6554
526,146063,695,45421,4813
555,196992,0,0,0
557,89032,1825,100659,5476
574,170648,49,21270,5025
585,127059,957,44127,2790
586,170104,234,24894,1760
589,179160,675,16199,958
593,166043,371,25460,5118
604,168461,37,5238,1197
621,194775,0,0,2217
650,120061,624,61063,30634
652,160836,9853,21079,5224
674,165997,80,28467,5526
684,47617,12337,76715,38264
686,80022,305,92605,6618
743,183191,81,10942,2778
748,142775,455,28594,3622
749,136041,5698,49117,6136
752,196992,0,0,0
753,181402,320,13098,2172
756,76739,128,110148,9977
777,148270,491,22259,3400
787,183080,39,10770,3103
808,52969,311,108440,13213
840,113262,320,58334,3017
844,177001,351,14727,4913
855,81489,187,81894,11876
872,196991,0,0,1
962,129574,1545,56591,9282
985,147173,537,46445,2837
991,39874,235,97650,37687
992,135053,285,35394,4201
1021,206226,0,0,0
1031,146966,923,41788,7828
1036,174933,0,0,0
1068,101437,5171,86595,3789
1082,195710,17,839,426
1083,163801,2031,13747,6127
1098,182800,38,8484,5670
1102,125230,3329,43435,10634
1157,84485,3859,104814,3834
1176,167331,39,25232,4390
1183,154109,366,35659,6858
1204,134786,3244,5785,338
1245,194243,402,1286,1061
1287,100224,1395,31433,10588
1288,120532,250,57531,8419
1313,195280,0,0,1712
1314,169217,834,24058,4422
1322,208720,995,48658,4796
1325,86363,453,67224,6529
1342,194456,2446,845,271
1344,175253,191,16175,5373
1358,172586,77,19890,4439
1366,196725,19,5023,2920
1388,196992,0,0,0
1427,146949,38,42644,7361
1435,182070,1084,12270,1568
