,TN,FP,TP,FN
9,196436,0,0,556
22,135022,2192,46338,13440
26,183309,1192,7478,5013
28,159335,4490,32816,351
42,174933,0,0,0
44,173371,2145,21303,173
54,160382,1708,27907,6995
85,164827,890,27289,3986
94,185642,10129,1221,0
95,195693,0,0,1299
125,131811,2427,61289,1465
147,145992,8383,17411,3147
148,91314,0,0,0
155,174966,12841,8713,472
186,175757,3322,14452,3461
189,179055,8714,6746,2477
199,140710,3748,102825,3061
202,123601,2219,63255,7917
224,155871,7674,31805,1129
241,109940,6033,74384,7148
245,96746,275,88570,1141
248,196992,0,0,0
249,49279,793,144483,2437
258,196992,0,0,0
265,196992,0,0,0
298,201763,1587,58311,1508
302,191892,538,4323,239
310,163937,2138,26039,4878
350,150112,783,22515,1523
362,31536,307,150694,14455
392,145919,0,0,286
394,174933,0,0,0
408,195417,0,0,1575
424,155642,1845,37853,1652
430,174933,0,0,0
438,136002,4415,51860,4715
442,161148,2305,29004,4535
468,111758,1816,81538,1880
480,174933,0,0,0
492,148551,2023,44711,1707
507,121716,168,26079,10041
527,4046,1056,141544,1098
536,214712,0,0,235
554,176128,409,11148,9307
558,174169,5637,16320,866
559,174933,0,0,0
570,134383,597,56241,5771
587,185492,1263,6847,3390
595,179085,9383,4588,3936
597,153590,6563,14433,347
615,11498,9741,164628,11125
623,167740,1279,28593,406
624,161404,1836,28497,5255
637,175443,0,0,3
648,174933,0,0,0
668,195966,0,0,0
706,8942,3702,184035,313
709,171855,0,0,0
727,175959,0,0,0
733,215567,0,0,2458
736,147372,0,0,372
770,152602,28746,14403,1241
772,162323,3276,7299,2035
780,170493,4367,0,586
805,133967,2311,45807,14907
811,115528,114,56461,2830
814,184717,12275,0,0
837,161391,3279,8396,2380
859,193013,806,2672,501
868,180696,13250,3021,25
877,170029,1510,22486,2967
910,125745,3181,63611,4455
920,154397,931,28241,13423
947,173243,1907,21187,655
951,157491,0,0,0
1016,174495,0,0,438
1028,130430,521,64023,2018
1040,189026,2611,3136,2219
1065,176538,12056,1492,6906
1073,174933,0,0,0
1094,196992,0,0,0
1107,173127,0,21529,2336
1116,196731,0,0,261
1121,175595,6072,14182,1143
1125,155428,4367,28617,8580
1143,172832,8513,29344,5284
1170,196992,0,0,0
1179,196992,0,0,0
1180,175177,0,0,16685
1186,189191,5204,2481,116
1197,195957,0,0,1035
1198,201004,3595,10072,3867
1206,196992,0,0,0
1229,161336,3835,27691,4130
1254,196992,0,0,0
1261,164065,3665,22706,6556
1270,187023,4420,4211,1338
1290,125970,3281,54927,12814
1298,196992,0,0,0
1301,194617,2888,0,0
1302,196187,0,0,805
1309,145388,1191,46739,3674
1317,196023,969,0,0
1327,140086,1752,14221,919
1333,192830,0,0,4162
1345,174931,0,0,2
1352,195799,0,0,1193
1355,96454,4716,56121,17642
1362,196992,0,0,0
1370,194483,512,1108,889
1381,169182,562,21149,6099
1389,128390,2522,64993,1087
1395,196992,0,0,0
1401,162793,1294,29332,3573
1404,196670,0,0,322
1406,196992,0,0,0
1417,196992,0,0,0
1434,174932,0,0,1
1448,263169,0,0,0
