,TN,FP,TP,FN
33,196974,0,0,18
34,147076,825,41012,8079
52,173896,1037,0,0
59,119488,2770,59981,14753
62,170316,0,0,0
69,177531,12,13313,6136
82,151636,1575,32758,11023
92,120403,1563,67846,7180
100,196754,0,0,238
101,177697,10542,32,0
108,130791,370,36029,7743
113,176176,4636,15607,573
120,196992,0,0,0
124,196846,0,0,146
130,192820,255,2971,946
136,164787,1196,20560,10449
137,174420,0,0,0
139,161788,6580,6163,402
153,151571,453,22140,769
165,101555,1785,65744,5849
183,89051,727,71795,13360
201,145064,869,46476,4583
208,187054,472,8122,1344
237,113620,816,22657,3982
240,196992,0,0,0
257,177498,0,0,0
259,196959,0,0,33
261,134184,161,36569,4019
263,156722,173,37403,2694
266,160547,76,19358,3673
274,174369,0,0,51
280,88694,14702,60455,11082
282,176945,263,57806,6096
285,181601,981,11219,3191
286,196992,0,0,0
295,185749,1832,8118,1293
303,105721,2182,78863,992
304,159018,315,32120,5539
323,184680,0,0,0
325,175316,508,17817,3351
336,150490,75,21766,2602
338,159257,1521,14126,542
353,143640,0,0,0
355,165894,204,25677,5217
369,157063,56,15469,3884
372,131565,70,61104,4253
377,179187,282,16711,812
383,194981,0,0,2011
389,163113,362,32275,1242
393,157540,212,18517,20723
396,196991,0,0,1
410,97587,3385,69271,4690
418,160271,625,30992,5104
427,175446,0,0,0
433,158798,416,7261,1276
441,137601,3130,51392,4869
444,158004,644,34974,3370
446,144624,122,27511,2676
448,189321,1915,5665,91
460,125214,491,66298,4989
471,185601,774,8869,1748
473,141680,3370,28008,1875
510,171090,0,0,25902
528,182628,10098,7373,997
533,196992,0,0,0
559,124437,11046,36070,3380
578,129780,5300,18923,6566
583,177418,162,16364,3048
588,174933,0,0,0
595,171276,1555,20659,3502
599,196992,0,0,0
601,160462,1241,31912,3377
620,183654,0,0,0
635,174420,0,0,0
647,168285,132,4910,1606
681,196910,0,0,82
689,15282,3525,153186,2940
693,156247,63,15744,2879
697,179260,168,14030,3534
698,190988,0,0,5491
699,194194,18,2036,744
702,209971,0,0,1385
720,109140,85,63926,2295
728,150897,1184,39399,5512
742,133003,251,36636,5043
750,145531,1690,45094,4677
752,196992,0,0,0
765,194019,2845,128,0
771,198313,42,15948,2696
776,138137,209,24330,4562
782,196992,0,0,0
809,180477,1087,13396,2032
817,154589,1944,38149,2310
819,92250,6216,70894,5573
832,133772,16033,34777,12410
843,196992,0,0,0
853,112141,148,80059,4644
858,127858,728,62353,6053
865,180668,3559,21089,1936
870,170111,20,3507,1295
889,122475,110,48318,4543
894,166362,165,9691,20774
896,159927,445,12902,1659
919,155036,570,16584,2230
937,183579,1839,9942,1632
943,135237,2513,36103,1080
944,16571,3534,150608,4220
945,196992,0,0,0
948,131891,112,37592,5851
960,109426,825,78584,8157
971,184412,116,11272,1192
979,154921,552,36323,5196
983,75768,4269,129152,1141
1003,99430,3621,88662,5279
1004,196992,0,0,0
1011,91656,966,101120,3250
1018,77429,1789,122359,12857
1021,206226,0,0,0
1026,193248,60,2063,1621
1036,172021,504,1617,791
1041,166041,87,27172,3692
1044,95086,793,84713,8192
1059,124649,748,65782,5813
1072,68440,199,125708,2645
1083,185706,0,0,0
1093,115316,394,47880,11343
1099,113328,11470,70430,1764
1119,148416,595,57248,2532
1129,95757,126,90503,10606
1135,196992,0,0,0
1146,174489,0,0,444
1151,159279,574,9226,5854
1171,175870,9192,74668,3439
1175,187818,1240,7346,588
1180,191862,0,0,0
1184,189153,298,6487,1054
1202,66235,73,141205,15642
1204,142827,0,0,1326
1208,116820,54,74983,5135
1209,189346,290,1995,1257
1218,167238,0,0,0
1226,177291,322,15492,3887
1230,105994,6138,60991,2323
1232,209304,0,0,0
1234,196992,0,0,0
1246,183463,4768,15208,2274
1247,116918,1970,50926,5119
1252,164661,85,27618,4628
1257,191349,0,0,0
1286,162824,969,29086,4113
1287,143640,0,0,0
1296,175446,0,0,0
1312,175607,7624,12291,1470
1322,263169,0,0,0
1327,149458,922,5553,1045
1336,196992,0,0,0
1345,174933,0,0,0
1349,174933,0,0,0
1354,128711,247,61753,6281
1360,172473,189,21972,2358
1363,109907,2290,40944,21792
1370,194646,1901,445,0
1372,110069,601,61106,3157
1375,145429,855,47774,2934
1378,155119,1414,90990,9490
1382,152091,3005,38220,3676
1383,134219,528,37032,2641
1384,58704,1124,135187,1977
1387,147272,46,41398,8276
1393,91813,475,96847,7857
1395,161923,4013,27206,3850
1402,154623,766,26508,4835
1413,67564,621,140413,3784
1422,196992,0,0,0
1429,196992,0,0,0
1443,196654,0,0,338
1447,170124,1073,22736,3059
