,TN,FP,TP,FN
4,175437,0,0,9
8,142432,1593,22483,8425
23,196152,2747,36289,4383
24,161164,2816,55734,12162
50,183270,3132,23197,8426
52,174933,0,0,0
62,168245,1927,119,25
63,142164,5158,86397,4826
73,196992,0,0,0
96,149731,377,17555,7270
120,196845,147,0,0
139,171641,0,0,3292
151,169023,3717,21733,6623
156,191924,1764,2533,771
159,148108,1939,45471,1474
164,154975,1248,3205,9862
171,138932,118,26234,8623
206,125231,1005,49748,4592
222,174736,2882,28141,8675
226,87764,481,74421,11754
247,156384,1922,12572,3542
262,199565,1673,25343,5295
270,176909,704,13383,3944
276,151617,804,16236,5250
290,154726,608,15316,4283
295,191827,2631,2413,121
316,157227,668,9222,1660
321,196975,0,0,17
352,113308,28,53314,4179
353,141904,0,0,1736
363,171498,4616,13270,7095
404,183689,203,11561,1539
413,110719,2263,54307,7644
440,183929,2290,30560,3298
465,152689,609,17319,4316
467,146776,1676,39543,8997
479,163450,109,27813,5620
494,74251,59,3753,939
501,127722,2269,58196,8805
511,164913,666,17986,2654
514,188909,754,19673,9715
517,115184,11614,41206,6929
528,185902,0,0,15194
540,164420,1362,29197,2013
545,166969,136,25047,4840
548,141671,559,48851,5911
555,192508,1135,3109,240
557,196764,0,0,228
563,176852,841,15555,3744
596,178771,207,14141,3873
613,104651,3939,70838,10382
621,195047,1617,78,250
625,169453,318,23762,3459
626,53291,1454,140126,2121
627,85630,319,70150,18834
634,152563,82,27125,3884
659,117535,1602,53289,13793
678,184106,9,6823,6054
681,196954,0,0,38
682,162959,2451,6228,2782
696,176498,268,16558,3668
718,169493,536,17887,9076
747,164859,122,6676,3276
752,166546,1464,25789,3193
802,126534,582,39636,8181
825,197052,1731,20802,2031
833,132357,942,35103,6531
856,155499,366,36008,5119
863,160385,1870,21275,6793
866,192836,0,0,52
872,196992,0,0,0
887,76976,4247,112840,2929
915,166085,630,58106,8081
930,142217,1524,38814,14437
938,201785,1180,42971,4408
972,146039,552,22485,5857
982,81240,1298,74096,9065
1021,91304,49,109648,5225
1057,118375,1559,67516,9542
1080,113026,127,75247,4488
1082,196992,0,0,0
1122,120636,2412,64905,9039
1167,134703,83,58742,3464
1180,191853,0,0,9
1188,93029,2424,81096,11209
1205,116723,3887,69666,6716
1271,188203,2472,3848,1956
1285,64866,571,103858,5125
1302,196992,0,0,0
1313,196992,0,0,0
1361,148317,45,35129,8371
1422,192389,81,2892,1630
1429,186587,10405,0,0
1438,180686,163,7594,8549
