,TN,FP,TP,FN
53,196992,0,0,0
67,125272,594,45249,2279
86,191957,4720,205,110
90,162459,1189,23462,9882
112,190599,914,4504,975
115,175446,0,0,0
134,131624,7035,22280,18611
143,147805,1725,44934,2528
145,117656,661,39773,16843
166,112434,2375,32290,4749
172,148044,4381,41568,2999
180,162488,2815,22612,9077
185,183457,674,11161,1700
198,193425,0,0,3567
213,120081,5897,65326,5688
233,165979,508,28932,1573
246,72323,7169,106828,10672
252,186678,0,0,10314
285,133937,1175,49744,12136
309,137951,490,31603,4889
312,162987,1490,27164,5351
320,173885,1350,16414,5343
364,111990,2366,57854,2723
366,135754,1566,49099,10573
379,196992,0,0,0
382,192376,30,3689,897
419,72415,8288,78616,15614
425,152398,1321,37962,5311
463,178823,3053,8743,6373
466,182187,344,19678,7608
498,118456,455,69952,7616
502,169705,1082,3389,757
506,196992,0,0,0
523,166202,262,17697,12831
531,170952,1122,26437,16436
537,135557,247,55773,5415
544,152462,306,40048,4176
553,43638,256,137004,16094
565,196479,0,0,0
573,166460,199,5996,2278
582,168521,296,24026,5175
617,184925,777,7624,3666
640,125596,938,42615,5784
666,174933,0,0,0
683,147652,45,20272,7990
687,137119,447,25093,12274
758,166469,797,77086,18817
763,139051,1078,25659,5554
768,137369,2775,46495,10353
788,196980,0,0,12
790,175747,1094,17181,2970
816,175824,320,18377,1958
845,168037,4457,2899,53
871,130814,2291,34570,7258
885,133935,2341,35458,2686
904,145224,379,22816,6514
908,170965,1023,1744,1714
917,155215,453,14496,4769
921,162045,21,18984,7221
922,210075,0,0,255
942,105670,175,67374,23773
987,173801,98,512,1035
1009,99960,434,88280,8318
1013,186938,287,5671,4096
1024,94177,3962,75792,14340
1061,148421,374,35430,12767
1062,105766,1110,83441,6675
1069,151961,1138,15258,6063
1084,174932,0,0,1
1100,166596,740,25130,4526
1114,193713,0,0,3279
1132,154822,0,0,104
1141,129317,1595,25279,14125
1145,158549,1315,17613,6177
1153,82528,2961,89406,22097
1158,196478,1027,0,0
1160,135693,646,56848,3805
1178,160042,2939,11335,3182
1191,120751,620,45268,8294
1203,151987,922,33544,10539
1210,179758,6537,9964,3811
1215,131010,867,50797,14318
1220,144361,1648,41449,9534
1222,165335,841,25241,5575
1277,146209,4503,20879,3342
1283,111352,1091,70280,14269
1289,185706,0,0,0
1292,125823,720,39083,31366
1341,195659,0,0,1333
1398,179943,452,10621,5976
1435,179184,953,13088,3767
