,TN,FP,TP,FN
4,102205,6311,57740,9190
7,40587,644,148384,7377
9,140564,1816,52404,2208
10,196991,0,0,1
12,174870,0,0,576
14,194426,0,0,1
16,120313,242,0,0
17,175662,0,0,297
19,221072,0,0,544
21,194114,201,1579,1098
22,145192,2818,34126,14856
23,231219,1734,5317,1301
24,199740,6373,24004,1759
28,159938,1060,32286,3708
29,196886,106,0,0
31,101562,900,90351,4179
33,177180,1035,8019,10758
34,196990,0,0,2
35,96655,1956,91446,6935
39,142204,2179,17249,6119
42,108007,4395,60096,2435
43,137601,858,32027,4447
44,151771,400,41604,3217
47,48015,1148,99245,8057
49,212114,240,14029,1902
50,208676,354,6569,2426
52,171215,52,2841,825
53,134433,1061,46386,15112
55,158719,870,12332,3012
56,167980,3171,35271,5960
62,170316,0,0,0
65,140043,2371,44104,10474
69,196992,0,0,0
72,158252,2551,23017,13172
73,192121,32,2828,2011
76,157698,4425,30355,4514
80,159261,275,12512,2885
81,192024,692,3927,349
85,162327,243,27849,6573
86,189096,534,6062,1300
88,195452,1027,0,0
89,90424,319,81199,3504
90,185574,1441,8184,1793
91,102183,161,115069,9333
95,132025,133,58118,6716
96,171240,146,1648,1899
98,135568,2353,53508,5563
100,148582,1291,39927,7192
101,188248,0,0,23
103,89687,2786,66373,33529
106,196992,0,0,0
107,158467,591,33363,4571
110,165699,0,0,0
112,193547,83,2491,871
113,175353,254,17836,3549
115,170415,331,3142,1558
117,154820,108,34458,7606
120,196878,114,0,0
121,174380,1334,3929,420
123,206488,1764,0,26
125,127449,1195,60725,7623
126,147580,0,0,164
127,234441,0,0,0
134,174642,494,3549,865
136,101370,4822,56964,33836
137,161225,3713,8977,505
141,196992,0,0,0
142,196992,0,0,0
143,181926,1459,13136,471
144,192006,47,4658,281
145,142939,10001,19677,2316
146,168414,316,25586,2676
148,90574,0,0,740
151,191014,131,5912,4039
155,156754,150,36783,3305
156,173101,2914,17276,3701
158,196992,0,0,0
159,133466,1583,59677,2266
163,196507,205,220,60
164,164510,491,2937,1352
166,91511,10741,38123,11473
167,161528,616,7558,3692
169,195264,67,1133,528
170,101720,2068,101571,4971
171,165157,888,6249,1613
172,185915,58,8506,2513
177,170380,1050,2596,1933
178,193294,77,2072,1549
179,175667,291,0,1
180,167668,963,22453,5908
185,195221,713,346,712
190,113732,902,66798,2222
195,188455,1225,5718,1081
196,147744,0,0,0
198,136716,4893,49589,5794
200,86600,10646,91362,8384
201,177528,979,13631,4854
203,183704,0,0,13288
206,160589,1186,16486,2315
207,191617,508,4221,646
208,181577,29,13776,1610
212,63456,3377,121597,8562
213,157371,2877,29270,7474
216,79347,3353,110933,3359
218,181727,2440,0,0
219,168103,0,0,161
220,159141,322,5008,1741
221,78458,3032,67523,26433
222,207033,1156,5396,849
224,123360,1008,61338,10773
226,144928,896,28120,476
230,138671,86,33586,2590
232,183871,98,10339,2684
234,160057,1686,10026,3164
235,192906,1804,1499,783
236,172896,129,1506,402
240,82766,613,102783,10830
241,85387,5295,87349,19474
245,169338,458,14487,2449
247,168149,465,4085,1721
248,138180,951,45258,12603
249,165241,204,29218,2329
250,188502,4897,2,0
252,165904,6019,18899,6170
253,136591,962,8610,1581
255,130862,4669,32678,6724
259,165398,1410,20039,10145
260,186294,1648,8239,298
262,225742,387,4142,1605
265,185040,6217,3624,2111
267,107572,116,63562,3683
270,187583,1223,4108,2026
273,155282,758,39003,1949
275,196984,0,0,8
276,166965,436,4944,1562
278,147495,1700,24731,2546
279,77891,1528,144161,9835
280,147146,5705,17536,4546
284,171413,7099,13599,4881
285,194674,1533,605,180
290,169953,390,2991,1599
292,122518,4529,39016,9383
293,149186,820,42667,4319
294,196954,0,0,38
295,185169,454,9401,1968
297,173902,0,0,5
298,169928,1744,88607,2890
300,196992,0,0,0
304,196992,0,0,0
305,86168,2368,84602,1795
306,159532,5797,27459,4204
307,157930,2377,32908,3777
308,74337,1187,103668,17800
309,145613,1731,26376,1213
311,191417,439,4107,1029
312,176377,310,16586,3719
316,165275,284,2228,990
322,196992,0,0,0
331,104793,444,66781,2915
332,103259,306,89496,3931
333,157963,532,7754,1502
334,140182,778,31589,2384
335,76526,403,112492,7571
337,174833,1802,487,376
338,125697,8083,33433,8233
339,154886,360,37615,4131
341,52143,443,140610,3796
345,174019,50,1886,1543
346,177784,681,14515,4012
348,159343,583,10842,4165
350,75214,1854,85210,12655
353,129924,2108,9440,2168
355,164554,2437,25938,4063
356,135190,1152,24457,14134
357,163364,132,9184,2253
358,120491,342,43896,10204
359,175325,60,16493,5114
360,169035,58,3565,1762
361,160638,12018,16537,8312
362,188020,1271,6277,1424
365,71511,93,89839,12977
366,165642,5421,15242,10687
369,173744,0,0,2728
373,122280,138,50409,2106
374,190733,177,4166,1916
375,186989,268,8352,1383
377,195738,0,0,1254
378,132549,958,47846,4866
379,172235,669,19396,4692
382,196992,0,0,0
383,162041,1716,30808,2427
384,169452,300,3898,1283
385,152393,94,40472,4033
387,121248,787,68657,6300
388,125694,8695,36581,26022
390,147350,841,21979,4763
394,133358,9533,28388,3654
395,139181,138,52876,4797
396,196051,0,0,941
398,150995,294,18169,5475
400,240258,140,16263,1891
402,135304,84,57554,4050
407,137140,1682,53758,4412
408,160713,200,32865,3214
410,95922,16105,60609,2297
413,126692,488,40189,7564
417,187652,872,7581,1400
420,182129,1211,10691,2961
427,175446,0,0,0
430,154139,1489,14649,4656
434,154427,2,40989,1574
438,173620,245,20942,2185
440,208090,1822,9071,1094
442,116325,703,71687,8277
445,136141,62,21697,17033
447,86965,100,147976,10686
449,196992,0,0,0
451,147019,663,22157,5094
452,142409,1109,48793,4681
454,56170,1250,36101,6514
457,194199,127,1539,1127
459,80099,183,105993,10717
460,163725,1089,31192,986
462,76733,171,111940,8148
463,180442,123,9752,6675
465,169746,291,3292,1604
466,183270,467,20911,5169
467,178114,300,12622,5956
469,119329,2771,83665,4565
471,128790,2617,59150,6435
472,149886,488,36292,10326
473,174933,0,0,0
475,160415,520,32800,3257
477,100211,2094,89473,5214
482,167648,61,25349,3934
484,86333,1035,148774,19332
486,196992,0,0,0
487,195760,0,0,2258
491,114034,1648,67752,13558
492,111471,237,76252,9032
496,196992,0,0,0
502,170394,230,2700,1609
507,95115,4293,48656,9940
512,156294,1208,14697,2734
514,213658,445,2828,2120
519,196928,0,0,64
523,196992,0,0,0
524,171556,6091,14883,3949
528,174120,3537,19002,4437
531,196448,1559,11123,5817
534,195169,1452,321,50
536,138903,3367,61514,11163
537,196990,0,0,2
539,152537,582,32309,11564
540,196885,0,0,107
546,196263,0,0,729
547,166182,0,0,1056
550,157040,492,12554,4847
551,104940,1957,80418,9677
555,196992,0,0,0
558,128612,1384,60568,6428
562,178061,371,14150,4410
565,166980,759,20538,8202
566,110466,259,75017,11250
569,159893,1247,22621,13231
570,138447,238,49596,8711
573,110408,79,61001,3445
576,182687,166,9587,4552
578,107570,26377,23960,2662
582,128194,1571,56199,12054
592,93197,2070,94036,7689
596,192103,990,3135,764
597,124587,416,45413,4517
606,110207,591,58564,10188
611,165894,636,23321,8167
614,72873,120,93864,6024
615,195677,0,0,1315
616,196751,0,0,241
617,189741,475,4251,2525
618,162013,171,7782,1376
621,194202,0,0,2790
622,196888,0,0,104
623,108160,30,79951,9877
624,122567,9705,48878,15842
629,166742,946,15676,1829
630,194698,160,1340,794
640,156220,1699,14044,2970
643,196788,0,0,204
646,170872,916,1769,1376
647,174932,0,0,1
650,170965,27125,14167,125
652,162174,2413,24259,8146
660,166525,77,49292,9826
661,188556,821,4874,2741
665,196850,142,0,0
666,164559,852,7489,2033
677,125050,1308,31289,8565
680,194047,0,0,2945
682,168570,180,2020,3650
683,164717,4479,6229,534
687,153662,2614,14457,4200
706,185097,69,7926,3900
708,175446,0,0,0
710,154528,2401,15132,2872
718,185990,717,7067,3218
723,170316,0,0,0
724,196987,0,0,5
725,165086,117,6690,3040
728,166855,1683,25312,3142
729,153601,675,34938,7778
732,213228,504,5385,447
733,218025,0,0,0
734,202199,436,0,0
739,171817,6,2167,943
744,164884,51,8729,1782
750,196734,0,0,258
754,56856,2840,102296,2681
757,214856,89,0,2
758,256421,1454,4198,1096
763,154144,2353,11960,2885
765,137695,47,47453,11797
767,68286,2751,90874,9944
768,181493,3811,8713,2975
778,196992,0,0,0
782,157527,3904,34420,1141
784,225420,0,0,300
789,173409,5098,16600,1885
790,187986,187,5560,3259
792,103036,4480,59756,7661
804,175959,0,0,0
805,177770,6735,9142,3345
807,196924,68,0,0
810,184854,804,6654,1602
811,161977,205,11026,1725
815,196992,0,0,0
816,196456,0,0,23
820,131877,702,59578,4835
825,213685,222,5837,1872
832,196992,0,0,0
834,156802,668,33681,5841
845,159538,313,14597,998
859,140448,0,52178,4366
862,196778,214,0,0
865,207232,0,0,20
868,171183,198,16497,9114
871,157663,2273,11268,3729
873,194762,2230,0,0
876,196193,799,0,0
879,184343,1126,19952,2857
885,173341,0,0,1079
889,156320,1007,17325,794
897,174933,0,0,0
900,196992,0,0,0
904,165500,2300,5832,1301
908,172186,819,1121,1320
909,181990,1395,10750,2857
910,159160,1509,34063,2260
917,165288,371,7698,1576
919,139743,1243,28280,5154
920,130295,626,57475,8596
921,184183,1168,2354,566
922,195601,286,5222,9221
930,177133,168,15156,4535
935,196992,0,0,0
937,196975,0,0,17
938,239712,538,8682,1412
940,171937,548,2060,901
941,193670,498,1719,1105
942,182767,3463,4897,5865
943,136198,11795,26307,633
947,136748,359,54285,5600
949,168849,394,4120,1570
951,146289,406,9532,1264
955,196992,0,0,0
961,175425,0,0,21
964,176004,4,19831,1153
966,82875,1998,56364,6507
968,196167,681,402,768
972,169143,247,4036,1507
973,184185,95,939,487
974,132204,150,0,0
977,159001,311,34401,3279
982,165699,0,0,0
987,175204,128,70,44
993,196986,0,0,6
996,166077,1414,4945,1984
997,194551,700,1228,513
1002,186715,0,0,17
1005,196264,92,327,309
1007,188569,3,270,455
1008,196066,552,206,168
1013,193064,1365,2018,545
1017,142329,262,65084,8298
1026,188901,37,6568,1486
1028,115939,1499,71996,7558
1031,161130,2912,29137,4326
1032,169678,806,24246,2262
1033,192244,14,3542,1192
1035,130279,2509,54223,9981
1036,173363,428,833,309
1041,196199,54,476,263
1043,195962,247,537,246
1046,195859,291,496,346
1048,170955,742,21591,3704
1052,181056,272,13844,1820
1057,172966,9634,12558,1834
1061,179628,3499,11757,2108
1069,152306,2850,15444,3820
1077,175641,98,1029,217
1078,119089,2450,69797,5656
1079,196290,212,0,490
1080,192888,0,0,0
1081,196992,0,0,0
1083,132854,4889,33327,14636
1084,111464,3766,53963,5740
1087,165350,233,8313,1550
1088,196992,0,0,0
1089,143946,255,21706,5435
1092,103577,1689,79366,19029
1095,196991,0,0,1
1096,174665,0,0,268
1102,170050,1228,9237,2113
1103,263153,0,0,16
1104,190836,0,0,0
1105,173828,1105,0,0
1107,148663,247,45979,2103
1110,153138,13378,11074,1960
1112,184360,1193,8137,3302
1114,191078,173,3492,2249
