,TN,FP,TP,FN
18,195445,1546,1,0
26,196045,0,0,947
32,196409,234,209,140
42,171217,1840,970,906
44,190207,4698,1623,464
70,156723,8669,26719,4881
72,171484,7040,16422,2046
76,196992,0,0,0
77,192289,1913,1985,805
86,193567,0,0,3425
95,194501,624,990,877
100,196992,0,0,0
112,189763,2380,2174,2675
116,142093,2084,28123,2120
137,167194,70,3779,3377
143,194533,2459,0,0
146,189151,1515,1795,4531
147,174933,0,0,0
152,159495,4628,6472,4338
155,178604,13,9636,8739
169,196992,0,0,0
187,154177,366,6881,14535
191,178440,1626,8769,8157
202,196992,0,0,0
227,195203,539,209,1041
232,196980,0,0,12
244,146764,3577,37640,9011
248,194020,2541,332,99
258,196687,305,0,0
269,99363,2329,68590,27223
284,195331,1661,0,0
291,187709,216,694,5295
299,170620,4313,0,0
311,170712,8292,13289,4699
329,187171,0,0,587
342,138082,1538,42058,15314
350,174933,0,0,0
374,196799,0,0,193
380,181635,466,7893,6998
387,187923,5283,2339,1447
405,194307,2685,0,0
406,174583,0,0,350
411,146248,7012,20383,1290
420,196992,0,0,0
422,166962,3952,19702,6376
424,151085,1243,38706,5958
432,196992,0,0,0
449,196396,573,18,5
456,164645,523,6752,4039
468,195165,0,0,1827
472,194660,0,0,2332
475,178291,954,7754,9993
480,174830,0,0,103
504,173493,2085,8517,12897
529,97758,4212,36599,36877
530,78774,2242,45010,7867
547,133499,7236,14748,11755
562,196992,0,0,0
566,194931,2061,0,0
591,196992,0,0,0
623,197887,0,0,131
628,72647,413,95526,6347
630,196953,0,0,39
660,221297,3982,333,108
669,177398,408,15443,3743
690,195395,0,0,1597
724,186493,518,7922,2059
727,157107,3278,11201,4373
733,197974,14192,4433,1426
767,171383,0,0,472
772,158205,1688,8528,6512
780,163536,1412,1066,9432
782,168085,1595,12785,14527
795,189664,1080,1099,5149
800,195159,1833,0,0
837,174636,509,4,297
843,194546,2446,0,0
877,196902,0,0,90
900,196992,0,0,0
920,195701,1291,0,0
939,196992,0,0,0
953,196509,483,0,0
956,96863,2965,82569,14595
971,159715,567,34231,2479
988,180063,0,0,0
1008,192101,842,3483,566
1032,187320,2369,3090,4213
1037,139626,6198,33525,17643
1040,192391,1913,1845,843
1052,156873,5352,13671,21096
1054,184416,0,0,12576
1065,193262,3588,142,0
1075,196992,0,0,0
1094,79433,2041,110862,4656
1106,182974,1377,10259,2382
1121,194976,0,0,2016
1125,190048,52,1728,5164
1135,171029,839,16208,8916
1162,118349,4105,44611,29927
1170,196992,0,0,0
1179,143869,3716,40924,8483
1186,189894,1190,1575,4333
1207,69352,38,28823,15160
1212,161971,2189,0,0
1240,169113,1100,5557,2241
1259,196736,256,0,0
1261,196140,0,0,852
1263,196992,0,0,0
1290,196992,0,0,0
1297,185396,577,7521,3498
1311,196755,235,0,2
1320,173905,0,0,2
1327,148735,0,0,8243
1355,169059,0,0,5874
1359,192469,1786,1981,756
1362,195353,307,48,1284
1370,195919,117,629,327
1371,104549,2401,58798,31244
1404,195817,1174,1,0
1417,195572,0,0,1420
1424,145897,1456,391,0
1439,193940,3052,0,0
1445,171676,1205,0,0
