,TN,FP,TP,FN
5,109602,662,53351,10805
20,148240,242,45302,3208
30,131271,166,47335,6934
52,165498,430,5294,3711
57,252523,900,7050,2696
83,125556,2619,68030,5404
87,151549,303,35733,9407
101,188265,0,0,6
119,189810,0,0,0
124,189807,247,6017,921
139,174929,0,0,4
160,191955,63,4398,576
161,194502,12,1517,961
176,100147,18248,44820,11718
193,182356,129,12293,2214
214,125614,732,58474,12172
219,165839,688,1498,239
228,168920,418,17376,10278
243,84637,95,105288,6972
280,174933,0,0,0
293,166385,2880,20486,7241
353,143640,0,0,0
433,149212,155,14488,3896
503,102108,4275,78421,12188
510,164671,28310,3899,112
520,92195,181,97987,6629
543,137238,24,35020,6755
568,121055,3590,64164,8183
581,157372,527,35846,3247
593,196859,0,0,133
598,190800,387,4926,879
605,149625,842,37549,8976
610,154769,18,36988,5217
639,159215,192,14937,589
674,200070,0,0,0
676,165206,642,26463,4681
695,155115,139,36458,5280
698,189582,0,0,6897
719,142689,5182,33403,15205
730,167204,0,0,34
732,138163,127,67920,13354
741,151626,182,101769,9592
745,177939,1359,14091,3603
849,151899,1210,38209,5674
872,195226,72,1476,218
923,193597,15,2090,777
954,183285,291,3193,3041
993,170630,261,20998,5103
1001,153704,394,19939,5000
1010,156318,94,35016,5564
1022,155238,387,30769,10598
1025,155737,197,34171,6887
1026,196991,0,0,1
1027,126739,153,65148,4952
1051,75215,284,81132,18302
1060,161126,172,29497,6197
1098,196992,0,0,0
1123,121311,724,50061,5402
1154,132916,721,56136,7219
1203,193502,3485,5,0
1218,167219,0,0,19
1234,196992,0,0,0
1236,96096,624,73840,3860
1239,130699,447,36060,6188
1245,196992,0,0,0
1248,164108,8,2377,7927
1275,189000,141,4991,2347
1313,193598,865,1781,748
1334,178058,156,34170,5128
1388,69450,509,108833,18200
1418,172244,89,1022,1065
1429,196992,0,0,0
