,TN,FP,TP,FN
10,158147,10380,22153,6312
18,181433,162,12453,2944
25,152771,1683,14750,5729
32,174173,23,20894,1902
33,186403,0,0,10589
35,195792,0,0,1200
44,193790,0,0,3202
45,174398,487,19873,2234
46,135631,523,38036,743
49,194892,9514,21371,2508
59,122543,622,59620,14207
69,135362,3946,56117,1567
76,182953,7605,5301,1133
77,142195,8146,41969,4682
79,217477,0,0,1574
94,159999,8395,26419,2179
106,183000,5682,7504,806
117,177626,3721,15207,438
125,196992,0,0,0
137,174420,0,0,0
146,182895,0,0,14097
176,174933,0,0,0
201,169603,2850,13988,10551
203,196992,0,0,0
205,196992,0,0,0
207,180985,324,14738,945
211,192334,0,0,41
237,34960,187,84636,21292
248,195943,0,0,1049
255,158787,4498,6963,4685
258,196992,0,0,0
259,195985,0,0,1007
263,38723,1486,154843,1940
268,166231,8946,17889,3926
284,171376,257,8154,17205
291,115760,177,72981,4996
302,183310,41,12267,1374
304,181708,9826,5305,153
306,104696,6057,78525,7714
307,162452,557,25873,8110
310,196001,0,0,991
326,217512,0,0,0
329,156416,371,29562,1409
338,144821,2820,24738,3067
346,196992,0,0,0
351,130310,7259,33604,3760
355,196592,0,0,400
358,172759,0,0,2174
388,196992,0,0,0
405,195856,0,0,1136
435,196992,0,0,0
444,196992,0,0,0
445,154816,16590,2545,982
451,174933,0,0,0
462,196992,0,0,0
476,142491,155,30246,2041
477,178394,896,15689,2013
493,142194,68,34723,1026
506,162529,6690,27486,287
509,196029,0,0,450
539,195527,0,0,1465
561,194585,0,0,2407
580,185095,68,10374,1455
592,196992,0,0,0
603,196991,0,0,1
611,197783,0,0,235
616,153124,691,40721,2456
642,220828,274,16738,1218
643,158716,1446,34472,2358
651,141157,42,53938,1855
660,200317,17109,7500,794
668,163648,373,25010,6935
685,108756,1189,83293,3754
710,161772,0,0,13161
724,176605,285,11457,8645
730,157719,47,8307,1165
733,161892,7137,15896,33100
746,196992,0,0,0
765,125238,2015,35760,33979
769,163061,5503,26640,1788
780,155670,270,16342,3164
792,76620,165,87710,10438
814,142303,834,48030,5825
839,191835,0,0,5157
843,144917,875,49276,1924
847,96850,4473,91390,4279
858,196992,0,0,0
862,187420,2366,5793,1413
875,100381,108,73233,1211
877,191764,5102,91,35
880,199557,0,0,0
883,117337,214,75057,4384
894,196992,0,0,0
900,158254,50,27861,10827
918,156713,1072,35418,3789
951,120720,1238,31556,3977
953,141085,419,50689,4799
960,196992,0,0,0
971,189991,0,0,7001
1004,166558,286,28211,1937
1014,28970,1098,156693,9718
1032,196627,0,0,365
1035,155295,3358,30262,8077
1045,75025,154,94517,5750
1052,142608,590,48821,4973
1063,73534,0,0,123458
1074,38160,218,153974,4640
1092,198704,3060,1537,360
1125,147726,2288,30029,16949
1149,196992,0,0,0
1179,149410,7756,38538,1288
1182,176848,10680,8419,1045
1186,196992,0,0,0
1206,174097,48,19110,3737
1226,182362,0,0,14630
1228,151290,4225,34568,6909
1229,196876,0,0,116
1231,174925,0,0,8
1234,144021,0,0,52971
1244,196992,0,0,0
1246,174755,1564,23822,5572
1254,178044,0,0,18948
1256,54782,161,133852,8197
1258,142421,76,32397,2091
1268,177859,222,16880,2031
1276,190873,0,0,6119
1291,196104,0,0,888
1295,196992,0,0,0
1301,197313,0,0,192
1311,100163,320,93151,3358
1318,201096,0,0,0
1333,191755,0,0,5237
1345,149750,375,3620,21188
1348,43230,1024,150452,2286
1357,226462,3929,28287,4491
1359,150027,1391,43606,1968
1362,195371,0,0,1621
1368,188137,7766,63,0
1370,176225,659,19394,714
1385,177936,1250,9941,7865
1387,196992,0,0,0
1401,196888,0,0,104
1404,186904,5821,3147,1120
1406,196992,0,0,0
1417,166094,6343,20629,3926
1426,187693,0,5925,3374
1432,196984,0,0,8
1439,185846,763,4461,5922
1443,23129,8741,149189,15933
1446,184167,0,0,0
1447,121774,1417,62903,10898
