,TN,FP,TP,FN
6,137372,3007,50953,5660
14,149604,2065,39623,3135
25,174933,0,0,0
33,192457,365,3187,983
44,190287,330,5983,392
49,228285,0,0,0
55,148308,1412,19980,5233
56,204940,3146,0,4296
59,195240,1752,0,0
65,193618,1854,1520,0
66,184892,82,11019,999
94,185636,2474,8517,365
116,174420,0,0,0
117,196992,0,0,0
140,158256,3438,33582,1716
141,187918,1027,7748,299
146,188951,0,0,8041
150,185481,608,9677,1226
155,196992,0,0,0
169,196989,0,0,3
189,196785,0,0,207
205,189589,2737,2767,1899
227,186327,1905,6917,1843
231,111717,6026,74387,4862
232,169337,1421,25040,1194
253,144423,1646,0,1675
255,172848,158,132,1795
260,157230,26081,12601,567
265,188250,5060,3671,11
278,174726,1500,207,39
300,138652,541,49032,8767
302,194758,347,1862,25
310,196827,0,0,165
322,97540,6944,69580,22928
330,215973,0,0,0
345,177498,0,0,0
362,196884,0,0,108
373,174933,0,0,0
405,181248,15234,395,115
407,196875,0,0,117
427,91594,2253,80182,1417
435,196992,0,0,0
436,125892,173,60118,10296
449,185804,492,10357,339
450,154558,19357,13375,9702
486,130493,4680,59193,2626
496,150397,1187,41598,3810
518,152453,2252,38369,3918
521,187099,125,8982,786
524,182844,206,10455,2974
532,125325,2742,67342,1583
538,117783,5538,70283,3388
539,192960,2185,1845,2
561,179871,127,15548,1446
567,250344,0,0,0
588,174926,0,0,7
602,186785,388,8570,1249
611,193209,2841,1311,657
643,196989,0,0,3
645,164679,103,9218,933
658,150415,2381,20850,1287
660,225669,0,0,51
669,181306,431,13362,1893
677,161217,1733,2785,477
715,187297,6530,3165,0
717,196837,0,0,155
724,189477,52,5137,2326
746,168185,1994,23938,2875
754,164669,0,0,4
766,163758,1026,28885,3323
769,196992,0,0,0
778,95317,11512,89315,848
781,164288,849,10067,242
794,196992,0,0,0
828,193756,3236,0,0
839,74447,0,79213,43332
842,95893,82369,54980,29927
847,196992,0,0,0
860,179996,240,13394,3362
862,151173,4425,37440,3954
878,174928,0,0,5
879,206499,0,0,1779
884,196992,0,0,0
918,174476,101,20640,1775
951,157491,0,0,0
953,196992,0,0,0
955,154539,2643,38180,1630
977,187320,1191,3363,5118
1017,188972,1550,25143,308
1034,121365,75,33861,19632
1045,175446,0,0,0
1088,168374,1754,23738,3126
1166,165130,1098,29721,1043
1189,175210,1637,12658,7487
1206,193607,263,2106,1016
1212,150936,1440,11712,72
1263,196965,0,0,27
1270,196972,0,0,20
1291,194240,468,2213,71
1301,197505,0,0,0
1342,198018,0,0,0
1359,196878,0,0,114
1362,189424,0,4162,3406
1368,195966,0,0,0
1374,232790,3098,8825,501
1387,192741,4251,0,0
1406,195500,1492,0,0
1408,146319,2231,44842,3600
1417,192363,67,2905,1657
1426,178919,486,14245,3342
1432,196841,0,0,151
