,TN,FP,TP,FN
0,157210,2262,30282,2621
13,196249,0,0,743
36,153728,241,19264,6317
41,191728,647,0,0
48,185369,332,71812,5656
58,113473,35,57891,3534
61,184715,506,9069,2702
68,158837,613,32691,3825
71,140570,94,27993,6276
84,141271,6,52502,5778
88,166867,0,0,29612
135,149802,123,15335,2491
173,196781,211,0,0
177,152444,770,16863,5882
179,169592,659,3890,1818
188,129930,287,19843,2814
223,127057,7,41727,6142
235,168997,1470,20903,5622
238,156114,216,15543,3060
318,194154,11,14268,1897
333,132813,0,0,34938
399,124885,13,27760,3294
401,174933,0,0,0
412,168028,18,6308,1605
423,144225,393,26741,3574
458,157601,88,32116,7187
464,121190,14,50059,3670
482,196944,48,0,0
485,150251,2,19996,4684
488,127966,4,32490,4213
489,153395,20,23366,4308
516,99536,126,56466,13162
534,111391,2440,74189,8972
562,185355,464,8788,2385
577,163681,57,8925,2270
594,116956,1,22972,4224
600,173087,1,1173,672
612,195517,10,984,481
637,150727,10152,6184,8383
649,167750,1,11861,17380
657,143489,142,23005,3680
663,171297,3,16501,4574
713,148955,7,22018,3953
737,155270,3,16339,3321
738,157515,13,25874,4356
764,167228,4,5766,1935
784,225720,0,0,0
785,174933,0,0,0
786,174933,0,0,0
788,196992,0,0,0
796,105677,6,61073,8177
799,150416,43,13902,10572
806,150488,14,17808,6623
850,146066,72,21971,6824
857,151856,44,18495,4538
899,191127,2,4543,1320
916,170407,110,20139,6336
928,157861,54,11930,5601
949,131369,174,37542,5848
967,152765,0,14613,7042
969,172019,81,21831,3061
995,215784,21,8961,3006
996,90187,5193,71071,7969
1006,136415,8,34607,3903
1020,167898,5,22870,6219
1055,126106,10,40819,7998
1058,182166,53,12103,2670
1064,178105,3,15452,3432
1090,68210,199,29723,4981
1095,184776,112,7347,4757
1096,114004,344,45374,15211
1109,108548,1135,38416,5801
1118,147355,18,23209,4351
1128,148229,0,25774,4008
1132,154926,0,0,0
1140,213443,12,7656,2557
1147,188013,261,5229,3489
1155,169782,34,17989,9187
1163,162128,3,29457,5404
1225,156368,224,15318,3023
1235,114231,28,11164,49510
1242,180399,3,12878,3712
1243,189391,0,4953,2648
1249,157167,139,32293,7393
1280,170284,1,1983,2665
1300,178438,23,1208,907
1305,142285,69,18984,3335
1321,160385,0,12126,3448
1326,168239,140,3371,2670
1335,147660,111,22787,3862
1338,93561,10,70112,11250
1340,147593,151,0,0
1353,189700,95,5033,2164
1373,142794,13302,30594,10302
1399,107216,475,56311,10931
1407,167033,214,5117,2569
1419,158159,331,27698,10804
1428,150424,512,19961,4036
1431,180176,1,185,4831
