,TN,FP,TP,FN
0,32805,98,150985,8487
1,96736,691,66355,12177
2,11730,559,157715,4929
3,79634,3068,111651,2639
4,108623,1389,55804,9630
5,64043,2270,104429,3678
6,53297,8709,131160,3826
7,152386,315,41502,2789
8,31036,1455,139412,3030
9,69838,210,119753,7191
10,37796,11675,145097,2424
11,14558,4,180303,2127
12,96736,937,69101,8672
13,11055,28,143892,42017
14,42998,13,143621,7795
15,19257,9096,143790,1764
16,32639,33,81286,6597
17,41656,614,127496,6193
18,16908,1789,173623,4672
19,160970,229,45887,14530
20,48343,138,146441,2070
21,21594,1501,167214,6683
22,104263,5535,70962,16232
23,49933,532,183096,6010
24,92126,636,133759,5355
25,26067,906,139083,8877
26,20455,877,166916,8744
27,2063,0,140566,2037
28,51676,268,120646,24402
29,744,0,195801,447
30,52059,148,128098,5401
31,97843,647,96335,2167
32,22076,159,172742,2015
33,44915,2913,142235,6929
34,49162,521,145171,2138
35,92625,1228,91093,12046
36,24980,601,148779,5190
37,8678,37,152970,936
38,61838,667,156559,6656
39,44690,4545,110369,8147
40,89380,727,72138,12688
41,0,0,189915,2460
42,76319,40788,45559,12267
43,33800,114,135503,5516
44,74185,448,108613,13746
45,26267,1375,166405,2945
46,38690,0,132763,3480
47,107487,85,40773,8120
48,76752,716,181114,4587
49,35713,1820,170882,19870
50,38604,3396,170727,5298
51,2024,151,192889,1928
52,10048,154,158683,6048
53,73999,2743,115028,5222
54,45269,990,143910,6823
55,33727,2795,129089,9322
56,39963,246,149367,22806
57,8986,21,248743,5419
58,60793,632,111582,1926
59,117565,2409,23350,53668
60,55913,9,119551,3051
61,15442,639,174921,5990
62,1803,2,166059,2452
63,94119,245,136583,7598
64,22202,137,149987,2094
65,53768,503,132017,10704
66,11653,0,184099,1240
67,47195,32,122073,4094
68,36212,304,153586,5864
69,17587,0,113469,65936
70,35179,592,151055,10166
71,33173,1096,139255,1409
72,45871,2033,108897,40191
73,4350,448,186379,5815
74,127640,214,54069,2244
75,1546,1,194118,1327
76,77035,51561,57588,10808
77,48851,1272,129172,17697
78,106947,0,72412,9938
79,82593,43319,92284,855
80,171206,492,0,3235
81,81857,1809,105570,7756
82,64094,187,127245,5466
83,72434,1742,119687,7746
84,57982,302,138980,2293
85,53253,1738,132289,9712
86,22054,1834,168588,4516
87,42314,701,150906,3071
88,46940,317,138616,10606
89,88546,2057,78257,6586
90,37441,3201,153848,2502
91,116081,88,58364,52213
92,73420,188,116729,6655
93,125894,623,68202,2786
94,52946,88,121653,22305
95,63512,2429,117649,13402
96,24262,2041,144299,4331
97,25363,11,146286,3273
98,59905,311,133160,3616
99,118892,208,48573,7260
100,47149,1985,119835,28023
101,10072,15,174259,3925
102,4202,200,170111,933
103,80819,37956,72396,1204
104,78654,278,110838,7222
105,60225,155,89089,3918
106,53792,3374,78587,61239
107,58433,9568,116072,12919
108,42499,2095,128622,1717
109,20499,819,150398,3217
110,82541,1630,73217,8311
111,31966,9,139995,2963
112,14238,1868,169330,11556
113,37253,4010,94225,61504
114,84380,261,106604,5747
115,46977,97,119333,9039
116,0,0,134124,40296
117,53469,11,137896,5616
118,11401,0,161470,2062
119,56424,740,123535,9111
120,416,0,195881,695
121,12860,2337,158578,6288
122,7365,265,166247,1569
123,74727,89,127764,5698
124,7353,47,188351,1241
125,125141,59,64467,7325
126,10616,20,134242,2866
127,163131,1826,49162,20322
128,44364,583,45511,1882
129,25221,127,145419,4679
130,4000,27,191646,1319
131,65681,175,117105,14031
132,40378,1606,129696,2740
133,51752,84,149981,2870
134,107841,1715,55480,14514
135,17798,28,147794,2131
136,86140,18737,84314,7801
137,15204,1261,150648,7307
138,43105,151,150618,3118
139,14665,293,152876,7099
140,34427,87,155643,6835
141,13016,159,178026,5791
142,49417,10831,134406,2338
143,60956,88,123986,11962
144,53824,290,141722,1156
145,77288,137,89623,7885
146,45793,575,131174,19450
147,78200,10450,81831,4452
148,63781,2486,23415,1632
