,TN,FP,TP,FN
4,132673,2154,33973,6646
15,145264,290,6637,21716
21,196619,0,0,373
39,138673,730,12862,15486
47,156465,0,0,0
51,194287,530,1046,1129
53,181112,1460,9594,4826
86,196066,0,0,926
107,165646,2315,10655,18376
115,175446,0,0,0
121,172324,384,1706,5649
145,174933,0,0,0
163,181508,150,5406,9928
167,170280,109,1078,1927
195,195030,1449,0,0
209,94309,358,34315,68010
234,152936,264,8374,13359
246,196992,0,0,0
252,160663,666,16584,19079
292,120560,964,21882,32040
345,177411,87,0,0
360,165686,191,4812,3731
379,196979,0,0,13
384,169893,54,1305,3681
390,155903,512,10974,7544
398,170030,2179,2153,571
406,174933,0,0,0
421,127553,1261,26327,41338
454,95883,483,2164,1505
461,93500,267,29929,73296
491,184943,354,4238,7457
499,172323,99,9700,14870
506,195076,0,0,1916
512,166772,230,4325,3606
519,140054,1644,18905,36389
522,160449,462,7734,6288
533,196992,0,0,0
549,127490,115,13190,56197
550,170259,530,857,3287
565,182436,437,4666,8940
566,196992,0,0,0
630,133098,336,24481,39077
632,102013,254,13590,81135
646,122458,82,8690,43703
655,179610,20,3314,14048
656,40464,289,70981,85258
666,152112,340,3900,18581
671,149762,292,19584,27354
708,105892,1727,13842,53985
725,166400,72,2583,5878
729,181208,251,9993,5540
762,157615,262,6925,32190
800,131718,549,16706,48019
810,184450,152,2427,6885
815,140918,355,10940,44779
818,144224,369,17595,34804
825,221616,0,0,0
826,102413,1150,8874,44541
845,175446,0,0,0
867,144269,143,21245,31335
878,174933,0,0,0
909,176506,120,3920,16446
912,147186,527,7328,47594
917,174933,0,0,0
922,197618,135,1705,10872
926,177743,161,7336,43045
939,187469,6847,1996,680
940,170458,51,1543,3394
958,139541,259,13246,43946
964,196991,0,0,1
1007,189247,50,0,0
1008,191513,208,2557,2714
1017,190989,3350,8988,12646
1050,109322,77,15325,49183
1075,136654,287,8451,51600
1081,181990,766,4862,9374
1084,169628,203,2287,2815
1094,196712,280,0,0
1105,173217,166,184,1366
1114,188850,161,2210,5771
1139,160677,15,19811,29827
1158,196288,0,0,1217
1178,177498,0,0,0
1210,200070,0,0,0
1231,133784,597,19623,20929
1240,176377,241,530,863
1251,111783,361,18505,66343
1272,97562,143,23029,76258
1289,173188,10858,567,1093
1341,196404,588,0,0
1376,188797,488,3864,3843
1377,187791,297,3085,5819
1380,142339,304,11605,37101
1386,193088,220,632,3052
1390,181248,223,4067,11454
1391,196981,11,0,0
1421,121907,77,28914,46094
1433,152655,956,21435,21946
