,TN,FP,TP,FN
30,185085,0,0,621
37,153896,10,6489,2226
64,152036,45,18577,3762
74,56295,18,124190,3664
75,195088,357,1296,251
101,188271,0,0,0
111,142720,238,30241,1734
120,196992,0,0,0
122,167791,25,5654,1976
138,153074,662,40185,3071
162,175261,185,0,0
173,196629,0,0,363
198,194056,2936,0,0
210,196980,0,0,12
225,177298,165,15394,3622
256,155968,122,36123,4779
257,167667,7452,2341,38
272,151284,10054,10740,1829
286,69116,556,74992,52328
294,183922,366,11570,1134
315,159625,1686,31993,3688
328,168445,13,5431,1044
349,172997,101,13407,1253
367,172021,0,1671,1241
387,196664,328,0,0
397,192533,341,9007,3832
401,174933,0,0,0
411,159209,1125,12743,1856
414,106204,91,34119,4252
426,205426,419,46656,5025
445,174933,0,0,0
455,139240,731,41695,5066
487,198018,0,0,0
495,196992,0,0,0
510,196992,0,0,0
560,195803,42,787,360
588,149513,35,21088,4297
599,166323,247,24183,6239
603,196919,0,0,73
614,160770,153,10409,1549
620,174353,507,7444,1350
633,158321,3514,24472,1451
638,181067,182,7440,2147
653,181499,462,14180,851
672,208258,6,14344,2086
675,167110,1275,29388,6914
692,174496,388,11495,1379
700,157137,209,36025,3621
701,150526,142,21680,2585
704,256942,0,4794,1433
705,164430,113,25661,5762
712,224810,0,11961,3313
722,140167,300,31729,2737
723,156820,157,10450,2889
726,177044,159,29923,3204
731,165033,111,8215,1574
774,174708,0,0,225
785,171589,0,2333,1011
795,195710,0,0,1282
821,106741,140,78701,11410
827,206211,31,35002,4996
831,179062,164,30065,5656
835,168611,30,17581,5640
848,177119,60,24086,2909
861,177520,943,13677,748
869,180740,437,13206,2609
874,181924,11,14533,5141
890,188934,169,4923,2966
891,181499,657,13076,1760
892,160594,390,10671,3278
913,160973,15,10304,3641
914,142544,801,24889,6699
924,175362,21,16510,1508
934,185033,272,9692,1995
935,172139,1768,17215,5870
950,149084,133,22175,3541
957,173663,0,780,490
963,196156,12,508,316
973,185706,0,0,0
980,99345,593,92530,4524
981,209059,0,2361,1475
986,194846,5,1448,693
990,179143,207,14438,2178
994,148072,7,9057,2407
998,174960,284,19024,2724
999,204052,14,25178,6223
1000,196291,0,0,701
1038,193353,8,2114,1517
1047,121331,12,72498,3151
1048,196992,0,0,0
1053,181764,47,12096,3085
1071,192799,248,1682,2263
1097,162256,88,12828,2326
1108,119005,436,59916,17635
1113,182893,12,12709,1378
1117,92221,25,38702,56297
1133,174942,353,19140,2557
1137,207601,3755,0,0
1159,152301,60,0,0
1173,165116,202,8342,1786
1174,145898,184,45005,5905
1177,196992,0,0,0
1195,136032,1251,54286,5423
1214,184672,23,2339,724
1218,133382,365,28325,5166
1224,214366,128,7799,1375
1257,181043,453,7306,2547
1260,69882,179,124307,2624
1263,196992,0,0,0
1278,166315,279,6664,1675
1281,96585,605,74464,3279
1287,140730,590,1409,911
1296,170225,1,3536,1684
1308,196205,247,340,200
1329,142897,6,40647,4208
1337,183788,127,8491,4586
1394,171703,12,6888,1973
1410,190564,148,3815,2465
1412,195040,596,1190,166
1430,196992,0,0,0
1436,63436,46396,63562,1539
1441,186798,3,7322,2869
