,TN,FP,TP,FN
2,161122,1522,9613,2676
13,183802,2850,9417,923
27,142448,155,1777,286
29,196361,1,389,241
41,192375,0,0,0
62,170315,0,0,1
72,196992,0,0,0
88,148447,30425,15801,1806
102,171025,19,3626,776
105,153162,0,0,225
118,162981,551,10885,516
129,149109,989,23623,1725
142,136677,1901,42576,15838
162,144490,3180,24523,3253
173,196936,56,0,0
184,150586,92,13089,33225
194,142614,0,0,0
197,169399,183,3469,1369
210,195093,355,1493,51
235,141691,0,0,55301
239,215051,403,9022,2270
271,166779,24,1932,4659
327,107449,55,49253,17663
333,167751,0,0,0
348,174933,0,0,0
374,109076,10830,56848,20238
376,174418,202,20771,1601
381,183658,81,9828,3425
386,153720,167,31808,11297
401,162941,84,8121,3787
429,209555,10,451,314
431,150069,871,44582,1470
451,147971,6454,17286,3222
483,133250,431,59963,3348
487,171702,197,23893,2226
535,191259,139,4792,802
542,157707,159,6624,10443
564,146280,29,16606,12018
590,186736,7985,2230,41
637,175446,0,0,0
647,174933,0,0,0
655,196992,0,0,0
661,191342,505,3927,1218
664,162875,34,27701,6895
667,115288,41,31529,29101
681,135115,146,30978,30753
688,151569,103,22870,3469
694,134462,11,1672,826
721,158552,0,0,38440
740,113419,614,72191,10768
783,193904,220,2797,71
791,164504,47,5626,1678
807,176992,520,12496,6984
812,164085,52,25297,7558
836,143915,1084,23434,7013
852,170413,217,3239,1064
876,178605,3384,11058,3945
878,174933,0,0,0
880,199557,0,0,0
898,185067,35,2867,815
941,180059,261,4114,12558
952,113745,119,29620,4260
966,144280,889,1735,840
969,196938,0,0,54
973,182651,71,1156,1828
984,181161,17,10998,6355
997,185338,867,9878,909
1032,196988,0,0,4
1056,167105,0,6792,2575
1077,175021,462,1146,356
1124,166587,16,22536,7853
1144,160748,145,31565,4534
1152,188076,7,6805,2104
1177,135516,1110,47631,12735
1178,176927,0,0,571
1181,43274,1245,74363,56051
1196,120181,0,0,23459
1204,144143,0,0,10
1210,188376,3050,8361,283
1216,76968,477,45688,52826
1232,187579,151,8749,12825
1250,174933,0,0,0
1253,169469,0,0,27523
1262,122886,694,45275,6591
1263,164474,8975,22240,1303
1274,123567,10876,59881,2668
1323,191547,544,4099,1315
1340,147744,0,0,0
1346,166531,97,6616,1689
1350,171414,17,1413,2089
1367,118864,450,13885,60202
1412,194180,51,1554,1207
1423,130939,6,7669,922
1430,152473,1707,32806,10006
