,TN,FP,TP,FN
9,180449,65,15328,1150
14,190256,158,3862,151
22,179149,82,15573,2188
31,194210,0,2287,495
42,162654,993,9327,1959
44,196992,0,0,0
49,228113,172,0,0
84,199553,0,0,4
98,193367,108,2311,1206
125,196992,0,0,0
141,196347,645,0,0
148,27416,1,60563,3334
155,195209,1696,81,6
168,92581,104,70616,33691
170,195586,249,13699,796
174,130731,126,62916,3219
187,175959,0,0,0
198,196992,0,0,0
199,243186,505,5779,874
202,195546,53,839,554
224,195903,576,0,0
231,196835,0,0,157
235,196427,0,0,565
236,174856,0,0,77
240,195590,248,1056,98
260,192441,256,3355,427
291,193914,0,0,0
298,258249,0,0,4920
301,223947,24858,0,0
305,171646,565,2463,259
308,187486,1043,7532,931
333,167751,0,0,0
359,196992,0,0,0
365,173871,195,329,25
370,182873,55,12487,1064
402,196827,165,0,0
406,174698,0,0,235
428,138721,3749,52495,2027
438,182245,357,13854,536
442,191557,866,3195,1374
452,193588,1191,1467,746
471,196329,0,0,663
480,174148,0,0,785
491,195436,0,0,1556
492,196992,0,0,0
507,158004,0,0,0
513,136026,1338,73341,651
524,193308,1723,785,663
533,189451,0,5810,1731
536,197647,340,10770,6190
539,196975,0,0,17
551,191304,109,4525,1054
552,114749,8,58394,1782
558,196992,0,0,0
587,196992,0,0,0
592,189997,901,5614,480
599,196992,0,0,0
606,174775,2810,1763,202
609,120173,2084,73307,1428
615,196982,0,0,10
624,196395,597,0,0
644,100799,15556,73318,7319
648,151428,416,22031,1058
671,196075,364,481,72
677,166077,0,0,135
690,181318,0,12468,3206
706,196087,0,0,905
709,167107,0,3737,1011
721,196852,0,0,140
727,169663,0,0,6296
729,196992,0,0,0
736,108744,0,36213,2787
754,157456,774,3398,3045
767,167676,1177,1770,1232
773,119876,0,24997,2871
781,175104,301,0,41
784,217168,0,4995,3557
789,146713,151,47719,2409
791,171855,0,0,0
792,170134,794,3812,193
793,91764,0,22942,2771
797,148921,17,23919,2076
800,196776,0,0,216
805,154090,216,39486,3200
815,196992,0,0,0
818,196734,0,0,258
820,190658,376,5630,328
837,174882,0,0,564
838,151096,32,43605,2259
860,196992,0,0,0
864,174933,0,0,0
867,196992,0,0,0
868,196977,0,0,15
880,191330,8227,0,0
884,147710,0,19449,29833
893,70516,0,85748,19182
910,196992,0,0,0
920,183614,342,10835,2201
929,165087,424,10266,3260
936,153247,3142,36351,7330
940,175404,42,0,0
951,156245,129,745,372
961,55321,331,118946,848
968,197298,689,31,0
977,196808,184,0,0
1000,196988,0,0,4
1017,212965,1739,1069,200
1028,196992,0,0,0
1039,73817,743,50177,72255
1040,196597,395,0,0
1048,191071,30,5125,766
1053,155502,0,0,41490
1059,196992,0,0,0
1092,202943,0,0,718
1106,196822,0,0,170
1116,163226,876,30552,2338
1125,196377,136,443,36
1135,189969,268,3527,3228
1137,210777,0,0,579
1139,209540,790,0,0
1146,154036,1283,9891,9723
1166,196992,0,0,0
1168,115459,59474,0,0
1169,126929,1150,45570,1284
1172,114039,37,57502,3355
1179,196992,0,0,0
1187,174599,0,19148,3245
1189,196992,0,0,0
1221,167604,72,27163,2153
1227,171933,1174,1563,263
1229,195479,0,0,1513
1234,196661,0,0,331
1238,149594,4960,40542,1896
1251,196931,0,0,61
1255,40274,1010,139520,16188
1263,196954,0,0,38
1270,196687,0,0,305
1276,195201,70,1106,615
1279,174564,0,0,369
1290,196992,0,0,0
1293,174518,0,0,415
1297,192219,4085,530,158
1304,194223,2694,67,8
1309,194755,22,693,1522
1381,196992,0,0,0
1382,192451,4299,0,242
1397,196920,0,0,72
1401,195826,0,811,355
1405,196086,906,0,0
1408,196992,0,0,0
1411,196654,338,0,0
1416,195806,1186,0,0
1425,226557,0,10499,26113
1446,183542,625,0,0
1448,99042,0,161031,3096
