,TN,FP,TP,FN
19,60397,7726,151122,2371
21,180110,140,13836,2906
61,190385,2376,3956,275
80,15275,2836,155747,1075
99,52593,3309,117457,1574
104,114206,3854,77291,1641
109,157660,378,15989,906
115,135960,879,37429,1178
121,175008,1925,2442,688
123,133465,1296,69775,3742
126,137344,51,9706,643
192,78361,4768,113351,512
194,119064,216,21807,1527
206,180576,0,0,0
251,194650,2226,116,0
275,155117,208,39851,1816
283,155179,410,17420,1924
297,163241,119,9457,1090
313,99296,1119,93513,3064
320,196992,0,0,0
324,119529,342,74130,2991
345,177406,0,0,92
416,107327,1203,86105,2357
457,117419,28,76799,2746
478,67089,1022,101433,5902
546,188466,17,7254,1255
576,122330,282,48598,25782
607,107169,143,87881,1799
608,188208,101,1253,761
619,117764,487,76006,2735
622,119586,132,76039,1235
629,80816,6285,96372,1720
631,207667,1132,41414,2183
654,106773,360,65541,2259
662,105388,497,65220,2289
665,177170,2,17823,1997
703,62611,838,130631,2912
734,139472,841,59135,3187
735,125074,25,65439,6454
739,84835,48,85797,4253
751,178524,0,0,0
757,60665,138,139221,14923
775,130361,34,49494,2739
776,167238,0,0,0
823,95463,140,78534,3874
851,110389,251,81471,4881
873,62846,1003,129509,3634
886,196992,0,0,0
895,112561,32,62669,6340
903,126570,435,65630,4357
906,69049,10605,112560,4778
911,112128,63,81196,3605
933,182538,2338,11152,964
968,118179,128,74249,5462
974,95235,276,35418,1425
993,196992,0,0,0
1007,137706,78,49205,2308
1019,71259,512,105937,2868
1029,78924,339,73634,3055
1046,196992,0,0,0
1058,196697,295,0,0
1077,104687,400,68737,3161
1085,75908,439,118456,2189
1094,196992,0,0,0
1104,190836,0,0,0
1105,105361,730,63172,5670
1134,163998,219,31372,1403
1159,56321,2988,90402,2650
1196,143640,0,0,0
1199,159963,338,34064,2627
1201,145101,293,62799,5215
1203,183283,13709,0,0
1211,106724,955,65896,1358
1259,99255,1083,90121,6533
1264,145526,62,48711,2693
1265,123890,152,45746,4632
1269,128392,114,43414,3013
1303,70837,736,96138,14917
1306,108764,71,77621,10536
1310,146743,40,19827,2167
1316,139827,1617,44250,11298
1320,172265,262,1070,310
1332,97518,156,71672,4048
1364,174714,139,533,60
1435,196992,0,0,0
1440,119602,479,50603,4249
