,TN,FP,TP,FN
13,196588,404,0,0
15,173907,0,0,0
19,212481,3067,4164,1904
21,191404,1499,3617,472
40,74824,10002,88001,2106
47,155098,0,0,1367
61,196913,0,0,79
72,195568,0,0,1424
73,196585,0,0,407
86,186322,207,8131,2332
90,196992,0,0,0
97,149032,527,24727,647
99,174464,400,69,0
105,92716,516,57828,2327
107,196992,0,0,0
109,170419,91,2739,1684
114,196983,0,0,9
115,170012,126,4300,1008
119,189115,560,135,0
121,179994,0,0,69
123,207111,90,1031,46
131,130566,570,62570,3286
134,123283,0,0,56267
162,169652,2935,2257,602
169,158285,2087,35648,972
171,167895,168,5255,589
177,175123,836,0,0
178,155324,247,36816,4605
180,196992,0,0,0
194,142614,0,0,0
195,195524,0,0,955
196,140508,1152,4022,2062
204,133310,257,60726,2699
206,177782,0,0,2794
213,196992,0,0,0
219,168264,0,0,0
234,174933,0,0,0
236,161247,256,12819,611
250,127325,773,57300,8003
251,189531,390,5885,1186
252,196992,0,0,0
254,175446,0,0,0
267,174933,0,0,0
273,196822,112,52,6
275,194229,93,1524,1146
283,167845,261,6440,387
285,196952,0,0,40
287,107256,3672,45658,2444
288,174129,0,0,804
290,174933,0,0,0
297,169236,712,2884,1075
320,193113,68,2977,834
347,183343,356,12936,357
353,143640,0,0,0
379,192067,0,0,4925
388,193639,0,0,3353
417,137529,493,55752,3731
448,85240,1209,94944,15599
454,99815,0,0,220
457,177848,137,15379,3628
463,182822,10,12693,1467
474,53472,883,138158,4479
481,132524,269,61392,2807
482,127521,0,0,69471
490,94536,2829,77576,6148
491,196992,0,0,0
497,170830,3805,298,0
502,174926,0,0,7
505,157038,58,37316,2580
523,196992,0,0,0
531,207151,1048,4155,2593
546,196992,0,0,0
565,151880,1267,39485,3847
566,193653,35,1398,1906
573,173454,331,898,250
576,196988,0,0,4
584,142527,177,51289,2999
608,144377,1608,42818,1520
617,196231,13,591,157
629,182191,0,0,3002
644,193729,3263,0,0
654,169721,82,4704,426
666,164521,107,8948,1357
670,111052,404,81084,4452
682,174420,0,0,0
685,195533,0,0,1459
687,157954,1254,14436,1289
695,196992,0,0,0
707,178087,258,16820,1827
708,121567,4403,41561,7915
721,160726,36266,0,0
734,202635,0,0,0
751,143136,67,30848,4473
757,207609,291,5349,1698
758,202243,89,3871,56966
762,196668,0,0,324
786,143678,723,29669,863
788,196992,0,0,0
800,196992,0,0,0
804,118280,64,54304,3311
805,149889,2614,40597,3892
819,172824,0,0,2109
820,193242,3746,4,0
826,156978,0,0,0
828,113137,8383,73780,1692
829,101140,129,46401,2126
841,87840,99,58964,2380
846,127296,119,65598,3979
879,208278,0,0,0
885,167596,52,5635,1137
886,191114,44,4653,1181
895,181602,0,0,0
897,105281,210,67238,2204
905,112489,556,59380,2508
906,189091,0,0,7901
911,196124,0,0,868
925,196992,0,0,0
930,195411,0,0,1581
945,49886,4072,129180,13854
959,124107,836,69011,3038
964,180215,146,15349,1282
970,187130,382,9251,229
974,132107,247,0,0
986,196992,0,0,0
989,123752,19,68075,5146
993,196992,0,0,0
996,174420,0,0,0
1008,196316,295,381,0
1019,171597,120,8025,834
1024,134284,2535,40758,10694
1033,196917,75,0,0
1035,191229,250,4778,735
1046,195664,157,1051,120
1048,176141,1488,14544,4819
1058,196462,530,0,0
1067,78961,3279,99957,8639
1077,175799,55,1003,128
1087,99453,765,72524,2704
1089,97498,34903,33255,5686
1091,157208,170,35739,3875
1094,192436,72,4271,213
1101,240703,30,19764,2672
1104,113004,599,74272,2961
1105,172968,57,1679,229
1110,57651,626,106813,14460
1114,182909,647,11003,2433
1115,70126,571,93974,5132
1127,196992,0,0,0
1129,190701,1204,4872,215
1132,148999,231,5161,535
1136,133577,394,61205,1816
1138,75163,486,97304,1980
1145,183483,0,0,171
1153,196992,0,0,0
1155,196992,0,0,0
1158,196495,3,722,285
1165,155591,14872,5209,800
1192,131348,58,59115,6471
1196,135649,10,7255,726
1204,144150,0,0,3
1210,200070,0,0,0
1211,173648,151,1083,51
1219,96504,233,83029,2862
1222,146543,565,47692,2192
1235,171817,1247,1687,182
1240,139773,71,36673,1494
1251,180304,302,15323,1063
1259,196992,0,0,0
1264,195934,637,335,86
1265,174262,158,0,0
1282,161009,894,28156,6420
1293,174885,0,0,48
1294,191889,2,3446,1655
1303,182628,0,0,0
1306,196992,0,0,0
1307,82902,1426,102476,8136
1310,168777,0,0,0
1316,196989,0,0,3
1320,134509,640,34051,4707
1324,174683,130,92,28
1331,193992,10,1370,1620
1342,197929,0,0,89
1356,196671,4,243,74
1364,175297,0,0,149
1376,196946,46,0,0
1377,196578,34,282,98
1380,180937,1928,7464,1020
1398,162591,535,32393,1473
1407,167890,0,0,7043
1414,100498,113,88374,8007
1424,139052,72,7571,1049
1435,189001,165,7036,790
1437,91634,11,86183,19164
1440,174194,718,15,6
