,TN,FP,TP,FN
10,196940,0,0,52
59,158794,633,36135,1430
60,122400,202,53507,2415
69,193313,182,3200,297
78,77981,4369,106158,789
79,137151,765,76196,4939
82,167147,1533,24071,4241
100,191171,5472,346,3
106,146676,904,46144,3268
133,152804,47,48927,2909
156,196992,0,0,0
157,95949,403,89717,7332
158,140903,713,51743,3633
165,118546,0,0,56387
175,135494,1706,72912,1244
190,165486,413,15865,1890
203,146958,853,37874,11307
237,130005,226,10061,783
242,121411,503,50512,2507
257,177498,0,0,0
259,193222,3205,565,0
277,147315,367,46326,2984
288,136928,59,34971,2975
296,162403,159,31359,3071
314,82612,472,110438,1931
319,158452,308,15269,904
323,184680,0,0,0
330,208173,394,6860,546
340,141060,695,39672,1201
343,123524,2484,68483,2501
344,151446,85,40529,4932
363,196479,0,0,0
368,193378,227,2708,679
380,163425,298,28182,5087
391,150578,11,52982,6759
396,168863,283,26347,1499
403,165627,159,28920,2286
409,124456,1118,69952,1466
415,148605,57,41952,6378
427,175446,0,0,0
435,166836,140,25704,4312
437,163798,23,30984,2187
470,117045,7,75163,4777
559,163816,0,0,11117
567,154583,218,83079,12464
568,196609,0,0,383
569,155758,155,38538,2541
571,79196,274,81398,5344
603,168218,5,22370,6399
634,183654,0,0,0
635,140236,124,26819,7241
641,173570,109,20402,2911
651,196992,0,0,0
669,194043,338,1955,656
680,133544,156,57595,5697
698,182971,77,11592,1839
701,174820,0,0,113
702,152393,118,51638,7207
716,121251,672,50341,3182
717,153403,152,40929,2508
760,122217,182,48727,3807
774,117022,58,43473,14380
794,154774,37,34883,7298
801,176699,197,17578,2518
809,196992,0,0,0
854,132269,21,39812,2831
864,123673,162,48491,2607
875,170434,0,3737,762
881,92517,775,76554,5087
888,150156,56,39649,4053
890,196992,0,0,0
901,108488,1417,79294,7793
927,158917,79,35729,2267
931,155530,758,34865,5839
946,112237,79,72001,5493
965,72969,8894,112043,3086
975,56736,2217,112173,4320
976,138679,779,32083,3392
988,117578,2336,56710,3439
1000,186817,260,9088,827
1004,195638,708,636,10
1012,122187,965,88428,4906
1015,144336,317,48542,3797
1016,138767,131,33528,2507
1023,112300,379,75441,8872
1030,124083,214,68342,4353
1042,159821,88,12983,1528
1049,114987,700,78436,2869
1052,188502,8,7389,1093
1054,166700,476,28300,1516
1063,152520,5001,38427,1044
1066,84377,1094,108713,2808
1070,137771,258,66335,5966
1073,143587,101,29119,2126
1074,157501,111,36823,2557
1081,181613,134,12995,2250
1083,180514,4062,1091,39
1086,77633,1636,150068,3565
1103,222274,801,36485,3609
1111,111703,423,79842,5024
1116,154660,68,34102,8162
1126,97216,8541,86305,4930
1130,144250,80,30050,1579
1131,115969,35,50387,8029
1135,166374,694,29199,725
1137,209989,0,0,1367
1143,198389,1286,14833,1465
1148,112737,967,59796,1433
1149,146845,139,46129,3879
1156,78932,2890,68392,25745
1161,34019,1474,157212,4287
1166,181585,294,13569,1544
1185,165364,14,28978,2636
1190,123699,262,47976,2996
1197,103219,298,88029,5446
1200,81962,505,84653,3709
1213,103161,244,87180,6407
1217,182348,2,11923,2719
1223,67512,765,96541,32174
1228,167193,600,26123,3076
1234,177787,19205,0,0
1244,102189,850,91490,2463
1273,170449,8,9672,16863
1295,154698,223,34743,7328
1298,141339,1295,48920,5438
1299,86098,319,105015,5560
1302,165337,332,24696,6627
1312,196992,0,0,0
1327,152913,0,0,4065
1330,108904,82,83799,4207
1343,126810,7,65213,4962
1347,102606,420,65302,6605
1348,152998,27,40688,3279
1349,100048,1035,67763,6087
1363,174531,0,0,402
1365,28947,1590,158786,7669
1382,190682,0,0,6310
1420,23960,1757,166964,4311
1429,181854,0,0,15138
1443,180582,0,0,16410
