,TN,FP,TP,FN
8,174933,0,0,0
10,194098,1272,1525,97
18,196338,391,0,263
25,160432,4574,8465,1462
26,185138,2729,6549,2576
28,196900,0,0,92
33,195446,0,0,1546
35,196987,0,0,5
45,190760,151,3312,2769
49,228285,0,0,0
50,218025,0,0,0
54,178800,306,6201,11685
55,174204,633,0,96
56,204839,7497,0,46
65,196992,0,0,0
76,193430,0,0,3562
77,188735,0,0,8257
79,219051,0,0,0
85,195989,0,0,1003
94,187197,5712,2920,1163
100,195101,0,0,1891
106,189455,0,0,7537
117,181284,0,0,15708
125,196992,0,0,0
141,192678,140,3843,331
146,180506,5547,10820,119
147,106094,919,40334,27586
150,158016,3950,29392,5634
155,191037,1731,2796,1428
186,196223,0,0,769
187,175959,0,0,0
189,136685,778,34290,25239
191,196838,0,0,154
195,196176,0,0,303
199,241507,5110,2388,1339
202,163337,669,25119,7867
205,145393,754,49749,1096
211,155084,115,35951,1225
222,214434,0,0,0
224,196479,0,0,0
227,193899,0,0,3093
232,192834,1524,745,1889
240,194036,2894,61,1
245,186531,0,0,201
248,195602,667,178,545
249,196460,0,0,532
253,147073,0,0,671
255,157185,5051,2253,10444
258,171530,6130,16583,2749
259,160341,3057,23672,9922
265,196992,0,0,0
268,179873,512,7616,8991
276,173907,0,0,0
278,165542,937,9071,922
284,186691,8236,1215,850
285,189804,6896,260,32
291,193514,400,0,0
298,225210,12069,18449,7441
302,190717,1007,2777,2491
304,196678,0,0,314
306,107802,0,0,89190
307,196992,0,0,0
310,188239,0,0,8753
326,167772,6572,42656,512
329,177540,257,8661,1300
346,196992,0,0,0
350,174933,0,0,0
351,174876,0,0,57
358,128648,1107,39010,6168
361,197503,0,0,2
362,196992,0,0,0
368,184120,0,0,12872
369,176004,468,0,0
379,188158,0,0,8834
387,196952,0,0,40
392,68697,1920,65093,10495
394,169838,0,0,5095
396,194532,0,0,2460
405,196764,0,0,228
406,154847,678,10803,8605
424,190847,1434,4220,491
432,192091,100,2149,2652
438,196992,0,0,0
449,196992,0,0,0
459,196975,0,0,17
468,179144,2475,11912,3461
476,172373,0,0,2560
480,147861,922,14053,12097
484,255474,0,0,0
493,178011,0,0,0
506,195947,0,0,1045
507,158004,0,0,0
509,142239,53915,305,20
517,174933,0,0,0
524,196479,0,0,0
528,197906,0,0,3190
538,196992,0,0,0
539,193942,2365,191,494
554,168527,2887,19516,6062
558,196992,0,0,0
559,143041,0,0,31892
561,196992,0,0,0
573,174890,0,0,43
587,182105,397,6653,7837
591,144853,1549,46569,4021
595,174868,16603,1359,4162
597,167062,715,3968,3188
602,175116,165,20474,1237
606,167180,12370,0,0
611,192336,4099,1296,287
623,197923,0,0,95
624,194956,470,987,579
643,194890,168,587,1347
645,174933,0,0,0
646,174933,0,0,0
651,196992,0,0,0
658,172270,2663,0,0
660,224973,0,0,747
669,196992,0,0,0
702,147094,0,0,64262
710,141382,33124,264,163
727,175958,0,0,1
733,199964,17887,0,174
746,196992,0,0,0
754,164673,0,0,0
765,182732,14260,0,0
769,195563,0,0,1429
770,65656,0,64727,66609
772,157514,796,6967,9656
780,147615,2481,12930,12420
782,196992,0,0,0
792,174933,0,0,0
795,196992,0,0,0
798,127737,0,0,0
811,151500,510,21280,1643
814,194002,821,1114,1055
834,167593,445,10804,18150
837,153699,2821,12688,6238
843,196992,0,0,0
859,184835,583,6992,4582
860,196992,0,0,0
862,192245,4747,0,0
868,190163,43,4591,2195
875,127799,0,0,47134
877,153966,4021,30513,8492
878,170690,126,2118,1999
900,192034,4746,212,0
910,166719,30273,0,0
916,196714,0,0,278
918,196992,0,0,0
919,174314,0,0,106
930,196992,0,0,0
937,128480,5309,38511,24692
947,196922,0,0,70
951,157491,0,0,0
953,196992,0,0,0
955,196992,0,0,0
956,196992,0,0,0
960,189566,0,0,7426
971,166236,13169,17457,130
977,196962,0,0,30
1004,196992,0,0,0
1014,196479,0,0,0
1028,193370,3607,15,0
1030,196992,0,0,0
1032,193924,2327,7,734
1037,196992,0,0,0
1040,185522,76,6859,4535
1045,175442,0,0,4
1048,188748,7790,433,21
1052,171949,0,0,25043
1059,182336,0,0,14656
1063,196992,0,0,0
1065,135721,11295,40362,9614
1073,169954,1694,1409,1876
1074,196992,0,0,0
1076,222753,156,3258,1605
1078,155086,32511,4825,4570
1081,174011,21863,1118,0
1088,174611,3099,17320,1962
1092,203661,0,0,0
1106,161648,703,32863,1778
1107,154898,2903,18065,21126
1112,192483,1130,1329,2050
1121,159659,1768,31855,3710
1125,189017,0,0,7975
1130,158240,0,0,17719
1143,148211,2206,23840,41716
1165,176472,0,0,0
1170,193140,715,855,2282
1180,81586,27606,45946,36724
1182,150310,265,15414,31003
1186,145922,8119,38690,4261
1189,196992,0,0,0
1197,136334,3148,32051,25459
1206,196433,0,0,559
1227,174933,0,0,0
1229,195288,546,642,516
1231,174933,0,0,0
1261,145532,4688,37732,9040
1268,196992,0,0,0
1270,180616,1158,5799,9419
1290,196992,0,0,0
1291,188021,503,8158,310
1295,55067,10846,128747,2332
1301,181197,3109,8754,4445
1302,124597,5013,45890,21492
1304,191221,5771,0,0
1309,189512,0,0,7480
1311,196992,0,0,0
1318,128747,2061,65465,4823
1327,154615,2363,0,0
1333,188923,8069,0,0
1339,169915,26760,315,2
1345,154797,16774,1650,1712
1348,196992,0,0,0
1352,196992,0,0,0
1355,160673,2329,3625,8306
1357,263157,0,0,12
1359,152357,0,0,44635
1368,192739,0,0,3227
1369,131182,427,16291,49092
1370,195243,453,372,924
1375,196611,0,0,381
1379,154488,238,12986,7221
1382,196979,0,0,13
1385,186492,10357,19,124
1387,196986,0,0,6
1389,187416,1987,6737,852
1395,187047,685,6089,3171
1397,196992,0,0,0
1400,110748,35636,49306,1302
1401,184150,4301,6316,2225
1404,180776,3367,5224,7625
1406,192392,208,2267,2125
1411,195124,1475,13,380
1416,194407,2585,0,0
1417,189165,1162,5680,985
1432,193915,0,0,3077
1434,110640,0,19607,44686
1439,180090,2713,12111,2078
1446,184054,0,0,113
