,TN,FP,TP,FN
8,174933,0,0,0
11,182239,191,12662,1900
12,72889,4884,95787,1886
38,162801,414,53141,9364
52,174559,0,0,374
62,168599,0,0,1717
73,193106,3684,202,0
93,70924,64,119218,7299
110,79459,2069,73171,11000
120,196992,0,0,0
127,68706,782,132141,32812
139,174933,0,0,0
164,160275,957,7516,542
178,178450,719,16471,1352
217,179223,212,15321,2236
220,129022,704,28874,7612
274,170546,3450,303,121
281,149360,8,22853,2712
289,144904,2888,46011,3189
317,157659,1024,35570,2739
321,193310,1509,1415,758
323,171277,200,12281,922
371,114046,210,80471,2265
439,160713,266,33004,3009
515,83057,2006,108376,3553
525,31385,2146,136620,4782
526,146769,271,45845,4107
555,196992,0,0,0
557,87439,166,102318,7069
574,171211,26,21293,4462
585,128014,724,44360,1835
586,170155,106,25022,1709
589,178531,154,16720,1587
593,165868,66,25765,5293
604,168697,13,5262,961
621,196992,0,0,0
650,145876,1023,60664,4819
652,161404,9780,21152,4656
674,170344,16810,11737,1179
684,32198,506,88546,53683
686,80132,8,92902,6508
743,183597,25,10998,2372
748,142983,208,28841,3414
749,136308,1170,53645,5869
752,189221,0,0,7771
753,181666,297,13121,1908
756,84040,837,109439,2676
777,148310,220,22530,3360
787,184251,57,10752,1932
808,53680,1343,107408,12502
840,113332,428,58226,2947
844,178663,405,14673,3251
855,82080,380,81701,11285
872,196992,0,0,0
962,125167,47,58089,13689
985,147827,682,46300,2183
991,40282,559,97326,37279
992,135516,149,35530,3738
1021,206226,0,0,0
1031,150825,926,41785,3969
1036,174848,0,0,85
1068,101697,1370,90396,3529
1082,195644,69,787,492
1083,169928,15778,0,0
1098,182838,130,8392,5632
1102,128141,2395,44369,7723
1157,85086,896,107777,3233
1176,168058,40,25231,3663
1183,155178,348,35677,5789
1204,134278,728,8301,846
1245,194599,223,1465,705
1287,107582,3380,29448,3230
1288,124905,1951,55830,4046
1313,195585,0,0,1407
1314,167446,325,24567,6193
1322,210024,481,49172,3492
1325,86292,187,67490,6600
1342,193100,670,2621,1627
1344,175769,2,16364,4857
1358,172988,25,19942,4037
1366,196739,13,5029,2906
1388,196992,0,0,0
1427,148429,17,42665,5881
1435,180873,17,13337,2765
