,TN,FP,TP,FN
9,196992,0,0,0
22,143974,6089,42441,4488
26,184035,750,7920,4287
28,159638,19687,17619,48
42,134236,0,0,40697
44,172778,1583,21865,766
54,166550,2069,27546,827
85,168703,5190,22989,110
94,185310,3291,8059,332
95,196992,0,0,0
125,131685,529,63187,1591
147,148058,6831,18963,1081
148,91275,0,0,39
155,175363,20780,774,75
186,169307,3397,14377,9911
189,180780,10283,5177,752
199,143139,13302,93271,632
202,127185,1012,64462,4333
224,157000,39479,0,0
241,116826,33907,46510,262
245,97192,143,88702,695
248,196992,0,0,0
249,50800,5058,140218,916
258,196992,0,0,0
265,196992,0,0,0
298,202574,33522,26376,697
302,192131,2384,2477,0
310,167016,3537,24640,1799
350,151449,3335,19963,186
362,45985,146791,4210,6
392,146059,0,0,146
394,174827,0,0,106
408,186017,0,0,10975
424,155038,8,39690,2256
430,174447,0,0,486
438,139432,7444,48831,1285
442,165683,31309,0,0
468,110757,4032,79322,2881
480,174901,0,0,32
492,148699,744,45990,1559
507,131744,20054,6193,13
527,5111,3844,138756,33
536,186820,0,0,28127
554,180339,590,10967,5096
558,175035,21949,8,0
559,174931,0,0,2
570,137757,359,56479,2397
587,188370,2398,5712,512
595,179530,13825,146,3491
597,152600,6381,14615,1337
615,22623,172469,1900,0
623,167797,2286,27586,349
624,163921,8096,22237,2738
637,175446,0,0,0
648,165485,0,0,9448
668,194251,0,0,1715
706,8474,14767,172970,781
709,161341,0,0,10514
727,163503,0,0,12456
733,218025,0,0,0
736,146166,0,0,1578
770,153833,39077,4072,10
772,162903,1273,9302,1455
780,171079,4366,1,0
805,148156,47136,982,718
811,115909,1856,54719,2449
814,184595,2124,10151,122
837,163449,3434,8241,322
859,193145,313,3165,369
868,180446,11387,4884,275
877,169262,1507,22489,3734
910,129567,21283,45509,633
920,165183,3174,25998,2637
947,173726,5169,17925,172
951,156138,0,0,1353
1016,170122,0,0,4811
1028,132356,61512,3032,92
1040,188284,561,5186,2961
1065,181669,9219,4329,1775
1073,94722,0,0,80211
1094,185928,0,0,11064
1107,175304,12237,9292,159
1116,196953,0,0,39
1121,175662,2908,17346,1076
1125,158688,3891,29093,5320
1143,178116,37857,0,0
1170,196992,0,0,0
1179,195985,0,0,1007
1180,190136,0,0,1726
1186,189136,3974,3711,171
1197,196992,0,0,0
1198,204871,13667,0,0
1206,192385,0,0,4607
1229,164656,4923,26603,810
1254,196992,0,0,0
1261,161297,1838,24533,9324
1270,186519,1033,7598,1842
1290,137845,38359,19849,939
1298,196992,0,0,0
1301,194617,2888,0,0
1302,196557,0,0,435
1309,145991,2490,45440,3071
1317,196023,969,0,0
1327,140712,7731,8242,293
1333,196992,0,0,0
1345,174933,0,0,0
1352,182306,0,0,14686
1355,113779,22330,38507,317
1362,191920,0,0,5072
1370,194559,411,1209,813
1381,175281,20650,1061,0
1389,127941,2783,64732,1536
1395,195548,0,0,1444
1401,163752,695,29931,2614
1404,196883,0,0,109
1406,196271,0,0,721
1417,196895,0,0,97
1434,174933,0,0,0
1448,248319,0,0,14850
