,TN,FP,TP,FN
33,196992,0,0,0
34,147191,118,41719,7964
52,173896,1037,0,0
59,133004,2088,60663,1237
62,170316,0,0,0
69,182863,39,13286,804
82,158627,2396,31937,4032
92,122382,1002,68407,5201
100,196992,0,0,0
101,177284,1393,9181,413
108,130320,19,36380,8214
113,175800,2361,17882,949
120,196992,0,0,0
124,194410,0,0,2582
130,192785,180,3046,981
136,164984,540,21216,10252
137,174420,0,0,0
139,159726,347,12396,2464
153,150754,30,22563,1586
165,107120,60983,6546,284
183,97679,699,71823,4732
201,144755,211,47134,4892
208,186743,54,8540,1655
237,115211,215,23258,2391
240,196992,0,0,0
257,177498,0,0,0
259,195712,0,0,1280
261,133667,58,36672,4536
263,158592,873,36703,824
266,160209,57,19377,4011
274,170557,0,0,3863
280,75572,976,74181,24204
282,175070,35,58034,7971
285,180301,246,11954,4491
286,196992,0,0,0
295,184189,305,9645,2853
303,105904,1891,79154,809
304,161391,1758,30677,3166
323,184680,0,0,0
325,175316,111,18214,3351
336,151024,1711,20130,2068
338,158892,772,14875,907
353,139684,0,0,3956
355,166735,41,25840,4376
369,157835,60,15465,3112
372,133139,246,60928,2679
377,178676,5,16988,1323
383,196992,0,0,0
389,163211,219,32418,1144
393,175563,175,18554,2700
396,196093,0,0,899
410,100195,5436,67220,2082
418,158985,278,31339,6390
427,175446,0,0,0
433,158043,2,7675,2031
441,138270,2854,51668,4200
444,158391,99,35519,2983
446,144951,153,27480,2349
448,189329,3004,4576,83
460,126645,302,66487,3558
471,185667,787,8856,1682
473,141035,849,30529,2520
510,163041,0,0,33951
528,183267,11499,5972,358
533,196992,0,0,0
559,124962,16045,31071,2855
578,131345,1987,22236,5001
583,179496,374,16152,970
588,174933,0,0,0
595,169483,33,22181,5295
599,196992,0,0,0
601,159487,164,32989,4352
620,183654,0,0,0
635,174420,0,0,0
647,168217,14,5028,1674
681,196992,0,0,0
689,14677,114,156597,3545
693,156518,14,15793,2608
697,179760,22,14176,3034
698,196479,0,0,0
699,194433,75,1979,505
702,211356,0,0,0
720,109020,229,63782,2415
728,136744,2,40581,19665
742,133350,356,36531,4696
750,146146,2243,44541,4062
752,196992,0,0,0
765,194019,2973,0,0
771,198037,11,15979,2972
776,138595,58,24481,4104
782,196992,0,0,0
809,178822,1,14482,3687
817,153015,1528,38565,3884
819,93908,6290,70820,3915
832,138349,57,50753,7833
843,196992,0,0,0
853,113612,460,79747,3173
858,129346,1130,61951,4565
865,180978,5514,19134,1626
870,168512,0,3527,2894
889,122737,28,48400,4281
894,184426,47,9809,2710
896,158923,94,13253,2663
919,155749,203,16951,1517
937,178908,146,11635,6303
943,134175,1970,36646,2142
944,17301,2434,151708,3490
945,196992,0,0,0
948,132066,189,37515,5676
960,109898,683,78726,7685
971,184656,433,10955,948
979,155898,186,36689,4219
983,75455,8795,124626,1454
1003,97008,1150,91133,7701
1004,196992,0,0,0
1011,91564,923,101163,3342
1018,76064,700,123448,14222
1021,206226,0,0,0
1026,193437,13,2110,1432
1036,172315,200,1921,497
1041,165873,81,27178,3860
1044,98536,633,84873,4742
1059,125406,133,66397,5056
1072,67979,21,125886,3106
1083,168958,0,0,16748
1093,122168,215,48059,4491
1099,113841,6762,75138,1251
1119,149011,11436,46407,1937
1129,99921,79,90550,6442
1135,196988,0,0,4
1146,174933,0,0,0
1151,158678,115,9685,6455
1171,176489,7935,75925,2820
1175,187545,505,8081,861
1180,191862,0,0,0
1184,189121,262,6523,1086
1202,74477,135,141143,7400
1204,144153,0,0,0
1208,118321,106,74931,3634
1209,189380,59,2226,1223
1218,167238,0,0,0
1226,179261,274,15540,1917
1230,105552,2936,64193,2765
1232,209303,0,0,1
1234,183681,0,0,13311
1246,182445,921,19055,3292
1247,115067,68,52828,6970
1252,165775,174,27529,3514
1257,191349,0,0,0
1286,162348,600,29455,4589
1287,143640,0,0,0
1296,175446,0,0,0
1312,174411,13,19902,2666
1322,263169,0,0,0
1327,150503,6475,0,0
1336,196992,0,0,0
1345,174933,0,0,0
1349,174933,0,0,0
1354,129402,449,61551,5590
1360,172697,111,22050,2134
1363,86208,229,43005,45491
1370,194229,99,2247,417
1372,110367,650,61057,2859
1375,144310,153,48476,4053
1378,152123,216,92188,12486
1382,155412,10038,31187,355
1383,133454,22,37538,3406
1384,58297,1473,134838,2384
1387,149887,58,41386,5661
1393,92857,197,97125,6813
1395,158719,18,31201,7054
1402,154663,32,27242,4795
1413,68390,838,140196,2958
1422,196992,0,0,0
1429,196821,0,0,171
1443,196992,0,0,0
1447,169701,236,23573,3482
