,TN,FP,TP,FN
4,175446,0,0,0
8,142137,305,23771,8720
23,196478,2104,36932,4057
24,165742,2662,55888,7584
50,182807,1764,24565,8889
52,174433,0,0,500
62,168256,1973,73,14
63,142772,1409,90146,4218
73,196475,0,0,517
96,151832,299,17633,5169
120,196561,15,132,284
139,174933,0,0,0
151,170741,1414,24036,4905
156,191273,682,3615,1422
159,148304,820,46590,1278
164,163910,578,3875,927
171,140401,208,26144,7154
206,126324,748,50005,3499
222,175928,919,30104,7483
226,87391,817,74085,12127
247,154518,688,13806,5408
262,197729,1027,25989,7131
270,178025,58,14029,2828
276,150978,720,16320,5889
290,156624,341,15583,2385
295,191855,2943,2101,93
316,157048,373,9517,1839
321,195176,0,0,1816
352,113701,30,53312,3786
353,142768,0,0,872
363,170167,229,17657,8426
404,184040,129,11635,1188
413,115494,1092,55478,2869
440,183638,1351,31499,3589
465,153739,198,17730,3266
467,148358,409,40810,7415
479,163165,25,27897,5905
494,74419,5,3807,771
501,126970,674,59791,9557
511,165083,586,18066,2484
514,186291,299,20128,12333
517,113483,3809,49011,8630
528,187023,0,0,14073
540,165747,2338,28221,686
545,168003,474,24709,3806
548,140296,131,49279,7286
555,192372,484,3760,376
557,196943,0,0,49
563,176887,448,15948,3709
596,180812,221,14127,1832
613,103967,3611,71166,11066
621,194934,271,1424,363
625,170830,278,23802,2082
626,52372,711,140869,3040
627,98568,130,70339,5896
634,152799,264,26943,3648
659,117656,767,54124,13672
678,186054,2,6830,4106
681,196992,0,0,0
682,162056,223,8456,3685
696,177383,139,16687,2783
718,172728,102,18321,5841
747,165796,29,6769,2339
752,167578,7252,20001,2161
802,129682,382,39836,5033
825,196180,312,22221,2903
833,130466,628,35417,8422
856,155345,132,36242,5273
863,158898,838,22307,8280
866,192888,0,0,0
872,196992,0,0,0
887,77449,3655,113432,2456
915,167225,647,58089,6941
930,140193,176,40162,16461
938,203171,1824,42327,3022
972,146246,535,22502,5650
982,80140,1232,74162,10165
1021,91053,27,109670,5476
1057,117395,486,68589,10522
1080,113813,356,75018,3701
1082,196992,0,0,0
1122,122571,4318,62999,7104
1167,134920,17,58808,3247
1180,191862,0,0,0
1188,97714,2410,81110,6524
1205,103290,1520,72033,20149
1271,188996,1109,5211,1163
1285,66176,1957,102472,3815
1302,196992,0,0,0
1313,196752,0,0,240
1361,148759,8,35166,7929
1422,192764,202,2771,1255
1429,186173,9980,425,414
1438,182103,234,7523,7132
