,TN,FP,TP,FN
53,196100,0,0,892
67,125802,365,45478,1749
86,189955,819,4106,2112
90,166698,1287,23364,5643
112,190522,145,5273,1052
115,175446,0,0,0
134,127093,2932,26383,23142
143,148133,1458,45201,2200
145,126336,903,39531,8163
166,115403,2465,32200,1780
172,147240,1252,44697,3803
180,162656,884,24543,8909
185,184264,551,11284,893
198,196992,0,0,0
213,120956,2150,69073,4813
233,165844,101,29339,1708
246,72394,5667,108330,10601
252,196992,0,0,0
285,136570,2185,48734,9503
309,139704,972,31121,3136
312,165227,1887,26767,3111
320,172334,1019,16745,6894
364,111010,603,59617,3703
366,138867,864,49801,7460
379,196631,0,0,361
382,192299,176,3543,974
419,73936,4591,82313,14093
425,151296,447,38836,6413
463,175554,234,11562,9642
466,186024,45,19977,3771
498,120990,214,70193,5082
502,170070,581,3890,392
506,180012,0,0,16980
523,175796,857,17102,3237
531,173006,484,27075,14382
537,136223,2339,53681,4749
544,152140,91,40263,4498
553,43020,503,136757,16712
565,196479,0,0,0
573,166553,288,5907,2185
582,169140,134,24188,4556
617,185162,479,7922,3429
640,126723,723,42830,4657
666,174933,0,0,0
683,151164,1259,19058,4478
687,139885,1902,23638,9508
758,182284,45241,32642,3002
763,143297,5137,21600,1308
768,141877,1958,47312,5845
788,196561,0,0,431
790,176248,403,17872,2469
816,175281,92,18605,2501
845,166899,246,7110,1191
871,133809,5823,31038,4263
885,134510,1766,36033,2111
904,149342,2922,20273,2396
908,170916,145,2622,1763
917,154260,43,14906,5724
921,163727,47,18958,5539
922,210330,0,0,0
942,110450,173,67376,18993
987,173841,32,578,995
1009,98582,547,88167,9696
1013,187466,359,5599,3568
1024,103651,11567,68187,4866
1061,152150,396,35408,9038
1062,106837,714,83837,5604
1069,155728,1278,15118,2296
1084,174933,0,0,0
1100,162091,181,25689,9031
1114,196845,0,0,147
1132,154926,0,0,0
1141,117878,4,26870,25564
1145,158540,28,18900,6186
1153,93946,3241,89126,10679
1158,196478,1027,0,0
1160,135270,344,57150,4228
1178,161046,1201,13073,2178
1191,119755,145,45743,9290
1203,153332,735,33731,9194
1210,177760,7219,9282,5809
1215,128090,711,50953,17238
1220,149172,540,42557,4723
1222,164301,29,26053,6609
1277,147543,5443,19939,2008
1283,112381,493,70878,13240
1289,163591,0,0,22115
1292,150262,666,39137,6927
1341,194289,0,0,2703
1398,179980,245,10828,5939
1435,179517,586,13455,3434
