,TN,FP,TP,FN
4,103907,2146,61905,7488
7,43534,757,148271,4430
9,141116,2306,51914,1656
10,196992,0,0,0
12,175446,0,0,0
14,194427,0,0,0
16,120313,242,0,0
17,175629,0,0,330
19,219978,0,0,1638
21,194466,635,1145,746
22,148946,2938,34006,11102
23,229885,210,6841,2635
24,200031,2555,27822,1468
28,162007,800,32546,1639
29,196856,22,84,30
31,101216,68,91183,4525
33,185695,572,8482,2243
34,196992,0,0,0
35,99472,3675,89727,4118
39,144991,1873,17555,3332
42,108108,4029,60462,2334
43,139105,1914,30971,2943
44,153676,1083,40921,1312
47,48832,1428,98965,7240
49,212808,226,14043,1208
50,209360,119,6804,1742
52,171449,87,2806,591
53,135409,153,47294,14136
55,158343,340,12862,3388
56,171586,2049,36393,2354
62,170316,0,0,0
65,141114,2687,43788,9403
69,196992,0,0,0
72,155336,87,25481,16088
73,193271,49,2811,861
76,156492,133,34647,5720
80,159725,332,12455,2421
81,191817,368,4251,556
85,165490,613,27479,3410
86,189611,1100,5496,785
88,195445,996,31,7
89,89310,1347,80171,4618
90,185080,277,9348,2287
91,108477,2100,113130,3039
95,134826,413,57838,3915
96,171329,103,1691,1810
98,137976,2317,53544,3155
100,149366,732,40486,6408
101,188271,0,0,0
103,73523,77,69082,49693
106,196775,0,0,217
107,157536,486,33468,5502
110,165699,0,0,0
112,193768,108,2466,650
113,173772,788,17302,5130
115,171252,1035,2438,721
117,159304,916,33650,3122
120,196878,114,0,0
121,174415,1005,4258,385
123,206472,1584,180,42
125,134156,2414,59506,916
126,147457,0,0,287
127,234437,0,0,4
134,175084,702,3341,423
136,119132,4451,57335,16074
137,160611,3266,9424,1119
141,196833,0,0,159
142,195158,0,0,1834
143,182127,1222,13373,270
144,192210,184,4521,77
145,141557,3645,26033,3698
146,169129,410,25492,1961
148,88983,0,0,2331
151,192820,6,6037,2233
155,158123,679,36254,1936
156,173383,693,19497,3419
158,196986,0,0,6
159,134116,1093,60167,1616
163,196471,69,356,96
164,165388,607,2821,474
166,95167,12046,36818,7817
167,161111,146,8028,4109
169,195593,226,974,199
170,102530,1979,101660,4161
171,165244,162,6975,1526
172,187241,351,8213,1187
177,171464,1864,1782,849
178,193953,26,2123,890
179,175668,285,6,0
180,170753,1248,22168,2823
185,195788,709,350,145
190,114192,1899,65801,1762
195,189194,683,6260,342
196,147743,0,0,1
198,135676,133,54349,6834
200,86068,890,101118,8916
201,180338,1204,13406,2044
203,184722,0,0,12270
206,160858,302,17370,2046
207,191940,295,4434,323
208,182413,163,13642,774
212,66386,4900,120074,5632
213,159301,1384,30763,5544
216,80397,2800,111486,2309
218,181727,2440,0,0
219,168264,0,0,0
220,159373,454,4876,1509
221,75260,1019,69536,29631
222,205791,71,6481,2091
224,130137,4121,58225,3996
226,144252,446,28570,1152
230,139181,539,33133,2080
232,185059,18,10419,1496
234,160373,802,10910,2848
235,193108,1903,1400,581
236,173261,430,1205,37
240,85946,818,102578,7650
241,91654,1097,91547,13207
245,169071,256,14689,2716
247,167713,19,4531,2157
248,141710,872,45337,9073
249,165498,111,29311,2072
250,187550,2251,2648,952
252,168901,3589,21329,3173
253,137300,3696,5876,872
255,134623,1431,35916,2963
259,171910,6922,14527,3633
260,186186,1355,8532,406
262,225690,79,4450,1657
265,184960,4425,5416,2191
267,109257,440,63238,1998
270,187721,659,4672,1888
273,155592,722,39039,1639
275,196992,0,0,0
276,166361,579,4801,2166
278,147762,135,26296,2279
279,82907,6161,139528,4819
280,151692,23241,0,0
284,173786,7045,13653,2508
285,194603,1297,841,251
290,170033,319,3062,1519
292,126882,2874,40671,5019
293,149833,496,42991,3672
294,196992,0,0,0
295,185058,109,9746,2079
297,173907,0,0,0
298,171424,2198,88153,1394
300,196992,0,0,0
304,196992,0,0,0
305,86603,842,86128,1360
306,163470,16073,17183,266
307,158315,1250,34035,3392
308,84310,2636,102219,7827
309,145856,1152,26955,970
311,191319,104,4442,1127
312,176154,52,16844,3942
316,164913,68,2444,1352
322,196992,0,0,0
331,105186,799,66426,2522
332,103095,1272,88530,4095
