,TN,FP,TP,FN
18,194199,438,1109,1246
26,196992,0,0,0
32,196238,121,322,311
42,171080,1525,1285,1043
44,189816,3978,2343,855
70,157369,3852,31536,4235
72,173294,18787,4675,236
76,196592,0,0,400
77,193094,3898,0,0
86,196992,0,0,0
95,192529,275,1339,2849
100,196992,0,0,0
112,189400,927,3627,3038
116,144213,30207,0,0
137,168437,181,3668,2134
143,194533,2459,0,0
146,191204,1549,1761,2478
147,174247,0,0,686
152,158144,2395,8705,5689
155,179725,80,9569,7618
169,196992,0,0,0
187,157535,657,6590,11177
191,180756,2273,8122,5841
202,196987,0,0,5
227,193329,128,620,2915
232,196992,0,0,0
244,148357,8182,33035,7418
248,190561,421,2452,3558
258,196687,298,7,0
269,96128,756,70163,30458
284,194396,805,856,935
291,187211,192,718,5793
299,170620,4313,0,0
311,173512,2649,18932,1899
329,187758,0,0,0
342,139572,2388,41208,13824
350,174933,0,0,0
374,196992,0,0,0
380,183593,577,7782,5040
387,180424,5201,2421,8946
405,194009,1639,1046,298
406,174933,0,0,0
411,147538,27098,297,0
420,196992,0,0,0
422,159984,130,23524,13354
424,148563,798,39151,8480
432,196751,0,0,241
449,196289,77,514,112
456,164262,318,6957,4422
468,190103,0,0,6889
472,195825,0,0,1167
475,185412,2904,5804,2872
480,174868,0,0,65
504,180710,5283,5319,5680
529,109784,4912,35899,24851
530,80750,82,47170,5891
547,140891,9524,12460,4363
562,196992,0,0,0
566,194931,2061,0,0
591,191410,0,0,5582
623,198018,0,0,0
628,69473,0,95939,9521
630,196446,0,0,546
660,220517,1928,2387,888
669,178248,218,15633,2893
690,196992,0,0,0
724,186824,724,7716,1728
727,154336,1925,12554,7144
733,195418,2038,16587,3982
767,171855,0,0,0
772,157967,879,9337,6750
780,163819,1347,1131,9149
782,172731,2185,12195,9881
795,180286,24,2155,14527
800,195159,1833,0,0
837,172872,198,315,2061
843,194546,2446,0,0
877,195916,0,0,1076
900,196946,0,0,46
920,195643,1024,267,58
939,195172,0,0,1820
953,196168,31,452,341
956,94089,567,84967,17369
971,159617,190,34608,2577
988,179614,0,0,449
1008,192103,334,3991,564
1032,187206,1518,3941,4327
1037,128345,1050,38673,28924
1040,189664,238,3520,3570
1052,135446,1217,17806,42523
1054,188947,0,0,8045
1065,193262,3730,0,0
1075,196992,0,0,0
1094,84089,112903,0,0
1106,182110,536,11100,3246
1121,196989,0,0,3
1125,192897,466,1314,2315
1135,176483,1605,15442,3462
1162,112380,1167,47549,35896
1170,196973,0,0,19
1179,137849,551,44089,14503
1186,188740,1027,1738,5487
1207,74373,539,28322,10139
1212,161971,2189,0,0
1240,169131,1100,5557,2223
1259,196736,256,0,0
1261,196992,0,0,0
1263,196992,0,0,0
1290,188284,0,0,8708
1297,187891,2137,5961,1003
1311,196648,206,29,109
1320,173725,0,0,182
1327,146111,0,0,10867
1355,174484,0,0,449
1359,192353,464,3303,872
1362,192935,178,177,3702
1370,195343,1,745,903
1371,92606,600,60599,43187
1404,195752,383,792,65
1417,196898,0,0,94
1424,145788,575,1272,109
1439,190840,2214,838,3100
1445,171652,1020,185,24
