,TN,FP,TP,FN
10,149188,7,32526,15271
18,180913,0,12615,3464
25,157243,644,15789,1257
32,175167,223,20694,908
33,165497,0,0,31495
35,196989,0,0,3
44,196992,0,0,0
45,175374,57,20303,1258
46,135868,375,38184,506
49,195947,11639,19246,1453
59,131180,45303,14939,5570
69,136929,60063,0,0
76,107798,4927,7979,76288
77,145519,9607,40508,1358
79,174274,0,0,44777
94,160955,3730,31084,1223
106,183806,13186,0,0
117,178059,17933,995,5
125,196992,0,0,0
137,174300,0,0,120
146,193255,0,0,3737
176,174933,0,0,0
201,173921,3815,13023,6233
203,196981,0,0,11
205,196992,0,0,0
207,181772,247,14815,158
211,192375,0,0,0
237,55992,78556,6267,260
248,193247,0,0,3745
255,157001,4279,7182,6471
258,191947,0,0,5045
259,196992,0,0,0
263,37379,5268,151061,3284
268,170157,22762,4073,0
284,174255,772,7639,14326
291,118791,1092,72066,1965
302,184366,486,11822,318
304,181419,13071,2060,442
306,111465,82537,2045,945
307,169810,5506,20924,752
310,196992,0,0,0
326,213036,0,0,4476
329,156562,97,29836,1263
338,144850,5519,22039,3038
346,196992,0,0,0
351,129361,289,40574,4709
355,196992,0,0,0
358,174933,0,0,0
388,196992,0,0,0
405,196992,0,0,0
435,196992,0,0,0
444,196992,0,0,0
445,150355,5632,13503,5443
451,174342,0,0,591
462,196992,0,0,0
476,144206,3611,26790,326
477,179294,4341,12244,1113
493,142562,156,34635,658
506,162816,34167,9,0
509,142447,0,0,54032
539,196992,0,0,0
561,196992,0,0,0
580,184986,0,10442,1564
592,196992,0,0,0
603,196457,0,0,535
611,198018,0,0,0
616,154023,154,41258,1557
642,220694,29,16983,1352
643,159675,1613,34305,1399
651,140192,528,53452,2820
660,200227,17240,7369,884
668,168342,418,24965,2241
685,109342,782,83700,3168
710,137683,0,0,37250
724,182976,306,11436,2274
730,157761,35,8319,1123
733,169130,2963,20070,25862
746,196709,0,0,283
765,145576,1832,35943,13641
769,156702,7126,25017,8147
780,157000,486,16126,1834
792,87045,85318,2557,13
814,144853,321,48543,3275
839,196992,0,0,0
843,144062,967,49184,2779
847,97525,2287,93576,3604
858,196067,0,0,925
862,188265,1414,6745,568
875,101592,73341,0,0
877,191734,3448,1745,65
880,199280,0,0,277
883,119809,125,75146,1912
894,142333,0,0,54659
900,164038,11,27900,5043
918,156902,756,35734,3600
951,122324,394,32400,2373
953,143213,61,51047,2671
960,186012,0,0,10980
971,196802,0,0,190
1004,167111,96,28401,1384
1014,37743,1728,156063,945
1032,192049,0,0,4943
1035,159500,3230,30390,3872
1045,78122,374,94297,2653
1052,147581,49411,0,0
1063,57537,0,0,139455
1074,40704,42389,111803,2096
1092,199064,4597,0,0
1125,164656,32317,0,19
1149,196980,0,0,12
1179,150372,24346,21948,326
1182,177893,19099,0,0
1186,196889,0,0,103
1206,177321,502,18656,513
1226,133586,0,0,63406
1228,156962,28637,10156,1237
1229,196992,0,0,0
1231,174933,0,0,0
1234,188549,0,0,8443
1244,196992,0,0,0
1246,180275,24564,822,52
1254,182790,0,0,14202
1256,55530,0,134013,7449
1258,143130,14,32459,1382
1268,178379,268,16834,1511
1276,196992,0,0,0
1291,196992,0,0,0
1295,196992,0,0,0
1301,192020,0,0,5485
1311,102243,440,93031,1278
1318,201096,0,0,0
1333,191051,0,0,5941
1345,160250,804,3191,10688
1348,43705,81045,70431,1811
1357,227385,3441,28775,3568
1359,151995,44941,56,0
1362,196992,0,0,0
1368,187513,3396,4433,624
1370,176224,463,19590,715
1385,173638,190,11001,12163
1387,196992,0,0,0
1401,196992,0,0,0
1404,187206,2083,6885,818
1406,196992,0,0,0
1417,169828,17033,9939,192
1426,190589,95,5830,478
1432,196992,0,0,0
1439,191643,1882,3342,125
1443,37564,65002,92928,1498
1446,184088,0,0,79
1447,130313,6568,57752,2359
